timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3]
25576909,-0.052045055,0.039235137,-0.15181263,0.4521491,0.034170985,-0.09531536,0.88617647
25608724,-0.024712224,0.017219981,-0.20106451,0.45333296,0.034066115,-0.095480934,0.8855576
25640729,0.035089247,-0.045729674,-0.22843109,0.45557907,0.03475551,-0.095399715,0.88438606
25673600,0.15797651,-0.13817431,-0.23178142,0.4579404,0.03738149,-0.09442781,0.8831628
25705575,0.22997132,-0.20968433,-0.19749251,0.45966542,0.04186599,-0.09264748,0.8822536
25737650,0.2872591,-0.26897216,-0.12658474,0.46037692,0.047539245,-0.09050891,0.88181704
25765645,0.28377098,-0.33896875,-0.04632435,0.45990577,0.05340453,-0.0887847,0.88190246
25797709,0.23281558,-0.39955616,0.04589977,0.4578873,0.060724888,-0.087808065,0.88257664
25829542,0.13780175,-0.4283833,0.12894143,0.45456034,0.0679024,-0.0883004,0.8837235
25861577,0.048952155,-0.39838994,0.223764,0.45001948,0.07435033,-0.0900511,0.88535047
25893555,-0.041574396,-0.2391469,0.3119109,0.4443559,0.078446575,-0.09256618,0.88759536
25926388,-0.03183148,-0.07799646,0.339519,0.43802947,0.07963904,-0.09454718,0.89042044
25954390,0.09179117,-0.07654484,0.30753285,0.43275744,0.08026971,-0.09468714,0.8929235
25986771,0.14337428,-0.20434983,0.24690855,0.42721435,0.08285425,-0.09391035,0.89543504
26018365,0.1180853,-0.27120516,0.23337865,0.4220577,0.08715484,-0.09381,0.89748037
26050355,-6.942265e-05,-0.17916869,0.27319056,0.41677988,0.09044264,-0.094580404,0.89953846
26082390,-0.062156685,-0.044835284,0.31473795,0.4111971,0.091212824,-0.095891476,0.901888
26114367,-0.14048,0.055325005,0.30759722,0.40561715,0.08985926,-0.09743359,0.90438193
26146424,-0.16798046,0.09199933,0.21539883,0.40101716,0.087250076,-0.09927642,0.9064861
26178409,-0.17698324,0.07251473,0.060237147,0.39835048,0.08474708,-0.1010976,0.9076972
26206346,-0.17226908,0.02122934,-0.07344819,0.39790356,0.08326242,-0.10276024,0.9078439
26239150,-0.1367951,-0.06749033,-0.16698712,0.39891332,0.08294218,-0.10473699,0.907204
26271217,-0.10889551,-0.12953828,-0.20796046,0.40065387,0.08417505,-0.10637143,0.9061326
26303177,-0.17568284,-0.15070976,-0.2087805,0.40264058,0.08585074,-0.10859322,0.9048302
26335253,-0.26472503,-0.1301692,-0.21450713,0.40479118,0.08692544,-0.112166256,0.903331
