timestamp,alt_max,landed,freefall,ground_contact
25565532,999.4958,1,0,0
25620084,999.4999,1,0,0
25663064,999.5054,1,0,0
25705059,999.5075,1,0,0
25747208,999.5069,1,0,0
25788103,999.5044,1,0,0
25829085,999.50635,1,0,0
25870208,999.5139,1,0,0
25912066,999.52185,1,0,0
25952078,999.5374,1,0,0
25995215,999.54987,1,0,0
26036254,999.5668,1,0,0
26077067,999.57983,1,0,0
26118076,999.5927,1,0,0
26159096,999.60944,1,0,0
26200057,999.61975,1,0,0
26242146,999.63184,1,0,0
26282056,999.6352,1,0,0
26324377,999.6425,1,0,0
26365057,999.64624,1,0,0
26406102,999.6499,1,0,0
26446057,999.6583,1,0,0
26487067,999.66736,1,0,0
26529570,999.6798,1,0,0
26571059,999.68854,1,0,0
26613565,999.6975,1,0,0
26655060,999.7075,1,0,0
26698524,999.7174,1,0,0
26739108,999.7229,1,0,0
26782239,999.7262,1,0,0
26823060,999.7261,1,0,0
26866163,999.72626,1,0,0
26907057,999.72437,1,0,0
26948091,999.72296,1,0,0
26989060,999.7201,1,0,0
27031063,999.7161,1,0,0
27072057,999.715,1,0,0
27113057,999.71576,1,0,0
27155462,999.72345,1,0,0
27196067,999.7314,1,0,0
27237081,999.7419,1,0,0
27279113,999.7555,1,0,0
27320060,999.7678,1,0,0
27362064,999.78345,1,0,0
27403059,999.797,1,0,0
27444100,999.8147,1,0,0
27485064,999.83057,1,0,0
27528771,999.8478,1,0,0
27568082,999.8574,1,0,0
27610057,999.8642,1,0,0
27651888,999.8707,1,0,0
27693102,999.87384,1,0,0
27735968,999.88104,1,0,0
27778060,999.88666,1,0,0
27820943,999.8959,1,0,0
27862057,999.9056,1,0,0
27904993,999.9215,1,0,0
27946061,999.9354,1,0,0
27988066,999.9525,1,0,0
28031057,999.9691,1,0,0
28072059,999.9866,1,0,0
28114057,1000.0007,1,0,0
28156059,1000.0161,1,0,0
28196070,1000.02795,1,0,0
28238720,1000.0402,1,0,0
28279057,1000.0497,1,0,0
28319057,1000.05774,1,0,0
28361064,1000.06824,1,0,0
28401057,1000.07904,1,0,0
28443058,1000.0976,1,0,0
28485059,1000.1136,1,0,0
28526069,1000.13,1,0,0
28566065,1000.1511,1,0,0
28609059,1000.1698,1,0,0
28650057,1000.1858,1,0,0
28691074,1000.20044,1,0,0
28732079,1000.2098,1,0,0
28773068,1000.2212,1,0,0
28814057,1000.2343,1,0,0
28857057,1000.246,1,0,0
28898085,1000.25507,1,0,0
28941056,1000.2652,1,0,0
28982061,1000.2725,1,0,0
29024958,1000.27814,1,0,0
29066060,1000.28314,1,0,0
29108928,1000.28864,1,0,0
29150061,1000.2938,1,0,0
29192908,1000.30084,1,0,0
29234057,1000.3087,1,0,0
29274248,1000.32104,1,0,0
29316091,1000.3335,1,0,0
29358511,1000.34467,1,0,0
29399096,1000.354,1,0,0
29440057,1000.36285,1,0,0
29481519,1000.3718,1,0,0
29522053,1000.3789,1,0,0
29562852,1000.38196,1,0,0
29604057,1000.38007,1,0,0
29645060,1000.3782,1,0,0
29686475,1000.3726,1,0,0
29727061,1000.36273,1,0,0
29769070,1000.35,1,0,0
29811158,1000.3365,1,0,0
29851843,1000.32275,1,0,0
29891059,1000.31525,1,0,0
29932061,1000.3118,1,0,0
29973057,1000.3109,1,0,0
30014057,1000.3137,1,0,0
30056584,1000.3148,1,0,0
30098073,1000.3188,1,0,0
30141065,1000.32153,1,0,0
30183895,1000.3193,1,0,0
30224370,1000.3163,1,0,0
30266056,1000.3106,1,0,0
30309810,1000.30286,1,0,0
30350070,1000.2969,1,0,0
30393385,1000.2914,1,0,0
30435057,1000.2889,1,0,0
30477523,1000.28687,1,0,0
30519057,1000.2873,1,0,0
30561489,1000.2871,1,0,0
30603057,1000.28754,1,0,0
30644057,1000.28754,1,0,0
30685475,1000.2868,1,0,0
30727069,1000.287,1,0,0
30768060,1000.2853,1,0,0
30810060,1000.28534,1,0,0
30852059,1000.2829,1,0,0
30893069,1000.2896,1,0,0
30935036,1000.3012,1,0,0
30977092,1000.3171,1,0,0
31017081,1000.3355,1,0,0
31058592,1000.3487,1,0,0
31099086,1000.36053,1,0,0
31140356,1000.3669,1,0,0
31181070,1000.3718,1,0,0
31224611,1000.3724,1,0,0
31265059,1000.3722,1,0,0
31306070,1000.3734,1,0,0
31347111,1000.3722,1,0,0
31389057,1000.37274,1,0,0
31431786,1000.372,1,0,0
31473057,1000.3752,1,0,0
31515986,1000.3763,1,0,0
31557061,1000.37775,1,0,0
31599937,1000.3742,1,0,0
31642059,1000.3767,1,0,0
31683057,1000.3748,1,0,0
31726057,1000.3779,1,0,0
31768926,1000.3777,1,0,0
31810071,1000.3758,1,0,0
31852959,1000.36975,1,0,0
31894057,1000.3692,1,0,0
31934525,1000.3695,1,0,0
31975077,1000.3737,1,0,0
32018226,1000.3783,1,0,0
32059062,1000.38226,1,0,0
32100070,1000.38727,1,0,0
32140060,1000.38983,1,0,0
32181057,1000.393,1,0,0
32223820,1000.39545,1,0,0
32264094,1000.3971,1,0,0
32305057,1000.3952,1,0,0
32346455,1000.39124,1,0,0
32387085,1000.3899,1,0,0
32429033,1000.3891,1,0,0
32469056,1000.39355,1,0,0
32512175,1000.4003,1,0,0
32553070,1000.40784,1,0,0
32595567,1000.4149,1,0,0
32635210,1000.42017,1,0,0
32675234,1000.4257,1,0,0
32716421,1000.427,1,0,0
32758072,1000.4262,1,0,0
32800181,1000.41876,1,0,0
32842060,1000.41736,1,0,0
32882070,1000.4129,1,0,0
32924738,1000.402,1,0,0
32966057,1000.3972,1,0,0
33008848,1000.3903,1,0,0
33050057,1000.3897,1,0,0
33091067,1000.3839,1,0,0
33134060,1000.3833,1,0,0
33176738,1000.386,1,0,0
33218060,1000.3898,1,0,0
33258276,1000.39197,1,0,0
33300056,1000.39154,1,0,0
33341998,1000.38556,1,0,0
33383053,1000.3819,1,0,0
33426220,1000.37604,1,0,0
33468060,1000.3761,1,0,0
33510815,1000.37366,1,0,0
33551107,1000.3743,1,0,0
33591057,1000.3772,1,0,0
33632316,1000.3738,1,0,0
33672057,1000.37213,1,0,0
33714068,1000.3713,1,0,0
33754071,1000.36646,1,0,0
33796057,1000.36646,1,0,0
33836076,1000.3608,1,0,0
33877057,1000.35986,1,0,0
33919605,1000.3607,1,0,0
33961073,1000.36554,1,0,0
34002067,1000.3711,1,0,0
34044110,1000.37866,1,0,0
34085062,1000.38446,1,0,0
