timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
29011000,29011000,18,255,0,0,0,1508,1517,1147,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
29130972,29130972,18,255,0,0,0,1508,1517,1147,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
29227413,29227413,18,255,0,0,0,1508,1517,1147,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
29335189,29335189,18,255,0,0,0,1508,1517,1147,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
29433392,29433392,18,255,0,0,0,1508,1517,1147,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
29527329,29527329,18,255,0,0,0,1508,1517,1147,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
29637165,29637165,18,255,0,0,0,1508,1517,1147,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
29732255,29732255,18,255,0,0,0,1508,1517,1147,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
29824384,29824384,18,255,0,0,0,1508,1517,1147,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
29937342,29937342,18,255,0,0,0,1508,1517,1147,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
30035012,30035012,18,255,0,0,0,1508,1517,1147,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
30130054,30130054,18,255,0,0,0,1508,1517,1147,1515,1094,1934,1514,1514,1514,1514,1514,1514,2084,944,1514,1514,1998,998,0,0,4
