timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,discharged_mah,remaining,scale,cell_count,connected,warning
42127154,11.4882,11.459176,0.0,0.003006669,4.3109884,0.5896197,1.084796,3,1,0
42427921,11.4964,11.468276,0.0,0.0018144198,4.3109884,0.5928016,1.0840832,3,1,0
42728680,11.4554,11.469653,0.0,0.0010949391,4.3109884,0.5929018,1.0840608,3,1,0
43030309,11.5128,11.475145,0.0,0.0006607573,4.3109884,0.594822,1.083631,3,1,0
43331086,11.4882,11.475447,0.0,0.0015896399,4.3112097,0.59466106,1.083667,3,1,0
43632031,11.521,11.478092,0.0,0.0009592921,4.3112097,0.59554,1.0834706,3,1,0
43932664,11.5128,11.479971,0.0,0.0005788993,4.3112097,0.59614855,1.0833344,3,1,0
44233615,11.4636,11.451466,0.0,0.00034934547,4.3112097,0.5841359,1.0860265,3,1,0
44534363,11.4964,11.448782,0.0,0.00021081779,4.3112097,0.58291346,1.0863012,3,1,0
44835148,11.504601,11.45702,0.0,0.00012722118,4.3112097,0.58626497,1.0855484,3,1,0
45135880,11.5128,11.43832,0.0,7.677353e-05,4.3112097,0.57841027,1.0873144,3,1,0
45436716,11.4472,11.434228,0.0,4.6330144e-05,4.3112097,0.5766552,1.0877098,3,1,0
45738324,11.3078,11.428509,0.0,2.7958626e-05,4.3112097,0.574235,1.0882554,3,1,0
46038301,11.1684,11.4136095,0.0,1.6872054e-05,4.3112097,0.567996,1.0896646,3,1,0
46339963,11.5128,11.424734,0.0,1.0181694e-05,4.3112097,0.57260853,1.0886225,3,1,0
46640690,11.4472,11.425849,0.0,6.1442956e-06,4.3112097,0.5730541,1.0885218,3,1,0
46941488,11.5374,11.434228,0.0,3.7078667e-06,4.3112097,0.57653165,1.0877376,3,1,0
47242264,11.4882,11.444885,0.0,2.237568e-06,4.3112097,0.58096075,1.0867404,3,1,0
47543138,11.4636,11.441746,0.0,1.3502943e-06,4.3112097,0.5796445,1.0870365,3,1,0
47844003,11.439,11.440907,0.0,8.148556e-07,4.3112097,0.5792886,1.0871166,3,1,0
48144788,11.4964,11.440451,0.0,4.9173684e-07,4.3112097,0.5790934,1.0871606,3,1,0
48445480,11.521,11.444939,0.0,2.9674598e-07,4.3112097,0.5809591,1.0867406,3,1,0
48746356,11.504601,11.450047,0.0,1.7907584e-07,4.3112097,0.5830835,1.0862631,3,1,0
49048127,11.398,11.455361,0.0,1.08066e-07,4.3112097,0.5852956,1.0857661,3,1,0
49348763,11.4718,11.4605465,0.0,6.521406e-08,4.3112097,0.58745456,1.0852815,3,1,0
49649510,11.4636,11.4679365,0.0,3.9354408e-08,4.3112097,0.5905331,1.0845913,3,1,0
49950299,11.4800005,11.462818,0.0,2.3749012e-08,4.3112097,0.5883997,1.0850695,3,1,0
50251109,11.3816,11.466876,0.0,1.4331699e-08,4.3112097,0.5900897,1.0846906,3,1,0
50551883,11.4964,11.464486,0.0,8.648679e-09,4.3112097,0.5890941,1.0849137,3,1,0
50852754,11.504601,11.459982,0.0,0.00086118584,4.3113756,0.5872171,1.0853348,3,1,0
51153519,11.4964,11.46741,0.0,0.0005196956,4.3113756,0.590311,1.0846411,3,1,0
51466311,11.4882,11.473107,0.0,0.0003073457,4.3113756,0.59268326,1.0841097,3,1,0
51767072,11.316,11.473012,0.0,0.00018547238,4.3113756,0.59264404,1.0841185,3,1,0
52067885,11.4554,11.474327,0.0,0.0001119261,4.3113756,0.5931916,1.0839959,3,1,0
52357499,11.4308,11.455182,0.0,6.892192e-05,4.3113756,0.5852131,1.0857846,3,1,0
52670434,11.4800005,11.450243,0.0,4.0760133e-05,4.3113756,0.58315426,1.0862471,3,1,0
52971077,11.562,11.445514,0.0,2.4597317e-05,4.3113756,0.58118236,1.0866904,3,1,0
53271904,11.4636,11.454541,0.0,1.4843618e-05,4.3113756,0.58494365,1.0858451,3,1,0
53572676,11.4882,11.460571,0.0,8.957603e-06,4.3113756,0.5874569,1.085281,3,1,0
53873536,11.4718,11.462864,0.0,5.405601e-06,4.3113756,0.58841264,1.0850666,3,1,0
54174268,11.4472,11.467077,0.0,3.2620912e-06,4.3113756,0.59016794,1.084673,3,1,0
54475232,11.5292,11.465811,0.0,1.9685579e-06,4.3113756,0.58964115,1.0847911,3,1,0
54775909,11.5456,11.471406,0.0,1.1879558e-06,4.3113756,0.5919729,1.0842687,3,1,0
55076805,11.4964,11.466764,0.0,7.168898e-07,4.3113756,0.5900385,1.0847021,3,1,0
55377480,11.5128,11.461916,0.0,4.326179e-07,4.3113756,0.5880182,1.085155,3,1,0
55678450,11.5128,11.465407,0.0,2.610698e-07,4.3113756,0.5894738,1.0848286,3,1,0
55979136,11.4636,11.469705,0.0,1.5754651e-07,4.3113756,0.5912646,1.0844274,3,1,0
56279877,11.521,11.4672165,0.0,9.507381e-08,4.3113756,0.5902273,1.0846598,3,1,0
56580666,11.398,11.456098,0.16119999,0.003224057,4.311913,0.58912045,1.0849079,3,1,0
56882383,10.7994,11.407096,5.0343995,0.7406255,4.451312,0.5930841,1.08402,3,1,0
57182287,10.6928005,11.242518,7.6632,3.2604902,5.040706,0.5517702,1.0933467,3,1,0
57483850,10.2992,11.058441,9.4116,5.5286617,5.7904654,0.5020145,1.1047945,3,1,0
57784808,10.004,10.863336,11.9784,7.755828,6.714322,0.446326,1.1178951,3,1,0
58085484,10.25,10.62676,15.276799,10.449978,7.92601,0.3737817,1.1354342,3,1,0
