timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2]
25576909,-0.0098388195,0.19443193,0.2955074,-0.10787773,0.09996122,-0.75059474,0.0,0.0,0.0,-0.3034997,0.0,0.0,0.0,0.0,0.0,0.28404945,0.28430006,0.5731476,1.6144722,1.6145005,4.0557466,0.0,0.0,0.0,0.090503395,0.0,0.0,0.0,0.0,0.0,0.022331143,0.03110732,0.035474572
25628770,-0.0098388195,0.19443193,0.2955074,-0.10787773,0.09996122,-0.46777886,0.0,0.0,0.0,-0.3288939,0.0,0.0,0.0,0.0,0.0,0.28404945,0.28430006,0.5731476,1.6144722,1.6145005,4.0555453,0.0,0.0,0.0,0.090503775,0.0,0.0,0.0,0.0,0.0,0.022464495,0.035968706,0.046879668
25681526,0.121727824,0.80553883,0.5657582,-0.11529255,0.16700631,2.1158912,0.0,0.0,0.0,-0.30696678,0.0,0.0,0.0,0.0,0.0,0.37784812,0.37806976,0.78578126,1.6200509,1.6200848,4.05576,0.0,0.0,0.0,0.09050209,0.0,0.0,0.0,0.0,0.0,0.024477001,0.058224093,0.06449325
25737650,0.121727824,0.80553883,0.5657582,-0.11529255,0.16700631,-0.5820905,0.0,0.0,0.0,-0.30836153,0.0,0.0,0.0,0.0,0.0,0.37784812,0.37806976,0.78578126,1.6200509,1.6200848,4.055191,0.0,0.0,0.0,0.09049775,0.0,0.0,0.0,0.0,0.0,0.025956456,0.04175241,0.042429723
25789526,0.121727824,0.80553883,0.5657582,-0.11529255,0.16700631,0.42430165,0.0,0.0,0.0,-0.304574,0.0,0.0,0.0,0.0,0.0,0.37784812,0.37806976,0.78578126,1.6200509,1.6200848,4.0554023,0.0,0.0,0.0,0.09049429,0.0,0.0,0.0,0.0,0.0,0.029008044,0.03734267,0.032741226
25841542,-0.1971147,0.8399565,0.36918315,-0.18297386,0.19867623,0.031935185,0.0,0.0,0.0,-0.30861163,0.0,0.0,0.0,0.0,0.0,0.36395293,0.36433512,0.7569384,1.6353861,1.6354347,4.055287,0.0,0.0,0.0,0.09049163,0.0,0.0,0.0,0.0,0.0,0.030135006,0.06622239,0.08214148
25893555,-0.1971147,0.8399565,0.36918315,-0.18297386,0.19867623,1.104464,0.0,0.0,0.0,-0.31840515,0.0,0.0,0.0,0.0,0.0,0.36395293,0.36433512,0.7569384,1.6353861,1.6354347,4.0554905,0.0,0.0,0.0,0.09049023,0.0,0.0,0.0,0.0,0.0,0.03040457,0.043476705,0.051655237
25946390,-0.1971147,0.8399565,0.36918315,-0.18297386,0.19867623,-0.038867354,0.0,0.0,0.0,-0.3114643,0.0,0.0,0.0,0.0,0.0,0.36395293,0.36433512,0.7569384,1.6353861,1.6354347,4.055686,0.0,0.0,0.0,0.09048998,0.0,0.0,0.0,0.0,0.0,0.030405432,0.025412096,0.026663981
25998350,-0.1971147,0.8399565,0.36918315,-0.18297386,0.19867623,0.5381372,0.0,0.0,0.0,-0.31152868,0.0,0.0,0.0,0.0,0.0,0.36395293,0.36433512,0.7569384,1.6353861,1.6354347,4.0558863,0.0,0.0,0.0,0.090488605,0.0,0.0,0.0,0.0,0.0,0.028840456,0.01645145,0.013833762
26050355,-0.0715642,0.82397234,0.0015718788,-0.14780045,0.23449671,0.1578399,0.0,0.0,0.0,-0.3000095,0.0,0.0,0.0,0.0,0.0,0.2828764,0.28334147,0.57303673,1.6477498,1.6478364,4.0554714,0.0,0.0,0.0,0.0904857,0.0,0.0,0.0,0.0,0.0,0.028617721,0.08276305,0.114039734
26102388,-0.0715642,0.82397234,0.0015718788,-0.14780045,0.23449671,-0.022919327,0.0,0.0,0.0,-0.30254793,0.0,0.0,0.0,0.0,0.0,0.2828764,0.28334147,0.57303673,1.6477498,1.6478364,4.0553718,0.0,0.0,0.0,0.09048399,0.0,0.0,0.0,0.0,0.0,0.027814487,0.061926503,0.082297504
26154639,-0.0715642,0.82397234,0.0015718788,-0.14780045,0.23449671,1.6950883,0.0,0.0,0.0,-0.2893114,0.0,0.0,0.0,0.0,0.0,0.2828764,0.28334147,0.57303673,1.6477498,1.6478364,4.055575,0.0,0.0,0.0,0.09048173,0.0,0.0,0.0,0.0,0.0,0.027548822,0.04249618,0.057775334
26206346,-0.0715642,0.82397234,0.0015718788,-0.14780045,0.23449671,0.7915081,0.0,0.0,0.0,-0.28502893,0.0,0.0,0.0,0.0,0.0,0.2828764,0.28334147,0.57303673,1.6477498,1.6478364,4.0557756,0.0,0.0,0.0,0.09048022,0.0,0.0,0.0,0.0,0.0,0.026602574,0.033465598,0.046762355
26259136,0.1575886,0.88889384,0.17786111,-0.124157906,0.2549193,0.060801417,0.0,0.0,0.0,-0.27274728,0.0,0.0,0.0,0.0,0.0,0.28282148,0.2831749,0.5730152,1.655879,1.6559745,4.055037,0.0,0.0,0.0,0.09047945,0.0,0.0,0.0,0.0,0.0,0.025315886,0.10658538,0.14400843
26315307,0.1575886,0.88889384,0.17786111,-0.124157906,0.2549193,0.19158202,0.0,0.0,0.0,-0.26257205,0.0,0.0,0.0,0.0,0.0,0.28282148,0.2831749,0.5730152,1.655879,1.6559745,4.0552406,0.0,0.0,0.0,0.09047611,0.0,0.0,0.0,0.0,0.0,0.024605049,0.072232,0.096242346
26367150,0.1575886,0.88889384,0.17786111,-0.124157906,0.2549193,-0.5342797,0.0,0.0,0.0,-0.26861835,0.0,0.0,0.0,0.0,0.0,0.28282148,0.2831749,0.5730152,1.655879,1.6559745,4.0551043,0.0,0.0,0.0,0.09047452,0.0,0.0,0.0,0.0,0.0,0.023392063,0.048468336,0.06422284
26419965,0.1575886,0.88889384,0.17786111,-0.124157906,0.2549193,-0.8076552,0.0,0.0,0.0,-0.26807952,0.0,0.0,0.0,0.0,0.0,0.28282148,0.2831749,0.5730152,1.655879,1.6559745,4.0553384,0.0,0.0,0.0,0.090472884,0.0,0.0,0.0,0.0,0.0,0.021311553,0.028559856,0.04550369
26472044,0.25419742,0.7062073,0.1721533,-0.093494415,0.2556461,-0.002678126,0.0,0.0,0.0,-0.2611375,0.0,0.0,0.0,0.0,0.0,0.28160167,0.28201106,0.57301265,1.6613743,1.661484,4.0546265,0.0,0.0,0.0,0.090469465,0.0,0.0,0.0,0.0,0.0,0.021737464,0.0835686,0.1287339
26523927,0.25419742,0.7062073,0.1721533,-0.093494415,0.2556461,0.38345754,0.0,0.0,0.0,-0.26894736,0.0,0.0,0.0,0.0,0.0,0.28160167,0.28201106,0.57301265,1.6613743,1.661484,4.054838,0.0,0.0,0.0,0.09046771,0.0,0.0,0.0,0.0,0.0,0.02083303,0.059102315,0.09972688
26575995,0.25419742,0.7062073,0.1721533,-0.093494415,0.2556461,-0.68756104,0.0,0.0,0.0,-0.2699659,0.0,0.0,0.0,0.0,0.0,0.28160167,0.28201106,0.57301265,1.6613743,1.661484,4.0550494,0.0,0.0,0.0,0.09046524,0.0,0.0,0.0,0.0,0.0,0.020484244,0.040576525,0.08544675
26628136,0.25419742,0.7062073,0.1721533,-0.093494415,0.2556461,1.4076571,0.0,0.0,0.0,-0.2784407,0.0,0.0,0.0,0.0,0.0,0.28160167,0.28201106,0.57301265,1.6613743,1.661484,4.054973,0.0,0.0,0.0,0.09046513,0.0,0.0,0.0,0.0,0.0,0.01913002,0.035527345,0.058680207
26680886,0.065544605,0.579439,0.11829719,-0.07702446,0.23899138,-0.21157968,0.0,0.0,0.0,-0.27842045,0.0,0.0,0.0,0.0,0.0,0.28172252,0.2820725,0.5730934,1.6643994,1.6645206,4.0546007,0.0,0.0,0.0,0.09046156,0.0,0.0,0.0,0.0,0.0,0.019491246,0.06011787,0.099861376
26732751,0.065544605,0.579439,0.11829719,-0.07702446,0.23899138,0.35193878,0.0,0.0,0.0,-0.2838955,0.0,0.0,0.0,0.0,0.0,0.28172252,0.2820725,0.5730934,1.6643994,1.6645206,4.054819,0.0,0.0,0.0,0.090459205,0.0,0.0,0.0,0.0,0.0,0.02019615,0.03908877,0.064426966
26784846,0.065544605,0.579439,0.11829719,-0.07702446,0.23899138,-0.23236081,0.0,0.0,0.0,-0.29837823,0.0,0.0,0.0,0.0,0.0,0.28172252,0.2820725,0.5730934,1.6643994,1.6645206,4.055037,0.0,0.0,0.0,0.090457655,0.0,0.0,0.0,0.0,0.0,0.02016935,0.030625287,0.059743628
26836923,0.18529004,0.8745987,0.20450035,-0.08028221,0.26733506,-1.1114576,0.0,0.0,0.0,-0.29506397,0.0,0.0,0.0,0.0,0.0,0.2810334,0.28136733,0.57318425,1.6687351,1.6688579,4.055253,0.0,0.0,0.0,0.090456106,0.0,0.0,0.0,0.0,0.0,0.021465588,0.09982815,0.15980493
26888827,0.18529004,0.8745987,0.20450035,-0.08028221,0.26733506,0.3255158,0.0,0.0,0.0,-0.29958916,0.0,0.0,0.0,0.0,0.0,0.2810334,0.28136733,0.57318425,1.6687351,1.6688579,4.0549994,0.0,0.0,0.0,0.090452485,0.0,0.0,0.0,0.0,0.0,0.021000886,0.063536465,0.10859568
26941538,0.18529004,0.8745987,0.20450035,-0.08028221,0.26733506,0.6566165,0.0,0.0,0.0,-0.2931311,0.0,0.0,0.0,0.0,0.0,0.2810334,0.28136733,0.57318425,1.6687351,1.6688579,4.055103,0.0,0.0,0.0,0.090451814,0.0,0.0,0.0,0.0,0.0,0.021223737,0.04222634,0.07607749
26997599,0.18529004,0.8745987,0.20450035,-0.08028221,0.26733506,-0.24967149,0.0,0.0,0.0,-0.29770947,0.0,0.0,0.0,0.0,0.0,0.2810334,0.28136733,0.57318425,1.6687351,1.6688579,4.055838,0.0,0.0,0.0,0.090450265,0.0,0.0,0.0,0.0,0.0,0.020312322,0.027886333,0.06885498
27049555,0.28448385,0.67646253,0.024720043,-0.07198334,0.26400745,-0.5304682,0.0,0.0,0.0,-0.29525352,0.0,0.0,0.0,0.0,0.0,0.2799058,0.28027463,0.57329524,1.6731607,1.6732876,4.0554237,0.0,0.0,0.0,0.09044663,0.0,0.0,0.0,0.0,0.0,0.020742048,0.07406961,0.137922
27101652,0.28448385,0.67646253,0.024720043,-0.07198334,0.26400745,-0.66574657,0.0,0.0,0.0,-0.29403615,0.0,0.0,0.0,0.0,0.0,0.2799058,0.28027463,0.57329524,1.6731607,1.6732876,4.055618,0.0,0.0,0.0,0.09044513,0.0,0.0,0.0,0.0,0.0,0.020450389,0.049897637,0.10992003
27153637,0.28448385,0.67646253,0.024720043,-0.07198334,0.26400745,-0.24208534,0.0,0.0,0.0,-0.29282975,0.0,0.0,0.0,0.0,0.0,0.2799058,0.28027463,0.57329524,1.6731607,1.6732876,4.0555034,0.0,0.0,0.0,0.090442866,0.0,0.0,0.0,0.0,0.0,0.02130724,0.030912096,0.072712414
27205656,0.28448385,0.67646253,0.024720043,-0.07198334,0.26400745,0.63328016,0.0,0.0,0.0,-0.2969308,0.0,0.0,0.0,0.0,0.0,0.2799058,0.28027463,0.57329524,1.6731607,1.6732876,4.055705,0.0,0.0,0.0,0.09044135,0.0,0.0,0.0,0.0,0.0,0.021288168,0.030358683,0.062148403
27258403,-0.04628098,0.7675122,-0.08643091,-0.083566666,0.27629328,0.18923342,0.0,0.0,0.0,-0.28205132,0.0,0.0,0.0,0.0,0.0,0.27961972,0.280015,0.5734142,1.676212,1.6763544,4.0553107,0.0,0.0,0.0,0.09043912,0.0,0.0,0.0,0.0,0.0,0.019982684,0.053947028,0.10537102
27310347,-0.04628098,0.7675122,-0.08643091,-0.083566666,0.27629328,0.35320458,0.0,0.0,0.0,-0.28269887,0.0,0.0,0.0,0.0,0.0,0.27961972,0.280015,0.5734142,1.676212,1.6763544,4.055513,0.0,0.0,0.0,0.09043686,0.0,0.0,0.0,0.0,0.0,0.020678995,0.02754505,0.05462145
27362424,-0.04628098,0.7675122,-0.08643091,-0.083566666,0.27629328,-0.15025854,0.0,0.0,0.0,-0.2745962,0.0,0.0,0.0,0.0,0.0,0.27961972,0.280015,0.5734142,1.676212,1.6763544,4.055715,0.0,0.0,0.0,0.09043539,0.0,0.0,0.0,0.0,0.0,0.020452049,0.014624274,0.03000492
27414553,-0.04628098,0.7675122,-0.08643091,-0.083566666,0.27629328,-0.30796915,0.0,0.0,0.0,-0.27299714,0.0,0.0,0.0,0.0,0.0,0.27961972,0.280015,0.5734142,1.676212,1.6763544,4.0559464,0.0,0.0,0.0,0.09043392,0.0,0.0,0.0,0.0,0.0,0.020094741,0.018725177,0.030978877
27466478,-0.02771008,0.88518983,0.17999442,-0.08405113,0.30982685,0.07707234,0.0,0.0,0.0,-0.27168345,0.0,0.0,0.0,0.0,0.0,0.27956143,0.27989948,0.57351923,1.6792555,1.679405,4.0556273,0.0,0.0,0.0,0.09043006,0.0,0.0,0.0,0.0,0.0,0.020498624,0.057965748,0.099141866
27519135,-0.02771008,0.88518983,0.17999442,-0.08405113,0.30982685,0.28032234,0.0,0.0,0.0,-0.26166844,0.0,0.0,0.0,0.0,0.0,0.27956143,0.27989948,0.57351923,1.6792555,1.679405,4.0553894,0.0,0.0,0.0,0.09042863,0.0,0.0,0.0,0.0,0.0,0.020153126,0.03249249,0.058487788
27571176,-0.02771008,0.88518983,0.17999442,-0.08405113,0.30982685,-0.5228099,0.0,0.0,0.0,-0.25279188,0.0,0.0,0.0,0.0,0.0,0.27956143,0.27989948,0.57351923,1.6792555,1.679405,4.055607,0.0,0.0,0.0,0.09042787,0.0,0.0,0.0,0.0,0.0,0.019512653,0.011310674,0.028000038
27627302,-0.02771008,0.88518983,0.17999442,-0.08405113,0.30982685,-0.82355994,0.0,0.0,0.0,-0.25738764,0.0,0.0,0.0,0.0,0.0,0.27956143,0.27989948,0.57351923,1.6792555,1.679405,4.0559106,0.0,0.0,0.0,0.0904265,0.0,0.0,0.0,0.0,0.0,0.018058745,0.016940707,0.03449885
27679179,0.4772827,0.8407579,0.15373757,-0.014907837,0.30337334,-0.25107893,0.0,0.0,0.0,-0.25449824,0.0,0.0,0.0,0.0,0.0,0.27896506,0.27922606,0.57353663,1.6771252,1.6772763,4.055086,0.0,0.0,0.0,0.090422444,0.0,0.0,0.0,0.0,0.0,0.018686123,0.072321504,0.123045005
27731205,0.4772827,0.8407579,0.15373757,-0.014907837,0.30337334,0.14590602,0.0,0.0,0.0,-0.25671077,0.0,0.0,0.0,0.0,0.0,0.27896506,0.27922606,0.57353663,1.6771252,1.6772763,4.055394,0.0,0.0,0.0,0.09042519,0.0,0.0,0.0,0.0,0.0,0.019054169,0.04501496,0.07362531
27784139,0.4772827,0.8407579,0.15373757,-0.014907837,0.30337334,-0.22237328,0.0,0.0,0.0,-0.2519629,0.0,0.0,0.0,0.0,0.0,0.27896506,0.27922606,0.57353663,1.6771252,1.6772763,4.0551715,0.0,0.0,0.0,0.09042317,0.0,0.0,0.0,0.0,0.0,0.01864817,0.0341158,0.051726725
27835977,0.40545,0.6488778,-0.17484817,-0.028060913,0.28577268,-0.58218044,0.0,0.0,0.0,-0.25352645,0.0,0.0,0.0,0.0,0.0,0.27784735,0.2780923,0.5734408,1.6764107,1.6765587,4.0553813,0.0,0.0,0.0,0.09042169,0.0,0.0,0.0,0.0,0.0,0.018493377,0.08415547,0.14566322
27888022,0.40545,0.6488778,-0.17484817,-0.028060913,0.28577268,-0.3004847,0.0,0.0,0.0,-0.25676012,0.0,0.0,0.0,0.0,0.0,0.27784735,0.2780923,0.5734408,1.6764107,1.6765587,4.0550914,0.0,0.0,0.0,0.09041342,0.0,0.0,0.0,0.0,0.0,0.017503394,0.055518344,0.09829837
27939972,0.40545,0.6488778,-0.17484817,-0.028060913,0.28577268,-0.30362177,0.0,0.0,0.0,-0.2634647,0.0,0.0,0.0,0.0,0.0,0.27784735,0.2780923,0.5734408,1.6764107,1.6765587,4.0553293,0.0,0.0,0.0,0.09041196,0.0,0.0,0.0,0.0,0.0,0.017142065,0.04407452,0.07509117
27992794,0.40545,0.6488778,-0.17484817,-0.028060913,0.28577268,0.69409686,0.0,0.0,0.0,-0.26129508,0.0,0.0,0.0,0.0,0.0,0.27784735,0.2780923,0.5734408,1.6764107,1.6765587,4.055535,0.0,0.0,0.0,0.09041046,0.0,0.0,0.0,0.0,0.0,0.017254347,0.04269154,0.061730314
28044757,0.2716797,0.6840792,-0.10032124,-0.013650894,0.29174507,-0.19120176,0.0,0.0,0.0,-0.27102208,0.0,0.0,0.0,0.0,0.0,0.27773786,0.2779479,0.573661,1.6792678,1.6794181,4.0557427,0.0,0.0,0.0,0.09040876,0.0,0.0,0.0,0.0,0.0,0.016768694,0.06421971,0.11354267
28096883,0.2716797,0.6840792,-0.10032124,-0.013650894,0.29174507,-0.20860304,0.0,0.0,0.0,-0.27612543,0.0,0.0,0.0,0.0,0.0,0.27773786,0.2779479,0.573661,1.6792678,1.6794181,4.055339,0.0,0.0,0.0,0.09040448,0.0,0.0,0.0,0.0,0.0,0.016714035,0.045393158,0.08076457
28148800,0.2716797,0.6840792,-0.10032124,-0.013650894,0.29174507,0.64311767,0.0,0.0,0.0,-0.27680635,0.0,0.0,0.0,0.0,0.0,0.27773786,0.2779479,0.573661,1.6792678,1.6794181,4.055548,0.0,0.0,0.0,0.09040283,0.0,0.0,0.0,0.0,0.0,0.016875258,0.037122518,0.060529724
28204767,0.2716797,0.6840792,-0.10032124,-0.013650894,0.29174507,0.2446516,0.0,0.0,0.0,-0.28005004,0.0,0.0,0.0,0.0,0.0,0.27773786,0.2779479,0.573661,1.6792678,1.6794181,4.05546,0.0,0.0,0.0,0.090401664,0.0,0.0,0.0,0.0,0.0,0.0165556,0.03988282,0.058140535
28256813,0.40867347,0.8231865,-0.03364618,-0.010902405,0.3074913,0.37946925,0.0,0.0,0.0,-0.28001237,0.0,0.0,0.0,0.0,0.0,0.2771986,0.27740192,0.57369447,1.6835933,1.6837409,4.055063,0.0,0.0,0.0,0.09039746,0.0,0.0,0.0,0.0,0.0,0.017178822,0.06965277,0.12163715
28309587,0.40867347,0.8231865,-0.03364618,-0.010902405,0.3074913,-0.7238751,0.0,0.0,0.0,-0.2804668,0.0,0.0,0.0,0.0,0.0,0.2771986,0.27740192,0.57369447,1.6835933,1.6837409,4.054961,0.0,0.0,0.0,0.09039483,0.0,0.0,0.0,0.0,0.0,0.017413074,0.04413017,0.08180284
28361678,0.40867347,0.8231865,-0.03364618,-0.010902405,0.3074913,-0.8792559,0.0,0.0,0.0,-0.2841909,0.0,0.0,0.0,0.0,0.0,0.2771986,0.27740192,0.57369447,1.6835933,1.6837409,4.055181,0.0,0.0,0.0,0.09039333,0.0,0.0,0.0,0.0,0.0,0.017299268,0.035460945,0.06590191
28413526,0.40867347,0.8231865,-0.03364618,-0.010902405,0.3074913,-0.18765163,0.0,0.0,0.0,-0.28331184,0.0,0.0,0.0,0.0,0.0,0.2771986,0.27740192,0.57369447,1.6835933,1.6837409,4.055068,0.0,0.0,0.0,0.09039181,0.0,0.0,0.0,0.0,0.0,0.017807128,0.038418073,0.05820602
28465625,0.47070575,0.7488613,-0.09688413,-0.020824432,0.3049932,-0.34905055,0.0,0.0,0.0,-0.28200603,0.0,0.0,0.0,0.0,0.0,0.27639377,0.27661857,0.57363015,1.6904062,1.6905519,4.054721,0.0,0.0,0.0,0.090387784,0.0,0.0,0.0,0.0,0.0,0.017722348,0.0588909,0.1070087
28518412,0.47070575,0.7488613,-0.09688413,-0.020824432,0.3049932,0.8132724,0.0,0.0,0.0,-0.27760553,0.0,0.0,0.0,0.0,0.0,0.27639377,0.27661857,0.57363015,1.6904062,1.6905519,4.0546427,0.0,0.0,0.0,0.09038602,0.0,0.0,0.0,0.0,0.0,0.017478786,0.042597394,0.0782234
28570483,0.47070575,0.7488613,-0.09688413,-0.020824432,0.3049932,-0.22426584,0.0,0.0,0.0,-0.26203227,0.0,0.0,0.0,0.0,0.0,0.27639377,0.27661857,0.57363015,1.6904062,1.6905519,4.054877,0.0,0.0,0.0,0.0903853,0.0,0.0,0.0,0.0,0.0,0.017234884,0.03794632,0.06425682
28622365,0.47070575,0.7488613,-0.09688413,-0.020824432,0.3049932,-0.7226941,0.0,0.0,0.0,-0.28450298,0.0,0.0,0.0,0.0,0.0,0.27639377,0.27661857,0.57363015,1.6904062,1.6905519,4.054809,0.0,0.0,0.0,0.09038355,0.0,0.0,0.0,0.0,0.0,0.015743231,0.045672126,0.0790785
28674507,0.46068847,0.6538607,-0.29850638,0.01010704,0.3206902,-0.8692402,0.0,0.0,0.0,-0.28858566,0.0,0.0,0.0,0.0,0.0,0.27653596,0.27678555,0.5737589,1.6993783,1.6995331,4.054451,0.0,0.0,0.0,0.090379514,0.0,0.0,0.0,0.0,0.0,0.015121317,0.055774778,0.11558104
28726380,0.46068847,0.6538607,-0.29850638,0.01010704,0.3206902,0.52505,0.0,0.0,0.0,-0.27455306,0.0,0.0,0.0,0.0,0.0,0.27653596,0.27678555,0.5737589,1.6993783,1.6995331,4.054286,0.0,0.0,0.0,0.09037827,0.0,0.0,0.0,0.0,0.0,0.014536179,0.045785554,0.10203819
28779236,0.46068847,0.6538607,-0.29850638,0.01010704,0.3206902,0.7631904,0.0,0.0,0.0,-0.29571366,0.0,0.0,0.0,0.0,0.0,0.27653596,0.27678555,0.5737589,1.6993783,1.6995331,4.0546613,0.0,0.0,0.0,0.0903763,0.0,0.0,0.0,0.0,0.0,0.015551806,0.04135419,0.07519409
28831174,0.33574158,0.77835613,-0.16333514,-0.024204254,0.35056603,-1.0021766,0.0,0.0,0.0,-0.30973363,0.0,0.0,0.0,0.0,0.0,0.27610356,0.2762911,0.57391584,1.6987573,1.6989064,4.0549126,0.0,0.0,0.0,0.090375006,0.0,0.0,0.0,0.0,0.0,0.015668508,0.065849565,0.1310436
28883134,0.33574158,0.77835613,-0.16333514,-0.024204254,0.35056603,0.45534623,0.0,0.0,0.0,-0.29431677,0.0,0.0,0.0,0.0,0.0,0.27610356,0.2762911,0.57391584,1.6987573,1.6989064,4.0541325,0.0,0.0,0.0,0.09037202,0.0,0.0,0.0,0.0,0.0,0.014494912,0.044460736,0.09670617
28935268,0.33574158,0.77835613,-0.16333514,-0.024204254,0.35056603,-0.45050046,0.0,0.0,0.0,-0.28524327,0.0,0.0,0.0,0.0,0.0,0.27610356,0.2762911,0.57391584,1.6987573,1.6989064,4.054544,0.0,0.0,0.0,0.09037011,0.0,0.0,0.0,0.0,0.0,0.01511872,0.0313876,0.068792485
28987239,0.33574158,0.77835613,-0.16333514,-0.024204254,0.35056603,-1.0345932,0.0,0.0,0.0,-0.28781128,0.0,0.0,0.0,0.0,0.0,0.27610356,0.2762911,0.57391584,1.6987573,1.6989064,4.054797,0.0,0.0,0.0,0.090368934,0.0,0.0,0.0,0.0,0.0,0.014741956,0.03585332,0.078515306
29040039,0.45479023,0.9257,-0.19750641,-0.017087936,0.3940158,-0.41105038,0.0,0.0,0.0,-0.28157926,0.0,0.0,0.0,0.0,0.0,0.27558738,0.27571627,0.57397485,1.694108,1.6942536,4.055048,0.0,0.0,0.0,0.0903677,0.0,0.0,0.0,0.0,0.0,0.015198929,0.079224,0.15462805
29091947,0.45479023,0.9257,-0.19750641,-0.017087936,0.3940158,-0.60847425,0.0,0.0,0.0,-0.28055143,0.0,0.0,0.0,0.0,0.0,0.27558738,0.27571627,0.57397485,1.694108,1.6942536,4.0546794,0.0,0.0,0.0,0.09036355,0.0,0.0,0.0,0.0,0.0,0.014421762,0.04681766,0.1061393
29144069,0.45479023,0.9257,-0.19750641,-0.017087936,0.3940158,-0.6107164,0.0,0.0,0.0,-0.2851212,0.0,0.0,0.0,0.0,0.0,0.27558738,0.27571627,0.57397485,1.694108,1.6942536,4.054927,0.0,0.0,0.0,0.090362035,0.0,0.0,0.0,0.0,0.0,0.014164409,0.032412764,0.085420534
