timestamp,roll,pitch,yaw,thrust
43965675,-1.2217306,0.013995492,-1.0471042,0.0
43997400,-1.2217306,0.015355318,-1.047085,0.0
44025419,-1.2217306,0.01937784,-1.0470184,0.0
44057854,-1.2217306,0.023836894,-1.0469264,0.0
44089746,-1.2217306,0.02731228,-1.0468415,0.0
44122072,-1.2217306,0.029841881,-1.0467724,0.0
44154201,-1.2217306,0.03497004,-1.0466137,0.0
44182154,-1.2217306,0.04168668,-1.0463676,0.0
44214273,-1.2217306,0.05392633,-1.0458083,0.0
44246661,-1.2217306,0.07043284,-1.0448264,0.0
44278290,-1.2217306,0.09130218,-1.0432099,0.0
44310298,-1.2217306,0.10997466,-1.041407,0.0
44342718,-1.2217306,0.12644756,-1.0395355,0.0
44374456,-1.2217306,0.1385932,-1.037986,0.0
44407049,-1.2217306,0.14944956,-1.0364785,0.0
44435043,-1.2217306,0.15605016,-1.0355053,0.0
44467262,-1.2217306,0.16001433,-1.0349002,0.0
44499586,-1.2217306,0.15688902,-1.0353786,0.0
44530974,-1.2217306,0.14857261,-1.0366046,0.0
44563017,-1.2217306,0.13672069,-1.0382344,0.0
44595379,-1.2217306,0.12471607,-1.0397446,0.0
44626950,-1.2217306,0.116400525,-1.0407084,0.0
44656937,-1.2217306,0.11457651,-1.0409108,0.0
44687775,-1.2217306,0.12153092,-1.0401218,0.0
44719775,-1.2217306,0.14425494,-1.0372144,0.0
44752126,-1.2217306,0.19216087,-1.029416,0.0
44783857,-1.2217306,0.27400762,-1.010714,0.0
44815807,-1.2217306,0.39054403,-0.97164726,0.0
44848188,-1.2217306,0.5279013,-0.90440214,0.0
44875961,-1.2217306,0.6434497,-0.82619333,0.0
44909263,-1.2217306,0.75276977,-0.72798395,0.0
44940589,-1.2217306,0.8303713,-0.6380489,0.0
44972875,-1.2217306,0.8831059,-0.5628028,0.0
45005253,-1.2217306,0.916809,-0.5060477,0.0
45036587,-1.1707749,0.9344485,-0.4726829,0.0
45068665,-1.1298392,0.9420626,-0.4573193,0.0
45096594,-1.1258941,0.9427832,-0.45583206,0.0
45128949,-1.1443185,0.9393982,-0.46276775,0.0
45161491,-1.1945779,0.92990565,-0.48155844,0.0
45192692,-1.2217306,0.9149803,-0.5093468,0.0
45225454,-1.2217306,0.89603806,-0.54197687,0.0
45253392,-1.2217306,0.8784703,-0.57001144,0.0
45285512,-1.2217306,0.85693455,-0.6019022,0.0
45318196,-1.2217306,0.83122295,-0.6369391,0.0
45349308,-1.2217306,0.7992398,-0.67663777,0.0
45381517,-1.2217306,0.75750256,-0.7230579,0.0
45413993,-1.2217306,0.7060821,-0.7733505,0.0
45445418,-1.2217306,0.64348316,-0.8261672,0.0
45477527,-1.2217306,0.5717316,-0.8773517,0.0
45506227,-1.2217306,0.5004139,-0.9198962,0.0
45538297,-1.2217306,0.43033633,-0.9546904,0.0
45570703,-1.2217306,0.39304963,-0.9706364,0.0
45602168,-1.2217306,0.41600555,-0.96102154,0.0
45634063,-1.2217306,0.5046038,-0.9176045,0.0
45666797,-1.2217306,0.64655733,-0.8237637,0.0
45698274,-1.2217306,0.79759157,-0.6785799,0.0
45727037,-1.2217306,0.90305346,-0.5302051,0.0
45759097,-0.89537233,0.98075014,-0.36708596,0.0
