timestamp,system_id,component_id,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,engine_failure,engine_failure_cmd,mission_failure
25325748,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
25602488,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
25843408,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
26083936,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
26324980,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
26557262,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
26785912,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
27024424,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
27264260,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
27505050,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
27745619,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
27986789,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
28227332,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
28467191,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
28708322,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
28949019,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
29189746,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
29418733,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
29659579,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
29900406,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
30140936,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
30374402,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
30610067,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
30850437,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
31090965,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
31327764,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
