timestamp,load,ram_usage
25563037,0.464335,0.79115874
26563040,0.481586,0.79149365
27565223,0.48000202,0.79149365
28567210,0.474842,0.79149365
29568036,0.476902,0.79149365
30569040,0.476262,0.79149365
31570040,0.475154,0.79149365
32571928,0.474194,0.79149365
33573040,0.471384,0.79149365
34574273,0.472106,0.79149365
35575293,0.475811,0.79149365
36576040,0.475831,0.79149365
37577242,0.475355,0.79149365
38580119,0.476527,0.79149365
39581201,0.476856,0.79149365
40582040,0.472456,0.79149365
41584036,0.471872,0.79149365
42586544,0.47684,0.79149365
43587134,0.476981,0.79149365
44588036,0.492489,0.79216343
45589134,0.49116,0.79216343
46591040,0.493902,0.79216343
47593498,0.48988,0.79216343
48595427,0.487228,0.79216343
49596108,0.489366,0.79216343
50597040,0.492288,0.79216343
51598036,0.489447,0.79216343
52600670,0.489513,0.79216343
53601985,0.492864,0.79216343
54604040,0.490694,0.79216343
55605043,0.490481,0.79216343
56607554,0.486612,0.79216343
57609170,0.493411,0.79216343
59611178,0.480153,0.79216343
60612040,0.494621,0.79216343
61613230,0.488212,0.79216343
62614040,0.491426,0.79216343
63616428,0.487754,0.79216343
64617600,0.491229,0.79216343
65618036,0.49439,0.79229736
66621709,0.489917,0.79229736
67623250,0.532815,0.7925653
68624040,0.530486,0.7925653
69625044,0.535839,0.7925653
70626592,0.531164,0.7925653
71627502,0.526347,0.7925653
72628036,0.529382,0.7925653
73629040,0.531079,0.7925653
74630040,0.529814,0.7925653
75633160,0.53506,0.7925653
76635040,0.528983,0.7925653
77636043,0.530331,0.7925653
78637040,0.5254,0.7925653
79641561,0.53294003,0.7925653
80643550,0.530465,0.7925653
81644263,0.528836,0.7925653
82646960,0.531502,0.7925653
83648036,0.530169,0.7925653
84648036,0.531211,0.7925653
85649040,0.530447,0.7925653
86652022,0.524,0.7925653
87653949,0.534661,0.7925653
88655990,0.529421,0.7925653
89657111,0.530523,0.7925653
90661859,0.532789,0.7925653
91664277,0.529312,0.7925653
92665198,0.529065,0.7925653
93667115,0.529009,0.7925653
94668164,0.531065,0.7925653
95669227,0.527858,0.7925653
96671040,0.531906,0.7925653
97672269,0.531109,0.7925653
98673716,0.53414303,0.7925653
99676185,0.527991,0.7925653
100677040,0.530276,0.7925653
101683040,0.525998,0.7925653
102684080,0.52877,0.7925653
103688991,0.527466,0.7925653
104692675,0.523887,0.7925653
105693060,0.51237,0.7925653
106694510,0.533224,0.7925653
107696452,0.530492,0.7925653
108697154,0.526401,0.7925653
109699040,0.525305,0.7925653
110699439,0.530753,0.7925653
111700040,0.531045,0.7925653
112701040,0.531504,0.7925653
113702253,0.529166,0.7925653
114703040,0.53412,0.7925653
115704092,0.534245,0.7925653
116705036,0.524588,0.7925653
117707490,0.533878,0.7925653
118708110,0.530451,0.7925653
119712989,0.532484,0.7925653
120715472,0.52879,0.7925653
121717589,0.530237,0.7925653
122718036,0.531473,0.7925653
123719567,0.528977,0.7925653
124720790,0.527453,0.7925653
125720040,0.533644,0.7925653
126721921,0.529746,0.7925653
127722287,0.531292,0.7925653
128723491,0.531564,0.7925653
129723273,0.532202,0.7925653
130724036,0.52883,0.7925653
131725969,0.529877,0.7925653
132730366,0.525585,0.7925653
133731040,0.532598,0.7925653
134735176,0.528437,0.7925653
135736117,0.532,0.7925653
136739162,0.52939403,0.7925653
137740040,0.53046,0.7925653
138741739,0.530199,0.7925653
139744147,0.525822,0.7925653
140745131,0.532323,0.7925653
141747117,0.53082,0.7925653
142748204,0.531092,0.7925653
143749046,0.533981,0.7925653
144750036,0.528963,0.7925653
145753646,0.529671,0.7925653
146754202,0.528675,0.7925653
147757148,0.532642,0.7925653
148759114,0.530532,0.7925653
149762448,0.528933,0.7925653
150763045,0.532061,0.7925653
151765904,0.529894,0.7925653
152768036,0.532142,0.7925653
153769115,0.529804,0.7925653
154770036,0.528453,0.7925653
155772636,0.528085,0.7925653
156773108,0.532458,0.7925653
157774552,0.531342,0.7925653
