timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_ga
228640791,0.22766149,0.05555186,0.0
382375362,0.22030255,0.055110283,0.0
382575813,0.2222266,0.05170006,0.0
382780200,0.11232722,0.050167475,0.0
382983903,0.16407901,0.047863964,0.0
383185458,0.16243553,0.046681397,0.0
