timestamp,rollspeed,pitchspeed,yawspeed,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
228860688,-0.0001135068,-0.00074571744,-0.00030804798,0.0,0.0,0.0,0.0
228892702,1.215376e-06,-0.0003374396,-0.0007918449,0.0,0.0,0.0,0.0
228924724,0.00043005683,-0.00072323997,0.00011077011,0.0,0.0,0.0,0.0
228952701,-0.00061232224,0.00037266407,-0.0010735528,0.0,0.0,0.0,0.0
228984669,-0.001088473,-0.0001838496,0.0007573408,0.0,0.0,0.0,0.0
229016660,0.0002500387,0.002047739,-0.0018399563,0.0,0.0,0.0,0.0
229048696,0.00019463617,0.00093540177,-0.0013301903,0.0,0.0,0.0,0.0
229081495,-0.00058858376,0.00081142876,-0.0017400021,0.0,0.0,0.0,0.0
229113478,-0.0009789271,2.255477e-05,0.00048757624,0.0,0.0,0.0,0.0
229141495,-0.00022645947,-0.0005772682,-0.0004884191,0.0,0.0,0.0,0.0
229173499,0.0003725607,0.00013897568,-0.00023469003,0.0,0.0,0.0,0.0
229205456,0.0029600635,-0.0067431917,-0.04534546,0.0,0.0,0.0,0.0
229237536,-0.009877124,0.015753549,-0.20860593,0.0,0.0,0.0,0.0
229269505,0.13609166,-0.058888555,0.15784031,0.0,0.0,0.0,0.0
229301542,0.43098694,0.0602614,0.0059583285,0.0,0.0,0.0,0.0
229333469,0.28541598,-0.04787512,-0.024907578,0.0,0.0,0.0,0.0
229365461,0.17128688,-0.07814513,0.05681223,0.0,0.0,0.0,0.0
229393460,-0.28706002,-0.07907552,0.18646294,0.0,0.0,0.0,0.0
229425501,0.11651473,0.09247279,0.07177068,0.0,0.0,0.0,0.0
229457505,-0.17935137,0.006307403,-0.04290358,0.0,0.0,0.0,0.0
229489490,-0.19332086,-0.07650946,0.14184497,0.0,0.0,0.0,0.0
229521459,-0.121383026,0.10940601,-0.19300008,0.0,0.0,0.0,0.0
229553537,-0.5317657,0.066287026,-0.049925506,0.0,0.0,0.0,0.0
229585500,-0.53543335,-0.0725952,0.093175344,0.0,0.0,0.0,0.0
229617465,-0.15116417,0.06632093,0.044109475,0.0,0.0,0.0,0.0
229645463,-0.043019965,-0.05913402,0.02556235,0.0,0.0,0.0,0.0
229677505,0.3398231,0.028509881,-0.06625178,0.0,0.0,0.0,0.0
229709462,0.014973115,-0.008464871,-0.0661889,0.0,0.0,0.0,0.0
229741527,0.26518857,0.0011357889,-0.03026891,0.0,0.0,0.0,0.0
229773511,0.013850739,0.020043075,-0.009988725,0.0,0.0,0.0,0.0
229805461,0.093653664,-0.01648112,-0.065340415,0.0,0.0,0.0,0.0
229838273,0.10014205,0.0457739,-0.022223856,0.0,0.0,0.0,0.0
229866262,-0.181129,-0.045963757,0.101919666,0.0,0.0,0.0,0.0
229898262,0.14342725,0.025384601,0.0130616315,0.0,0.0,0.0,0.0
229930258,-0.07919816,-0.009410025,-0.023622021,0.0,0.0,0.0,0.0
229962317,0.14050704,-0.0017665541,-0.053419963,0.0,0.0,0.0,0.0
229994258,-0.05351069,0.021681353,-0.018298198,0.0,0.0,0.0,0.0
230026255,0.061895367,-0.004318756,-0.01779842,0.0,0.0,0.0,0.0
230058275,-0.13515222,0.011431373,0.023410875,0.0,0.0,0.0,0.0
230090329,0.08024072,-0.020427741,0.029034978,0.0,0.0,0.0,0.0
230118285,-0.06011158,0.043404415,0.03325889,0.0,0.0,0.0,0.0
230150254,-0.27866092,-0.028974378,0.11626651,0.0,0.0,0.0,0.0
230182279,0.05247246,0.008742988,-0.008207052,0.0,0.0,0.0,0.0
230214255,-0.10410259,0.036097612,-0.018635292,0.0,0.0,0.0,0.0
230246284,-0.06461411,-0.014410408,0.017291626,0.0,0.0,0.0,0.0
230278301,0.18265678,0.03424387,-0.02591682,0.0,0.0,0.0,0.0
230310256,-0.10875724,-0.0023671817,-0.028462796,0.0,0.0,0.0,0.0
230342290,-0.0832855,-0.009266274,0.052118234,0.0,0.0,0.0,0.0
230370259,0.07446917,-0.0008081272,0.018790886,0.0,0.0,0.0,0.0
230402286,0.106151626,-0.0017886776,0.067219615,0.0,0.0,0.0,0.0
230434301,0.00055169035,-0.018125571,-0.03921455,0.0,0.0,0.0,0.0
230466252,-0.06404584,-0.010653287,-0.035562336,0.0,0.0,0.0,0.0
230498265,-0.02015343,-0.0013184445,-0.042275336,0.0,0.0,0.0,0.0
230530264,0.0760947,0.017854733,-0.10682877,0.0,0.0,0.0,0.0
230562318,0.11952229,-0.019298851,-0.03635859,0.0,0.0,0.0,0.0
230594329,0.020683808,-0.001153349,-0.025095044,0.0,0.0,0.0,0.0
230623093,0.04335026,0.006110914,-0.03009763,0.0,0.0,0.0,0.0
230655145,0.02211246,0.0028767586,-0.022937274,0.0,0.0,0.0,0.0
230687056,0.061067443,0.0032856055,0.05464196,0.0,0.0,0.0,0.0
230719106,0.07643146,-0.006646823,0.086770155,0.0,0.0,0.0,0.0
230751074,0.004958509,0.0010166857,0.035621036,0.0,0.0,0.0,0.0
230783127,0.028476115,0.022266246,-0.03267714,0.0,0.0,0.0,0.0
230815058,0.013771752,0.02026042,-0.031230748,0.0,0.0,0.0,0.0
230847060,0.045251083,-0.0036469046,0.037415404,0.0,0.0,0.0,0.0
230879105,0.11413742,-0.0366269,0.08290023,0.0,0.0,0.0,0.0
230911085,0.18982513,-0.037910312,0.1236618,0.0,0.0,0.0,0.0
230943058,0.192818,-0.13261992,0.13055362,0.0,0.0,0.0,0.0
230975055,0.31621626,-0.07346961,0.12078645,0.0,0.0,0.0,0.0
231007090,0.10283546,-0.101923585,0.066114835,0.0,0.0,0.0,0.0
231035096,0.14239717,-0.04838097,0.042863995,0.0,0.0,0.0,0.0
231067088,-0.09545532,0.0550918,0.16115408,0.0,0.0,0.0,0.0
231099054,-0.11334813,-0.00065240916,0.08387633,0.0,0.0,0.0,0.0
231131051,-0.072068796,0.005326032,0.088111915,0.0,0.0,0.0,0.0
231163053,-0.07370134,-0.042269588,0.04391455,0.0,0.0,0.0,0.0
231195128,-0.04127341,-0.03569431,0.0903972,0.0,0.0,0.0,0.0
231227098,0.03480198,0.01583226,-0.096030354,0.0,0.0,0.0,0.0
231259052,0.120591976,0.02799325,-0.052413963,0.0,0.0,0.0,0.0
231287097,0.11586981,0.00039461348,-0.12908256,0.0,0.0,0.0,0.0
231319058,0.20418458,-0.00074491743,0.031624418,0.0,0.0,0.0,0.0
231351055,0.2857337,-0.026356338,0.10681773,0.0,0.0,0.0,0.0
231384659,-0.08406516,-0.018898744,0.024616862,0.0,0.0,0.0,0.0
231416693,-0.103614636,0.028620362,-0.053223174,0.0,0.0,0.0,0.0
231444723,-0.026047051,0.012508571,0.041952748,0.0,0.0,0.0,0.0
231476692,0.00066154543,0.011595114,-0.08464781,0.0,0.0,0.0,0.0
231508699,-0.015118072,0.046213463,-0.07495238,0.0,0.0,0.0,0.0
231540687,0.020391762,0.0058823456,0.028597247,0.0,0.0,0.0,0.0
231572697,0.0004818011,-0.020188037,0.12758183,0.0,0.0,0.0,0.0
231604703,-0.06964203,0.046459,0.056889936,0.0,0.0,0.0,0.0
231636656,-0.13132788,-0.02878534,-0.12439298,0.0,0.0,0.0,0.0
231668656,0.059630305,-0.0036519421,-0.009111866,0.0,0.0,0.0,0.0
231696703,0.05069282,0.012796773,-0.18995526,0.0,0.0,0.0,0.0
231728655,0.21536063,0.03714084,-0.096305415,0.0,0.0,0.0,0.0
231760737,0.18409345,-0.02591706,0.006811401,0.0,0.0,0.0,0.0
231792708,0.08805778,-0.021113733,0.12808181,0.0,0.0,0.0,0.0
231824703,0.06059338,0.020729765,0.04106052,0.0,0.0,0.0,0.0
231856655,-0.10394099,-0.017410506,-0.039415613,0.0,0.0,0.0,0.0
231888735,-0.05204191,-0.0016563442,0.01763529,0.0,0.0,0.0,0.0
231920685,-0.11126691,-0.0064479755,0.09012622,0.0,0.0,0.0,0.0
231949454,0.018739345,-0.014619634,0.1868992,0.0,0.0,0.0,0.0
231981502,-0.08841979,0.011422598,0.16995014,0.0,0.0,0.0,0.0
232013468,-0.16184781,-0.001962739,-0.028802808,0.0,0.0,0.0,0.0
232045459,0.01176234,-0.016980816,-0.05282191,0.0,0.0,0.0,0.0
232077459,0.16484606,0.051679786,-0.123551615,0.0,0.0,0.0,0.0
232109505,0.18222749,-0.032451652,-0.11002356,0.0,0.0,0.0,0.0
232137456,0.10199737,-0.0042543756,0.0059964117,0.0,0.0,0.0,0.0
232169491,0.07052829,-0.04770521,0.08947257,0.0,0.0,0.0,0.0
