timestamp,heartbeat_time,telem_time,rxerrors,fixed,type,rssi,remote_rssi,noise,remote_noise,txbuf,system_id,component_id
228565539,228565539,0,0,0,0,0,0,0,0,0,0,0
229580472,229580472,0,0,0,0,0,0,0,0,0,0,0
230604637,230604637,0,0,0,0,0,0,0,0,0,0,0
231598469,231598469,0,0,0,0,0,0,0,0,0,0,0
232576490,232576490,0,0,0,0,0,0,0,0,0,0,0
233565630,233565630,0,0,0,0,0,0,0,0,0,0,0
234587637,234587637,0,0,0,0,0,0,0,0,0,0,0
235916533,235916533,0,0,0,0,0,0,0,0,0,0,0
236567524,236567524,0,0,0,0,0,0,0,0,0,0,0
237568257,237568257,0,0,0,0,0,0,0,0,0,0,0
238566467,238566467,0,0,0,0,0,0,0,0,0,0,0
239590519,239590519,0,0,0,0,0,0,0,0,0,0,0
240568471,240568471,0,0,0,0,0,0,0,0,0,0,0
241567541,241567541,0,0,0,0,0,0,0,0,0,0,0
242569459,242569459,0,0,0,0,0,0,0,0,0,0,0
243565476,243565476,0,0,0,0,0,0,0,0,0,0,0
244565500,244565500,0,0,0,0,0,0,0,0,0,0,0
245572574,245572574,0,0,0,0,0,0,0,0,0,0,0
246586525,246586525,0,0,0,0,0,0,0,0,0,0,0
247565586,247565586,0,0,0,0,0,0,0,0,0,0,0
248579303,248579303,0,0,0,0,0,0,0,0,0,0,0
249576480,249576480,0,0,0,0,0,0,0,0,0,0,0
250565133,250565133,0,0,0,0,0,0,0,0,0,0,0
251615049,251615049,0,0,0,0,0,0,0,0,0,0,0
252567466,252567466,0,0,0,0,0,0,0,0,0,0,0
253586796,253586796,0,0,0,0,0,0,0,0,0,0,0
254570194,254570194,0,0,0,0,0,0,0,0,0,0,0
255615458,255615458,0,0,0,0,0,0,0,0,0,0,0
256580222,256580222,0,0,0,0,0,0,0,0,0,0,0
257563875,257563875,0,0,0,0,0,0,0,0,0,0,0
258571508,258571508,0,0,0,0,0,0,0,0,0,0,0
259569012,259569012,0,0,0,0,0,0,0,0,0,0,0
260562731,260562731,0,0,0,0,0,0,0,0,0,0,0
261569458,261569458,0,0,0,0,0,0,0,0,0,0,0
262576469,262576469,0,0,0,0,0,0,0,0,0,0,0
263577479,263577479,0,0,0,0,0,0,0,0,0,0,0
264571997,264571997,0,0,0,0,0,0,0,0,0,0,0
265691578,265691578,0,0,0,0,0,0,0,0,0,0,0
266569466,266569466,0,0,0,0,0,0,0,0,0,0,0
267566874,267566874,0,0,0,0,0,0,0,0,0,0,0
268573404,268573404,0,0,0,0,0,0,0,0,0,0,0
269564572,269564572,0,0,0,0,0,0,0,0,0,0,0
270571468,270571468,0,0,0,0,0,0,0,0,0,0,0
271573594,271573594,0,0,0,0,0,0,0,0,0,0,0
272578605,272578605,0,0,0,0,0,0,0,0,0,0,0
273561548,273561548,0,0,0,0,0,0,0,0,0,0,0
274573525,274573525,0,0,0,0,0,0,0,0,0,0,0
275570465,275570465,0,0,0,0,0,0,0,0,0,0,0
276563570,276563570,0,0,0,0,0,0,0,0,0,0,0
277570480,277570480,0,0,0,0,0,0,0,0,0,0,0
278608586,278608586,0,0,0,0,0,0,0,0,0,0,0
279569469,279569469,0,0,0,0,0,0,0,0,0,0,0
280566626,280566626,0,0,0,0,0,0,0,0,0,0,0
281571507,281571507,0,0,0,0,0,0,0,0,0,0,0
282648508,282648508,0,0,0,0,0,0,0,0,0,0,0
283764467,283764467,0,0,0,0,0,0,0,0,0,0,0
284578459,284578459,0,0,0,0,0,0,0,0,0,0,0
285906478,285906478,0,0,0,0,0,0,0,0,0,0,0
286570366,286570366,0,0,0,0,0,0,0,0,0,0,0
287578472,287578472,0,0,0,0,0,0,0,0,0,0,0
288594519,288594519,0,0,0,0,0,0,0,0,0,0,0
289571521,289571521,0,0,0,0,0,0,0,0,0,0,0
290589588,290589588,0,0,0,0,0,0,0,0,0,0,0
291609462,291609462,0,0,0,0,0,0,0,0,0,0,0
292562338,292562338,0,0,0,0,0,0,0,0,0,0,0
293569467,293569467,0,0,0,0,0,0,0,0,0,0,0
294580249,294580249,0,0,0,0,0,0,0,0,0,0,0
295601469,295601469,0,0,0,0,0,0,0,0,0,0,0
296567513,296567513,0,0,0,0,0,0,0,0,0,0,0
297576575,297576575,0,0,0,0,0,0,0,0,0,0,0
298572462,298572462,0,0,0,0,0,0,0,0,0,0,0
299571535,299571535,0,0,0,0,0,0,0,0,0,0,0
300570800,300570800,0,0,0,0,0,0,0,0,0,0,0
301563499,301563499,0,0,0,0,0,0,0,0,0,0,0
302568821,302568821,0,0,0,0,0,0,0,0,0,0,0
303583572,303583572,0,0,0,0,0,0,0,0,0,0,0
304582564,304582564,0,0,0,0,0,0,0,0,0,0,0
305582537,305582537,0,0,0,0,0,0,0,0,0,0,0
306592479,306592479,0,0,0,0,0,0,0,0,0,0,0
307585518,307585518,0,0,0,0,0,0,0,0,0,0,0
308588360,308588360,0,0,0,0,0,0,0,0,0,0,0
309587349,309587349,0,0,0,0,0,0,0,0,0,0,0
310607473,310607473,0,0,0,0,0,0,0,0,0,0,0
311587537,311587537,0,0,0,0,0,0,0,0,0,0,0
312586635,312586635,0,0,0,0,0,0,0,0,0,0,0
313614632,313614632,0,0,0,0,0,0,0,0,0,0,0
314579866,314579866,0,0,0,0,0,0,0,0,0,0,0
315818566,315818566,0,0,0,0,0,0,0,0,0,0,0
316620304,316620304,0,0,0,0,0,0,0,0,0,0,0
317641455,317641455,0,0,0,0,0,0,0,0,0,0,0
318613281,318613281,0,0,0,0,0,0,0,0,0,0,0
319614824,319614824,0,0,0,0,0,0,0,0,0,0,0
320598475,320598475,0,0,0,0,0,0,0,0,0,0,0
321607476,321607476,0,0,0,0,0,0,0,0,0,0,0
322598469,322598469,0,0,0,0,0,0,0,0,0,0,0
323599473,323599473,0,0,0,0,0,0,0,0,0,0,0
324595519,324595519,0,0,0,0,0,0,0,0,0,0,0
325839008,325839008,0,0,0,0,0,0,0,0,0,0,0
326600689,326600689,0,0,0,0,0,0,0,0,0,0,0
327603581,327603581,0,0,0,0,0,0,0,0,0,0,0
328598477,328598477,0,0,0,0,0,0,0,0,0,0,0
329602462,329602462,0,0,0,0,0,0,0,0,0,0,0
330598537,330598537,0,0,0,0,0,0,0,0,0,0,0
331605479,331605479,0,0,0,0,0,0,0,0,0,0,0
332602623,332602623,0,0,0,0,0,0,0,0,0,0,0
333602466,333602466,0,0,0,0,0,0,0,0,0,0,0
334606390,334606390,0,0,0,0,0,0,0,0,0,0,0
335600699,335600699,0,0,0,0,0,0,0,0,0,0,0
336620599,336620599,0,0,0,0,0,0,0,0,0,0,0
337599466,337599466,0,0,0,0,0,0,0,0,0,0,0
338602459,338602459,0,0,0,0,0,0,0,0,0,0,0
339609836,339609836,0,0,0,0,0,0,0,0,0,0,0
340599508,340599508,0,0,0,0,0,0,0,0,0,0,0
341612466,341612466,0,0,0,0,0,0,0,0,0,0,0
342615468,342615468,0,0,0,0,0,0,0,0,0,0,0
343600616,343600616,0,0,0,0,0,0,0,0,0,0,0
344600469,344600469,0,0,0,0,0,0,0,0,0,0,0
345610965,345610965,0,0,0,0,0,0,0,0,0,0,0
346613469,346613469,0,0,0,0,0,0,0,0,0,0,0
347612665,347612665,0,0,0,0,0,0,0,0,0,0,0
348602508,348602508,0,0,0,0,0,0,0,0,0,0,0
