timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
228860554,-0.00852008,-0.012876909,-0.0056207604,4033,0,0.34715906,0.46818715,-9.709833,4033
228864521,-0.0070917187,-0.0125147635,-0.007060088,3967,0,0.33424127,0.4733039,-9.6829605,3967
228868521,-0.0074766963,-0.012046885,-0.0050302083,4000,0,0.34893763,0.4588216,-9.716401,4000
228872532,-0.006758432,-0.013544033,-0.0046227453,4011,0,0.32325196,0.47941703,-9.780112,4011
228876521,-0.008099391,-0.011276525,-0.0056530805,3989,0,0.3571946,0.46019945,-9.771096,3989
228880526,-0.0082018245,-0.011701087,-0.0057834536,4005,0,0.3704631,0.44131544,-9.734128,4005
228884532,-0.010312891,-0.012322001,-0.0064092474,4006,0,0.33476707,0.4394475,-9.766182,4006
228888521,-0.009492361,-0.012780648,-0.005438321,3989,0,0.33347875,0.44825572,-9.744343,3989
228892521,-0.008607941,-0.012430654,-0.0063549033,4000,0,0.37040797,0.44128755,-9.761563,4000
228896521,-0.007970742,-0.012750552,-0.0061255936,4000,0,0.37545994,0.4527564,-9.74863,4000
228900536,-0.008637772,-0.012986749,-0.0056285835,4015,0,0.34424338,0.46979752,-9.776468,4015
228904521,-0.009473158,-0.0121279415,-0.0060581444,3985,0,0.32533672,0.46217504,-9.749158,3985
228908522,-0.008790653,-0.011216819,-0.0043004933,4001,0,0.34979916,0.45159644,-9.711002,4001
228912532,-0.009175032,-0.012568721,-0.005421447,4010,0,0.32797265,0.43291497,-9.725435,4010
228916521,-0.010546966,-0.01288014,-0.0056911847,3989,0,0.3368424,0.4373754,-9.742844,3989
228920530,-0.0083284825,-0.012257914,-0.0051695383,4009,0,0.3338382,0.45487878,-9.728322,4009
228924535,-0.0084329955,-0.013105349,-0.0053074914,4005,0,0.30077317,0.44591218,-9.7480345,4005
228928521,-0.007679294,-0.01321071,-0.0053902166,3986,0,0.32204127,0.43021166,-9.746182,3986
228932521,-0.00855539,-0.011950965,-0.004749456,4000,0,0.3327479,0.44086707,-9.726506,4000
228936521,-0.008969364,-0.011407115,-0.0051585417,4000,0,0.348216,0.4675721,-9.709079,4000
228940556,-0.0072406405,-0.010435342,-0.0057057096,4035,0,0.33969942,0.4494397,-9.768038,4035
228944538,-0.006500789,-0.012127206,-0.0059517,3982,0,0.3453615,0.45870537,-9.740779,3982
228948521,-0.009055978,-0.013531794,-0.0057621896,3983,0,0.32588503,0.46287245,-9.7872,3983
228952521,-0.009235757,-0.011249808,-0.006657613,4000,0,0.3228147,0.457794,-9.716054,4000
228956521,-0.009589713,-0.010529415,-0.0056835976,4000,0,0.36505747,0.4673116,-9.702647,4000
228960521,-0.009249825,-0.011800179,-0.006260306,4000,0,0.3470343,0.45454594,-9.745096,4000
228964542,-0.008852976,-0.011712136,-0.0054787914,4021,0,0.35621035,0.45480284,-9.74206,4021
228968546,-0.010073487,-0.011976208,-0.0040414417,4004,0,0.33596784,0.4525335,-9.731414,4004
228972521,-0.0089624375,-0.012040464,-0.005297351,3975,0,0.33213484,0.4555615,-9.78796,3975
228976521,-0.007828949,-0.013356827,-0.0073178904,4000,0,0.3417845,0.46447578,-9.758903,4000
228980522,-0.008298194,-0.011802627,-0.006000835,4001,0,0.33051154,0.4634218,-9.770357,4001
228984523,-0.010058973,-0.012598248,-0.00438791,4001,0,0.34166655,0.4644223,-9.771376,4001
228988521,-0.008604885,-0.0138058895,-0.006507239,3998,0,0.34486315,0.45892888,-9.762935,3998
228992521,-0.007759354,-0.013497282,-0.0062535605,4000,0,0.33631307,0.44871855,-9.714443,4000
228996521,-0.00901616,-0.013366033,-0.0068408246,4000,0,0.34541345,0.48782548,-9.763691,4000
229000521,-0.009481029,-0.012986861,-0.0056552505,4000,0,0.33928305,0.47119886,-9.74491,4000
229004522,-0.00931737,-0.012289158,-0.0043607233,4001,0,0.35300553,0.4514145,-9.709093,4001
229008521,-0.009256538,-0.012440557,-0.00605907,3999,0,0.38551864,0.45143223,-9.737125,3999
229012545,-0.008892378,-0.011223115,-0.0073864833,4024,0,0.34357107,0.45308787,-9.744369,4024
229016521,-0.008365625,-0.009953731,-0.0071135974,3976,0,0.32562047,0.4602143,-9.76157,3976
229020521,-0.009126698,-0.009867014,-0.0066098855,4000,0,0.3559331,0.45418563,-9.749613,4000
229024521,-0.0077442923,-0.010077089,-0.006885279,4000,0,0.3435724,0.43521023,-9.765048,4000
229028539,-0.0097466735,-0.011124603,-0.0072017713,4018,0,0.32572094,0.45839107,-9.731404,4018
229032521,-0.0083946055,-0.011583203,-0.0063205967,3982,0,0.33084935,0.49760082,-9.766365,3982
229036521,-0.0088523505,-0.010972822,-0.005358417,4000,0,0.37845737,0.49216273,-9.7443695,4000
229040521,-0.009272645,-0.011923117,-0.0056157876,4000,0,0.3637738,0.46474054,-9.751881,4000
229044531,-0.00840046,-0.0116742365,-0.0064207753,4010,0,0.35198826,0.47170427,-9.735762,4010
229048565,-0.008577027,-0.011147488,-0.0067423494,4034,0,0.35378018,0.48821768,-9.731813,4034
229052521,-0.007958708,-0.011992039,-0.0067386795,3956,0,0.32790825,0.4638369,-9.714034,3956
229056521,-0.008233356,-0.013746817,-0.004893229,4000,0,0.33472285,0.48942447,-9.722216,4000
229060521,-0.008197564,-0.012338006,-0.005910978,4000,0,0.3318958,0.45149115,-9.726521,4000
229064521,-0.0077404645,-0.01219089,-0.006309573,4000,0,0.33332065,0.4449722,-9.767538,4000
229068529,-0.009245968,-0.0122175915,-0.0063692136,4008,0,0.2985556,0.44436178,-9.727916,4008
229072532,-0.008982546,-0.011844023,-0.004853489,4003,0,0.32718518,0.4614709,-9.743031,4003
229077321,-0.009505684,-0.012338473,-0.0065261903,4789,0,0.32036954,0.45942464,-9.784255,4789
229081321,-0.009335818,-0.011031423,-0.006869142,4000,0,0.3320683,0.47253653,-9.7594795,4000
229085321,-0.009877345,-0.01187931,-0.006582153,4000,0,0.31817982,0.43999892,-9.732341,4000
229089337,-0.0076832194,-0.010547534,-0.0054042875,4016,0,0.33362228,0.45691758,-9.773406,4016
229093321,-0.008212567,-0.0121401865,-0.005480067,3984,0,0.3592305,0.4611875,-9.760274,3984
229097321,-0.008192059,-0.013607788,-0.006059177,4000,0,0.33463463,0.46131507,-9.734657,4000
229101321,-0.008733055,-0.012351627,-0.0056108953,4000,0,0.32416636,0.47092068,-9.740209,4000
229105321,-0.009246916,-0.011366622,-0.006342247,4000,0,0.31759712,0.44698253,-9.758191,4000
229109348,-0.009247114,-0.011366921,-0.006336993,4027,0,0.3240518,0.4181338,-9.751018,4027
229113343,-0.009512244,-0.012603301,-0.004687361,3995,0,0.3376752,0.47140658,-9.779726,3995
229117321,-0.008002131,-0.01150418,-0.0054583345,3978,0,0.33069274,0.46022847,-9.775802,3978
229121321,-0.008220885,-0.011508248,-0.0052451245,4000,0,0.32892817,0.4627777,-9.765674,4000
229125321,-0.0068944558,-0.011148101,-0.0065713264,4000,0,0.3432907,0.4543113,-9.751592,4000
229129358,-0.006898135,-0.011035002,-0.006567704,4037,0,0.355928,0.45514283,-9.7361145,4037
229133321,-0.007969818,-0.011470513,-0.0064050197,3963,0,0.34816223,0.47604156,-9.706335,3963
229137321,-0.00823182,-0.011833793,-0.0049365372,4000,0,0.36081982,0.45902056,-9.705308,4000
229141321,-0.009343864,-0.012955025,-0.00661146,4000,0,0.31680313,0.44559106,-9.77869,4000
229145321,-0.009808964,-0.0135162305,-0.0055815964,4000,0,0.3377465,0.45118093,-9.745332,4000
229149364,-0.008314486,-0.012566744,-0.0056031924,4043,0,0.3399063,0.44242048,-9.765574,4043
229153321,-0.008620064,-0.013513661,-0.0059685344,3957,0,0.34334707,0.46389318,-9.756217,3957
229157321,-0.008976066,-0.012603662,-0.0046689436,4000,0,0.35213134,0.4442226,-9.72033,4000
229161321,-0.009810146,-0.011075773,-0.0054992307,4000,0,0.3241749,0.44056082,-9.712754,4000
229165321,-0.009811671,-0.011713705,-0.0055277697,4000,0,0.34482947,0.46454516,-9.735379,4000
229169344,-0.008744326,-0.012136481,-0.00560414,4023,0,0.3428677,0.44176713,-9.746608,4023
229173321,-0.007982346,-0.011699796,-0.0057771327,3977,0,0.32912588,0.4455373,-9.747483,3977
229177321,-0.009215057,-0.012827502,-0.0072419485,4000,0,0.32148147,0.43837696,-9.733099,4000
229181321,-0.010292921,-0.013061447,-0.0067551536,4000,0,0.34751156,0.45634416,-9.730262,4000
229185321,-0.00819291,-0.012599538,-0.007309373,4000,0,0.39277834,0.45419592,-9.70388,4000
229189321,-0.012344119,-0.013941054,-0.009094494,4000,0,0.78486246,0.45049492,-9.709075,4000
229193321,-0.027005231,-0.013624213,-0.0095902085,4000,0,0.23940982,0.7604056,-9.645665,4000
229197321,0.01884805,-0.010091154,0.03981892,4000,0,-1.0812429,0.7187183,-9.663067,4000
229201321,0.057167802,-0.021216514,-0.011540305,4000,0,0.5768488,-0.3783537,-9.858161,4000
229205321,-0.05062758,-0.013021211,-0.052539233,4000,0,1.9411893,0.14918089,-9.668268,4000
229209321,-0.11254295,-0.009743227,0.056859042,4000,0,0.36551714,1.4795752,-9.349949,4000
229213336,0.019973725,-0.029315423,0.08705214,4015,0,-0.8663277,0.8542945,-10.03109,4015
