timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
230082515,29927290,40.2668106,116.23584600000001,-0.14064409,3.5960178,4.013793,-0.010707245,0.009004896,0.0,-0.041705422,-0.010197151,-0.04268616,-0.08486659,-0.026022881,-0.00051882025,-0.09999038,-0.22833583,0.08923134,-2.251847,0.6329052,86.42366,0.1,0.04268616,0.29213098,0.23125494,0.15378214,0.093355104,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
230182624,29927290,40.2668106,116.23584600000001,-0.14266132,3.592961,4.005868,-0.010707245,0.009004896,0.0,-0.040378764,-0.011307608,-0.023125045,-0.06492388,-0.026022881,-0.00051882025,-0.09999038,-0.25628808,0.2390132,1.9092034,0.6336421,86.42366,0.10271931,0.023125045,0.28141713,0.23143622,0.15069252,0.0921722,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
230286574,29927290,40.2668106,116.23584600000001,-0.14372447,3.5908794,4.0037456,-0.010707245,0.009004896,0.0,-0.044477124,-0.019986875,-0.055352163,-0.091075055,-0.026022881,-0.00051882025,-0.09999038,-0.62847537,-0.8253534,-4.3124776,0.6340797,86.42366,0.11322498,0.055352163,0.29306975,0.23106967,0.15697478,0.091489434,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
230390488,29927290,40.2668106,116.23584600000001,-0.14532912,3.5893,4.0051603,-0.010707245,0.009004896,0.0,-0.045901146,-0.01330866,-0.035012405,-0.061895046,-0.026022881,-0.00051882025,-0.09999038,0.028089214,0.3648472,2.7187781,0.6343425,86.42366,0.11908293,0.035012405,0.28245375,0.22967668,0.15417267,0.090281315,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
230490491,29927290,40.2668106,116.23584600000001,-0.14645807,3.5882568,4.0078583,-0.010707245,0.009004896,0.0,-0.042899776,-0.005764137,-0.033846606,-0.052353438,-0.026022881,-0.00051882025,-0.09999038,-0.60365975,0.4049391,0.17561817,0.6343861,86.42366,0.118674755,0.033846606,0.29333255,0.22869459,0.16031352,0.089790665,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
230594524,29927290,40.2668106,116.23584600000001,-0.14781296,3.5871809,4.0089192,-0.010707245,0.009004896,0.0,-0.037683092,-0.009839696,-0.030127225,-0.042944063,-0.026022881,-0.00051882025,-0.09999038,1.0659268,-0.7704122,-0.1865103,0.63486594,86.42366,0.11019516,0.030127225,0.28282517,0.22732945,0.15756941,0.088902526,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
230695331,29927290,40.2668106,116.23584600000001,-0.14874156,3.5855038,4.0087266,-0.010707245,0.009004896,0.0,-0.037989907,-0.011445106,-0.02088958,-0.029930208,-0.026022881,-0.00051882025,-0.09999038,1.7594132,-0.43499145,0.9673924,0.6350433,86.42366,0.108465195,0.02088958,0.29480168,0.22687717,0.1644884,0.08879789,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
230795401,29927290,40.2668106,116.23584600000001,-0.1501607,3.5843067,4.0061007,-0.010707245,0.009004896,0.0,-0.03881568,-0.0048791803,-0.027564282,-0.03584611,-0.026022881,-0.00051882025,-0.09999038,0.6381709,-2.3328457,-0.6941462,0.6356696,86.42366,0.10565901,0.027564282,0.28325677,0.22652607,0.16107121,0.08839583,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
230895267,29927290,40.2668106,116.23584600000001,-0.15029132,3.5844445,4.00451,-0.010707245,0.009004896,0.0,-0.03688616,0.010961931,-0.033942405,-0.04027723,-0.026022881,-0.00051882025,-0.09999038,-0.68464154,-1.2528348,0.48347282,0.63588816,86.42366,0.10722399,0.033942405,0.29541996,0.22605541,0.16811556,0.08853489,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
230999278,29927290,40.2668106,116.23584600000001,-0.1512902,3.5862322,4.002707,-0.010707245,0.009004896,0.0,-0.033869673,0.019139756,-0.020457858,-0.0252091,-0.026022881,-0.00051882025,-0.09999038,0.1742466,0.83798814,2.6331496,0.6349669,86.42366,0.10253954,0.020457858,0.28464147,0.22474721,0.16492458,0.088172615,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
