timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
228861412,-0.45973715,0.41761306,0.53677523,0.0,0.90592057,-0.26844388,0.13550593,0.2981342,0.12,-1.0,1,0,0,0,0,0,0
228962204,-0.45787153,0.4196842,0.53673977,0.0,0.9059128,-0.2678108,0.13675289,0.29815766,0.12,-1.0,1,0,0,0,0,0,0
229065794,-0.4537619,0.42417237,0.5365893,0.0,0.90591127,-0.2664033,0.13947488,0.29816243,0.12,-1.0,1,0,0,0,0,0,0
229166272,-0.4529215,0.425078,0.5366006,0.0,0.9059054,-0.26611707,0.14002025,0.29818007,0.12,-1.0,1,0,0,0,0,0,0
229266619,-0.4461717,0.43220463,0.53481096,0.0,0.9061481,-0.2636674,0.14458025,0.29744193,0.12,-1.0,1,0,0,0,0,0,0
229366196,-0.42425242,0.4536879,0.656878,3.4906585,0.8863508,-0.2650996,0.14193724,0.352077,0.12,-1.0,1,0,0,0,0,0,0
229470210,-0.4000313,0.4748337,1.0158607,3.3555062,0.8095845,-0.2808417,0.10747984,0.50413185,0.12,-1.0,1,0,0,0,0,0,0
229571256,-0.39574677,0.47832182,1.3559651,3.3619223,0.71269786,-0.29443207,0.061104383,0.6337491,0.12,-1.0,1,0,0,0,0,0,0
229674541,-0.3868336,0.48535356,1.5282123,3.3616984,0.65581876,-0.29787427,0.041169174,0.6924434,0.12,-1.0,1,0,0,0,0,0,0
229774247,-0.3586205,0.50576216,1.5315017,3.2006857,0.6558187,-0.2951016,0.057784237,0.6924434,0.12,-1.0,1,0,0,0,0,0,0
229875084,-0.33926114,0.51829463,1.5343602,3.0760317,0.65581876,-0.29278612,0.06855848,0.6924434,0.12,-1.0,1,0,0,0,0,0,0
229979052,-0.27339968,0.5533855,0.55546737,2.6967506,0.90626407,-0.2002674,0.22431447,0.29708818,0.12,-1.0,1,0,0,0,0,0,0
230079348,-0.14476514,0.5956017,0.5884761,2.6967506,0.9063495,-0.15103665,0.2600229,0.29682758,0.12,-1.0,1,0,0,0,0,0,0
230178983,-0.010279517,0.6107897,0.63042295,2.6967506,0.9062478,-0.09787207,0.28433257,0.2971378,0.12,-1.0,1,0,0,0,0,0,0
230283114,0.000891694,0.5947288,0.6342515,2.6967506,0.90847677,-0.0909636,0.2785239,0.2980269,0.12,-1.0,1,0,0,0,0,0,0
230383506,0.0034987924,0.44461644,0.6349798,2.6967506,0.9267621,-0.067209415,0.20999476,0.30413353,0.12,-1.0,1,0,0,0,0,0,0
230483008,6.628736e-05,0.071086325,0.63449883,2.6967506,0.9494974,-0.011054042,0.033772677,0.31175628,0.12,-1.0,1,0,0,0,0,0,0
230586960,9.3487455e-07,0.00021049738,0.6352279,2.6967506,0.94998324,-3.2425185e-05,0.00010013048,0.31230074,0.12,-1.0,1,0,0,0,0,0,0
230688267,7.4352333e-09,-7.2261455e-06,0.6350988,2.6967506,0.95000345,1.1316756e-06,-3.4312707e-06,0.31223944,0.12,-1.0,1,0,0,0,0,0,0
230787793,-7.0803285e-10,-6.193838e-07,0.63558,2.6967506,0.9499283,9.6432515e-08,-2.9429572e-07,0.312468,0.12,-1.0,1,0,0,0,0,0,0
230891873,-1.170995e-11,-5.269519e-09,0.63557595,2.6967506,0.94992894,8.1771107e-10,-2.5046638e-09,0.31246606,0.12,-1.0,1,0,0,0,0,0,0
230992067,2.2208129e-13,4.5134488e-10,0.6356506,2.6967506,0.94991726,-7.04175e-11,2.1440484e-10,0.3125015,0.12,-1.0,1,0,0,0,0,0,0
231091824,0.0,-0.0,0.63495165,2.6967506,0.9500264,0.0,0.0,0.31216952,0.12,-1.0,1,0,0,0,0,0,0
231195832,0.0,-0.0,0.63545316,2.6967506,0.9499481,0.0,0.0,0.31240773,0.12,-1.0,1,0,0,0,0,0,0
231296015,0.0,-0.0,0.6355783,2.6967506,0.9499286,0.0,0.0,0.31246716,0.12,-1.0,1,0,0,0,0,0,0
231397830,0.0,-0.0,0.63567317,2.6967506,0.94991374,0.0,0.0,0.31251225,0.12,-1.0,1,0,0,0,0,0,0
231501738,0.0,-0.0,0.6354864,2.6967506,0.9499429,0.0,0.0,0.31242353,0.12,-1.0,1,0,0,0,0,0,0
231601427,0.0,-0.0,0.635735,2.6967506,0.9499041,0.0,0.0,0.3125416,0.12,-1.0,1,0,0,0,0,0,0
231701685,0.0,-0.0,0.63544405,2.6967506,0.9499495,0.0,0.0,0.3124034,0.12,-1.0,1,0,0,0,0,0,0
231805632,0.0,-0.0,0.6356131,2.6967506,0.94992316,0.0,0.0,0.3124837,0.12,-1.0,1,0,0,0,0,0,0
231905334,0.0,-0.0,0.63535154,2.6967506,0.949964,0.0,0.0,0.31235948,0.12,-1.0,1,0,0,0,0,0,0
232006351,0.0,-0.0,0.6358543,2.6967506,0.9498854,0.0,0.0,0.31259826,0.12,-1.0,1,0,0,0,0,0,0
232110695,0.0,-0.0,0.635177,2.6967506,0.9499912,0.0,0.0,0.31227657,0.12,-1.0,1,0,0,0,0,0,0
232210069,0.0,-0.0,0.6357636,2.6967506,0.9498996,0.0,0.0,0.3125552,0.12,-1.0,1,0,0,0,0,0,0
232310637,0.0,-0.0,0.63561845,2.6967506,0.9499223,0.0,0.0,0.31248623,0.12,-1.0,1,0,0,0,0,0,0
232414376,0.0,-0.0,0.63625133,2.6967506,0.9498233,0.0,0.0,0.31278682,0.12,-1.0,1,0,0,0,0,0,0
232514202,0.0,-0.0,0.63548803,2.6967506,0.94994265,0.0,0.0,0.3124243,0.12,-1.0,1,0,0,0,0,0,0
232614598,0.0,-0.0,0.63536954,2.6967506,0.9499612,0.0,0.0,0.31236804,0.12,-1.0,1,0,0,0,0,0,0
232714854,0.0,-0.0,0.6352693,2.6967506,0.94997686,0.0,0.0,0.3123204,0.12,-1.0,1,0,0,0,0,0,0
232819774,0.0,-0.0,0.6360816,2.6967506,0.9498499,0.0,0.0,0.3127062,0.12,-1.0,1,0,0,0,0,0,0
232920157,0.0,-0.0,0.635267,2.6967506,0.94997716,0.0,0.0,0.31231934,0.12,-1.0,1,0,0,0,0,0,0
233024146,0.0,-0.0,0.636776,2.6967506,0.94974124,0.0,0.0,0.31303596,0.12,-1.0,1,0,0,0,0,0,0
233123675,0.0,-0.0,0.6361471,2.6967506,0.94983965,0.0,0.0,0.31273732,0.12,-1.0,1,0,0,0,0,0,0
233224178,0.0,-0.0,0.6367222,2.6967506,0.9497497,0.0,0.0,0.31301045,0.12,-1.0,1,0,0,0,0,0,0
233325398,0.0,-0.0,0.6358694,2.6967506,0.94988304,0.0,0.0,0.31260544,0.12,-1.0,1,0,0,0,0,0,0
233429436,0.0,-0.0,0.6366466,2.6967506,0.9497615,0.0,0.0,0.31297454,0.12,-1.0,1,0,0,0,0,0,0
233529648,0.0,-0.0,0.6362047,2.6967506,0.94983065,0.0,0.0,0.31276467,0.12,-1.0,1,0,0,0,0,0,0
233629400,0.0,-0.0,0.6368962,2.6967506,0.94972247,0.0,0.0,0.31309307,0.12,-1.0,1,0,0,0,0,0,0
233733439,0.0,-0.0,0.63573456,2.6967506,0.94990414,0.0,0.0,0.3125414,0.12,-1.0,1,0,0,0,0,0,0
233834011,0.0,-0.0,0.6375065,2.6967506,0.94962686,0.0,0.0,0.31338286,0.12,-1.0,1,0,0,0,0,0,0
233934706,0.0,-0.0,0.63610435,2.6967506,0.9498463,0.0,0.0,0.31271702,0.12,-1.0,1,0,0,0,0,0,0
234038615,0.0,-0.0,0.6368273,2.6967506,0.9497332,0.0,0.0,0.31306034,0.12,-1.0,1,0,0,0,0,0,0
234138157,0.0,-0.0,0.63520247,2.6967506,0.9499873,0.0,0.0,0.31228867,0.12,-1.0,1,0,0,0,0,0,0
234239018,0.0,-0.0,0.63668084,2.6967506,0.9497562,0.0,0.0,0.31299078,0.12,-1.0,1,0,0,0,0,0,0
234342681,0.0,-0.0,0.63576543,2.6967506,0.9498993,0.0,0.0,0.31255606,0.12,-1.0,1,0,0,0,0,0,0
234442223,0.0,-0.0,0.6373319,2.6967506,0.9496542,0.0,0.0,0.31329995,0.12,-1.0,1,0,0,0,0,0,0
234546078,0.0,-0.0,0.6359452,2.6967506,0.9498712,0.0,0.0,0.31264144,0.12,-1.0,1,0,0,0,0,0,0
234648187,0.0,-0.0,0.6369499,2.6967506,0.949714,0.0,0.0,0.31311855,0.12,-1.0,1,0,0,0,0,0,0
234747892,0.0,-0.0,0.63678324,2.6967506,0.9497402,0.0,0.0,0.31303942,0.12,-1.0,1,0,0,0,0,0,0
234848044,0.0,-0.0,0.63656706,2.6967506,0.94977397,0.0,0.0,0.31293675,0.12,-1.0,1,0,0,0,0,0,0
