timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
228860914,0.00023946259,-0.00067072734,-0.0002140915,-0.94945115,0.02547359,-0.007069312,-0.31279975,0.10171716,0.05032503,0.056192018,-0.9919493,1
228892902,0.00015067868,-0.00022574235,-0.00094826054,-0.94944936,0.025465803,-0.0070665893,-0.31280568,0.10171716,0.05032503,0.056192018,-0.9919493,1
228924961,0.00032470003,-0.0009017084,9.9147204e-05,-0.94944584,0.02546742,-0.0070579196,-0.31281644,0.10171716,0.05032503,0.056192018,-0.9919493,1
228952935,-0.00048769452,0.0009405073,-0.0012562321,-0.9494437,0.025461253,-0.007060324,-0.31282362,0.10171716,0.05032503,0.056192018,-0.9919493,1
228984898,-0.0013142647,-0.0004098341,0.0010140091,-0.94944054,0.025469236,-0.007057548,-0.3128324,0.10171716,0.05032503,0.056192018,-0.9919493,1
229016853,0.00037857797,0.002234036,-0.0017109821,-0.94944113,0.025472483,-0.0070472625,-0.3128309,0.10171716,0.05032503,0.056192018,-0.9919493,1
229048879,0.00016673002,0.0010395851,-0.0013394784,-0.949442,0.025481725,-0.0070582633,-0.31282717,0.10171716,0.05032503,0.056192018,-0.9919493,1
229081690,-0.0005925521,0.0011549182,-0.001465098,-0.94944173,0.025484405,-0.007049374,-0.31282786,0.10171716,0.05032503,0.056192018,-0.9919493,1
229113766,-0.0007694261,-0.00041764043,0.00071716635,-0.94943917,0.025488693,-0.0070498185,-0.3128352,0.10171716,0.05032503,0.056192018,-0.9919493,1
229141681,-0.00060144626,-0.0007698899,-0.0012065559,-0.9494383,0.02548254,-0.007056766,-0.31283873,0.10171716,0.05032503,0.056192018,-0.9919493,1
229173827,0.0007584812,0.0004827883,-0.00037133927,-0.9494343,0.025488153,-0.00704833,-0.31285018,0.10171716,0.05032503,0.056192018,-0.9919493,1
229205674,-0.041887086,-0.00083917193,-0.04713288,-0.94944453,0.025429433,-0.007033707,-0.31282428,0.10171716,0.05032503,0.056192018,-0.9919493,1
229237743,-0.023680203,0.012576894,-0.13202809,-0.94960165,0.02537874,-0.007051707,-0.3123506,0.10171716,0.05032503,0.056192018,-0.9919493,1
