timestamp,previous.timestamp,previous.lat,previous.lon,previous.x,previous.y,previous.z,previous.vx,previous.vy,previous.vz,previous.alt,previous.yaw,previous.yawspeed,previous.loiter_radius,previous.pitch_min,previous.a_x,previous.a_y,previous.a_z,previous.acceptance_radius,previous.cruising_speed,previous.cruising_throttle,previous.valid,previous.type,previous.position_valid,previous.velocity_valid,previous.velocity_frame,previous.alt_valid,previous.yaw_valid,previous.yawspeed_valid,previous.loiter_direction,previous.acceleration_valid,previous.acceleration_is_force,previous._padding0,current.timestamp,current.lat,current.lon,current.x,current.y,current.z,current.vx,current.vy,current.vz,current.alt,current.yaw,current.yawspeed,current.loiter_radius,current.pitch_min,current.a_x,current.a_y,current.a_z,current.acceptance_radius,current.cruising_speed,current.cruising_throttle,current.valid,current.type,current.position_valid,current.velocity_valid,current.velocity_frame,current.alt_valid,current.yaw_valid,current.yawspeed_valid,current.loiter_direction,current.acceleration_valid,current.acceleration_is_force,current._padding0,next.timestamp,next.lat,next.lon,next.x,next.y,next.z,next.vx,next.vy,next.vz,next.alt,next.yaw,next.yawspeed,next.loiter_radius,next.pitch_min,next.a_x,next.a_y,next.a_z,next.acceptance_radius,next.cruising_speed,next.cruising_throttle,next.valid,next.type,next.position_valid,next.velocity_valid,next.velocity_frame,next.alt_valid,next.yaw_valid,next.yawspeed_valid,next.loiter_direction,next.acceleration_valid,next.acceleration_is_force,next._padding0
242793440,0,40.26681075349806,116.2358899129217,0.0,0.0,0.0,0.0,0.0,0.0,92.28535,0.6363596,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0,5,0,0,0,0,1,0,-1,0,0,0,0,40.26682411717684,116.23593687381687,0.0,0.0,0.0,0.0,0.0,0.0,92.3417,0.6417148,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,1,0,-1,0,0,0,0,40.2668342590332,116.23590087890625,0.0,0.0,0.0,0.0,0.0,0.0,92.3417,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
243542882,0,40.26682411717684,116.23593687381687,0.0,0.0,0.0,0.0,0.0,0.0,92.3417,0.6417148,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,1,0,-1,0,0,0,0,40.2668342590332,116.23590087890625,0.0,0.0,0.0,0.0,0.0,0.0,92.3417,-1.2649708,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,40.267005920410156,116.23604583740234,0.0,0.0,0.0,0.0,0.0,0.0,92.3417,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
243741243,0,40.26682411717684,116.23593687381687,0.0,0.0,0.0,0.0,0.0,0.0,92.3417,0.6417148,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,1,0,-1,0,0,0,0,40.2668342590332,116.23590087890625,0.0,0.0,0.0,0.0,0.0,0.0,92.3417,-1.2763869,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,40.267005920410156,116.23604583740234,0.0,0.0,0.0,0.0,0.0,0.0,92.3417,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
243943065,0,40.26682411717684,116.23593687381687,0.0,0.0,0.0,0.0,0.0,0.0,92.3417,0.6417148,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,1,0,-1,0,0,0,0,40.2668342590332,116.23590087890625,0.0,0.0,0.0,0.0,0.0,0.0,92.3417,-1.2872233,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,40.267005920410156,116.23604583740234,0.0,0.0,0.0,0.0,0.0,0.0,92.3417,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
244142888,0,40.26682411717684,116.23593687381687,0.0,0.0,0.0,0.0,0.0,0.0,92.3417,0.6417148,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,1,0,-1,0,0,0,0,40.2668342590332,116.23590087890625,0.0,0.0,0.0,0.0,0.0,0.0,92.3417,-1.299599,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,40.267005920410156,116.23604583740234,0.0,0.0,0.0,0.0,0.0,0.0,92.3417,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
244341246,0,40.26682411717684,116.23593687381687,0.0,0.0,0.0,0.0,0.0,0.0,92.3417,0.6417148,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,1,0,-1,0,0,0,0,40.2668342590332,116.23590087890625,0.0,0.0,0.0,0.0,0.0,0.0,92.3417,-1.311924,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,40.267005920410156,116.23604583740234,0.0,0.0,0.0,0.0,0.0,0.0,92.3417,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
244541431,0,40.26682411717684,116.23593687381687,0.0,0.0,0.0,0.0,0.0,0.0,92.3417,0.6417148,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,1,0,-1,0,0,0,0,40.2668342590332,116.23590087890625,0.0,0.0,0.0,0.0,0.0,0.0,92.3417,-1.3246926,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,40.267005920410156,116.23604583740234,0.0,0.0,0.0,0.0,0.0,0.0,92.3417,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
244741767,0,40.26682411717684,116.23593687381687,0.0,0.0,0.0,0.0,0.0,0.0,92.3417,0.6417148,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,1,0,-1,0,0,0,0,40.2668342590332,116.23590087890625,0.0,0.0,0.0,0.0,0.0,0.0,92.3417,-1.337267,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,40.267005920410156,116.23604583740234,0.0,0.0,0.0,0.0,0.0,0.0,92.3417,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
244941594,0,40.26682411717684,116.23593687381687,0.0,0.0,0.0,0.0,0.0,0.0,92.3417,0.6417148,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,1,0,-1,0,0,0,0,40.2668342590332,116.23590087890625,0.0,0.0,0.0,0.0,0.0,0.0,92.3417,-1.3514283,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,40.267005920410156,116.23604583740234,0.0,0.0,0.0,0.0,0.0,0.0,92.3417,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
245141636,0,40.26682411717684,116.23593687381687,0.0,0.0,0.0,0.0,0.0,0.0,92.3417,0.6417148,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,1,0,-1,0,0,0,0,40.2668342590332,116.23590087890625,0.0,0.0,0.0,0.0,0.0,0.0,92.3417,-1.3665481,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,40.267005920410156,116.23604583740234,0.0,0.0,0.0,0.0,0.0,0.0,92.3417,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
245341811,0,40.26682411717684,116.23593687381687,0.0,0.0,0.0,0.0,0.0,0.0,92.3417,0.6417148,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,1,0,-1,0,0,0,0,40.2668342590332,116.23590087890625,0.0,0.0,0.0,0.0,0.0,0.0,92.3417,-1.3827759,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,40.267005920410156,116.23604583740234,0.0,0.0,0.0,0.0,0.0,0.0,92.3417,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
245543259,0,40.26682411717684,116.23593687381687,0.0,0.0,0.0,0.0,0.0,0.0,92.3417,0.6417148,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,1,0,-1,0,0,0,0,40.2668342590332,116.23590087890625,0.0,0.0,0.0,0.0,0.0,0.0,92.3417,-1.4001138,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,40.267005920410156,116.23604583740234,0.0,0.0,0.0,0.0,0.0,0.0,92.3417,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
245743544,0,40.26682411717684,116.23593687381687,0.0,0.0,0.0,0.0,0.0,0.0,92.3417,0.6417148,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,1,0,-1,0,0,0,0,40.2668342590332,116.23590087890625,0.0,0.0,0.0,0.0,0.0,0.0,92.3417,-1.4177971,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,40.267005920410156,116.23604583740234,0.0,0.0,0.0,0.0,0.0,0.0,92.3417,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
