timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
228855453,-3.995187,11.69,101373.0,1.204479
228866439,-3.9106328,11.69,101372.0,1.204467
228887439,-3.995187,11.69,101373.0,1.204479
228898513,-3.995187,11.69,101373.0,1.204479
228909442,-3.746809,11.69,101369.99,1.2044432
228931440,-4.1642957,11.69,101375.0,1.2045027
228942442,-4.0797415,11.69,101374.0,1.2044908
228953644,-4.1642957,11.69,101375.0,1.2045027
228975439,-4.4972277,11.69,101379.0,1.2045503
228986439,-4.1642957,11.69,101375.0,1.2045027
228997442,-3.6622548,11.69,101369.0,1.2044314
229019443,-4.1642957,11.679999,101375.0,1.2045027
229030439,-3.995187,11.679999,101373.0,1.204479
229041862,-3.5777006,11.679999,101368.0,1.2044195
229063450,-4.1642957,11.69,101375.0,1.2045027
229074440,-4.243565,11.69,101375.99,1.2045145
229086330,-4.1642957,11.69,101375.0,1.2045027
229106500,-3.995187,11.69,101373.0,1.204479
229118365,-4.1642957,11.69,101375.0,1.2045027
229128439,-3.8313634,11.69,101371.0,1.2044551
229150324,-4.0797415,11.69,101374.0,1.2044908
229160439,-3.746809,11.69,101369.99,1.2044432
229171500,-3.995187,11.69,101373.0,1.204479
229192439,-3.746809,11.679999,101369.99,1.2044432
229202697,-3.8313634,11.679999,101371.0,1.2044551
229214271,-4.1642957,11.679999,101375.0,1.2045027
229234677,-3.9106328,11.69,101372.0,1.204467
229246249,-3.746809,11.69,101369.99,1.2044432
229256439,-4.1642957,11.69,101375.0,1.2045027
229278216,-4.1642957,11.69,101375.0,1.2045027
229288451,-4.0797415,11.69,101374.0,1.2044908
229299439,-3.995187,11.69,101373.0,1.204479
229320439,-3.9106328,11.69,101372.0,1.204467
229330701,-4.0797415,11.69,101374.0,1.2044908
229342387,-3.8313634,11.69,101371.0,1.2044551
229366256,-3.6622548,11.69,101369.0,1.2044314
229376439,-4.3281193,11.69,101376.99,1.2045264
229386715,-3.8313634,11.69,101371.0,1.2044551
229408451,-3.9106328,11.69,101372.0,1.204467
229419450,-3.6622548,11.69,101369.0,1.2044314
229430219,-3.995187,11.69,101373.0,1.204479
229450520,-3.9106328,11.69,101372.0,1.204467
229462404,-3.6622548,11.69,101369.0,1.2044314
229474668,-3.9106328,11.69,101372.0,1.204467
229496439,-3.6622548,11.69,101369.0,1.2044314
229506808,-3.4138768,11.69,101366.0,1.2043958
229518332,-3.6622548,11.69,101369.0,1.2044314
229538717,-3.5777006,11.69,101368.0,1.2044195
229550240,-3.4138768,11.69,101366.0,1.2043958
229560451,-3.8313634,11.69,101371.0,1.2044551
229582346,-3.995187,11.69,101373.0,1.204479
