timestamp,voltage5V_v,voltage3V3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5V_OC,hipower_5V_OC
228862050,4.8484864,0.0,0,0,1,0,0,0,0
229362050,4.85332,0.0,0,0,1,0,0,0,0
229862050,4.8436522,0.0,0,0,1,0,0,0,0
230362082,4.85332,0.0,0,0,1,0,0,0,0
230862050,4.8452635,0.0,0,0,1,0,0,0,0
231362050,4.8098145,0.0,0,0,1,0,0,0,0
231862067,4.801758,0.0,0,0,1,0,0,0,0
232372050,4.8065915,0.0,0,0,1,0,0,0,0
232872050,4.8114257,0.0,0,0,1,0,0,0,0
233372050,4.8065915,0.0,0,0,1,0,0,0,0
233872050,4.851709,0.0,0,0,1,0,0,0,0
234372050,4.8500977,0.0,0,0,1,0,0,0,0
234872050,4.8065915,0.0,0,0,1,0,0,0,0
235372050,4.8452635,0.0,0,0,1,0,0,0,0
235872050,4.8436522,0.0,0,0,1,0,0,0,0
236372050,4.801758,0.0,0,0,1,0,0,0,0
236882078,4.842041,0.0,0,0,1,0,0,0,0
237382050,4.7953124,0.0,0,0,1,0,0,0,0
237882050,4.8436522,0.0,0,0,1,0,0,0,0
238382050,4.8452635,0.0,0,0,1,0,0,0,0
238892050,4.8936033,0.0,0,0,1,0,0,0,0
239392050,4.801758,0.0,0,0,1,0,0,0,0
239892050,4.838818,0.0,0,0,1,0,0,0,0
240392050,4.838818,0.0,0,0,1,0,0,0,0
240892050,4.8452635,0.0,0,0,1,0,0,0,0
241402050,4.837207,0.0,0,0,1,0,0,0,0
241902081,4.84043,0.0,0,0,1,0,0,0,0
242402050,4.8194823,0.0,0,0,1,0,0,0,0
242902050,4.8259277,0.0,0,0,1,0,0,0,0
243402050,4.8936033,0.0,0,0,1,0,0,0,0
243902050,4.8452635,0.0,0,0,1,0,0,0,0
244402050,4.837207,0.0,0,0,1,0,0,0,0
244902050,4.837207,0.0,0,0,1,0,0,0,0
245402050,4.8452635,0.0,0,0,1,0,0,0,0
245902062,4.832373,0.0,0,0,1,0,0,0,0
246412050,4.8339844,0.0,0,0,1,0,0,0,0
246912050,4.838818,0.0,0,0,1,0,0,0,0
247412050,4.84043,0.0,0,0,1,0,0,0,0
247912050,4.842041,0.0,0,0,1,0,0,0,0
248412050,4.8355956,0.0,0,0,1,0,0,0,0
248912050,4.8452635,0.0,0,0,1,0,0,0,0
249422050,4.8452635,0.0,0,0,1,0,0,0,0
249922050,4.84043,0.0,0,0,1,0,0,0,0
250422053,4.8210936,0.0,0,0,1,0,0,0,0
250922091,4.8452635,0.0,0,0,1,0,0,0,0
251422050,4.8452635,0.0,0,0,1,0,0,0,0
251932065,4.837207,0.0,0,0,1,0,0,0,0
252432050,4.774365,0.0,0,0,1,0,0,0,0
252932050,4.8307614,0.0,0,0,1,0,0,0,0
253432052,4.8436522,0.0,0,0,1,0,0,0,0
253932050,4.827539,0.0,0,0,1,0,0,0,0
254442050,4.8210936,0.0,0,0,1,0,0,0,0
254942050,4.803369,0.0,0,0,1,0,0,0,0
255442050,4.817871,0.0,0,0,1,0,0,0,0
255942050,4.8259277,0.0,0,0,1,0,0,0,0
256442050,4.838818,0.0,0,0,1,0,0,0,0
256942054,4.8484864,0.0,0,0,1,0,0,0,0
257442050,4.8194823,0.0,0,0,1,0,0,0,0
257942050,4.8468747,0.0,0,0,1,0,0,0,0
258452050,4.837207,0.0,0,0,1,0,0,0,0
258952050,4.788867,0.0,0,0,1,0,0,0,0
259452050,4.8114257,0.0,0,0,1,0,0,0,0
259952091,4.8452635,0.0,0,0,1,0,0,0,0
260452053,4.842041,0.0,0,0,1,0,0,0,0
260952050,4.788867,0.0,0,0,1,0,0,0,0
261452051,4.8001466,0.0,0,0,1,0,0,0,0
261952059,4.838818,0.0,0,0,1,0,0,0,0
262452050,4.8194823,0.0,0,0,1,0,0,0,0
