timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,high_latency_data_link_active,data_link_lost_counter,engine_failure,mission_failure
228643393,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
229651588,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
230652645,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
231653780,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
232663218,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
233665793,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
234676123,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
235677640,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
236685516,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
237690642,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
238330040,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
239332860,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
240333615,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
241335557,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
242336860,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
242772590,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
242795540,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
243798181,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
244809410,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
245814960,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
246818302,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
247822156,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
248823523,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
249829892,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
250829985,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
251832713,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
252834867,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
253844963,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
254847670,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
255849736,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
256857897,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
257867653,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
258875564,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
259882432,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
260890882,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
261896195,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
262907597,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
263909212,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
264915143,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
265921891,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
