timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
228860677,228860554,-0.28721932,0.29820883,0.0018057002,0.12,0.0,0.0,0.0,-1.0
228960683,228960521,-0.28538015,0.29903877,0.001948572,0.12,0.0,0.0,0.0,-1.0
229064649,229064521,-0.28290957,0.3027623,0.0020983655,0.12,0.0,0.0,0.0,-1.0
229165453,229165321,-0.28162596,0.30275354,0.0019673517,0.12,0.0,0.0,0.0,-1.0
229265450,229265321,-0.32570425,0.31101012,0.040702935,0.12,0.0,0.0,0.0,-1.0
229365450,229365321,-0.60293686,0.29071337,0.41100284,0.12,0.0,0.0,0.0,-1.0
229469498,229469331,-0.49659765,0.24240717,0.65156823,0.12,0.0,0.0,0.0,-1.0
229569473,229569338,-0.6891093,0.102993146,0.7124633,0.12,0.0,0.0,0.0,-1.0
229673495,229673321,-0.4255491,0.1074041,0.7053907,0.12,0.0,0.0,0.0,-1.0
229773455,229773321,-0.47411802,0.095771536,0.70012945,0.12,0.0,0.0,0.0,-1.0
229874248,229874125,-0.36294997,0.14692554,0.70804447,0.120000005,0.0,0.0,0.0,-1.0
229978248,229978120,-0.07614545,0.387442,0.2744289,0.12,0.0,0.0,0.0,-1.0
230078253,230078127,-0.09209783,0.38444,0.2809809,0.12,0.0,0.0,0.0,-1.0
230178312,230178120,0.08241831,0.42517704,0.2753332,0.12,0.0,0.0,0.0,-1.0
230282330,230282149,-0.0226807,0.3852219,0.27925757,0.12,0.0,0.0,0.0,-1.0
230382269,230382145,0.003213903,0.29850695,0.27599975,0.12,0.0,0.0,0.0,-1.0
230482284,230482149,-0.020093672,0.018161733,0.27068853,0.12,0.0,0.0,0.0,-1.0
230586246,230586120,-0.007493525,-0.036740776,0.27794275,0.12,0.0,0.0,0.0,-1.0
230687045,230686921,0.0075377254,-0.036759444,0.2578134,0.12,0.0,0.0,0.0,-1.0
230787044,230786921,-0.032697372,-0.040404387,0.26502737,0.12,0.0,0.0,0.0,-1.0
230891083,230890920,-0.02030003,-0.014809353,0.2736258,0.12,0.0,0.0,0.0,-1.0
230991092,230990921,-0.0054740948,-0.016757883,0.24298075,0.12,0.0,0.0,0.0,-1.0
231091041,231090921,-0.0058641313,-0.019778913,0.2869111,0.12,0.0,0.0,0.0,-1.0
231195117,231194988,0.048133805,-0.016211137,0.251237,0.12,0.0,0.0,0.0,-1.0
231295112,231294944,-0.025321228,-0.0077733416,0.25934824,0.12,0.0,0.0,0.0,-1.0
231396683,231396521,0.05264274,-0.021808898,0.23369026,0.12,0.0,0.0,0.0,-1.0
231500645,231500521,-0.03883458,-0.006469451,0.2522033,0.12,0.0,0.0,0.0,-1.0
231600641,231600521,0.034960512,-0.018352116,0.24141991,0.12,0.0,0.0,0.0,-1.0
231700644,231700521,-0.034265827,-0.025807993,0.2616934,0.12,0.0,0.0,0.0,-1.0
