timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
633711790,0.122570544,-0.25935698,0.46897003
633721785,0.12618351,-0.26052672,0.470446
633731833,0.12573136,-0.2571161,0.4742141
633741786,0.1264939,-0.2586858,0.4706812
633751787,0.12225251,-0.25855893,0.46670106
633761784,0.12617649,-0.2580362,0.47289407
633771787,0.123819165,-0.2580139,0.46971142
633781784,0.12672214,-0.2595796,0.47098595
633791787,0.12486921,-0.25751138,0.47155994
633801784,0.12593955,-0.25956142,0.4728351
633811829,0.12586044,-0.25892392,0.47056928
633821784,0.12585776,-0.25908718,0.47064537
633831787,0.1263435,-0.25979686,0.47267845
633841794,0.12298684,-0.25781286,0.46846494
633851824,0.123702586,-0.25845036,0.4707533
633861784,0.12566882,-0.25831142,0.47148016
633871825,0.12602478,-0.25843686,0.47042808
633881784,0.12541132,-0.25953445,0.47200152
633891806,0.1256768,-0.25878027,0.47350433
633901784,0.122483894,-0.25823852,0.4691672
633911804,0.1269607,-0.25941905,0.47099972
633921784,0.12635896,-0.2568031,0.47449142
633931787,0.12726162,-0.25935498,0.47150195
633941784,0.12605958,-0.2596039,0.47169587
633951828,0.12526067,-0.25695485,0.47175545
633961784,0.12652329,-0.25914043,0.46985137
633971787,0.12629637,-0.26040936,0.4717591
633981784,0.12570116,-0.25843018,0.47506678
633991787,0.1226665,-0.25853804,0.46851113
634001784,0.12589654,-0.2601759,0.4695501
634011787,0.12516753,-0.25769082,0.4721356
634021784,0.120663196,-0.26048553,0.46658087
634031789,0.13005298,-0.26104274,0.46917912
634041784,0.12399022,-0.25936309,0.47163057
634051809,0.12842932,-0.26710582,0.4677784
634061820,0.12463643,-0.26788425,0.4668841
634071817,0.1230412,-0.2633815,0.4691795
634081798,0.1318739,-0.2646854,0.46275976
634091792,0.12751518,-0.27133268,0.46434277
634101798,0.12508419,-0.26469758,0.46773982
634111817,0.13138688,-0.26638192,0.46301258
634121804,0.1341572,-0.268405,0.463533
634131813,0.13899565,-0.26044643,0.4709024
634141816,0.1205904,-0.27648306,0.46188727
634151813,0.12641326,-0.27188382,0.46395913
634161785,0.12106401,-0.2586973,0.47326213
634171833,0.12192611,-0.2649897,0.46916828
634181792,0.11989105,-0.26302332,0.47038507
634191833,0.12022545,-0.2581003,0.47219172
634201784,0.12688869,-0.2634301,0.47078258
634211795,0.12072066,-0.26234874,0.46945792
634221784,0.11897163,-0.26096928,0.47384688
634231789,0.12499634,-0.2660657,0.47022024
634241784,0.12071351,-0.26854336,0.46966004
634251795,0.121057995,-0.2609531,0.47343183
634261785,0.11878657,-0.26036814,0.46782357
634271832,0.12102688,-0.2618779,0.46981066
