timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
652260055,22.5664,22.61385,0.0,0.07719256,0.0,24.83822,0.67324454,1.0464348,0.0,6,0,0,0,0,0,1,1,0,0,0
652765690,22.3532,22.60909,0.0,0.07874402,0.0,24.850689,0.6810828,1.0452704,0.0,6,0,0,0,0,0,1,1,0,0,0
653259274,22.0908,22.596945,0.0,0.08581172,0.0,24.863585,0.6835509,1.0449044,0.0,6,0,0,0,0,0,1,1,0,0,0
653764053,22.4762,22.594193,0.099199995,0.10648352,0.0,24.879166,0.68541056,1.0446286,0.0,6,0,0,0,0,0,1,1,0,0,0
654268020,22.5992,22.605673,0.3472,0.11461123,0.0,24.894152,0.6868935,1.0444089,0.0,6,0,0,0,0,0,1,1,0,0,0
654773642,22.5746,22.56862,0.0,0.09782708,0.0,24.906479,0.6777044,1.0457718,0.0,6,0,0,0,0,0,1,1,0,0,0
655266445,22.755,22.534275,0.124,0.08294022,0.0,24.9151,0.66825587,1.0471771,0.0,6,0,0,0,0,0,1,1,0,0,0
655772139,22.5746,22.535479,0.0,0.08246745,0.0,24.92684,0.66885716,1.0470876,0.0,6,0,0,0,0,0,1,1,0,0,0
656277639,22.3286,22.496931,0.0,0.072067395,0.0,24.936682,0.65850025,1.0486319,0.0,6,0,0,0,0,0,1,1,0,0,0
656770505,22.5418,22.485456,0.0,0.07855793,0.0,24.949543,0.6565905,1.0489172,0.0,6,0,0,0,0,0,1,1,0,0,0
657274526,22.7468,22.301384,0.0,0.08307949,0.0,24.962332,0.6157356,1.0550572,0.0,6,0,0,0,0,0,1,1,0,0,0
657780032,22.1728,22.354519,0.0,0.07166409,0.0,24.971886,0.6266814,1.0534052,0.0,6,0,0,0,0,0,1,1,0,0,0
658273613,22.2712,22.364105,0.0,0.061113797,0.0,24.979624,0.6304231,1.0528415,0.0,6,0,0,0,0,0,1,1,0,0,0
658779240,22.2302,22.401682,0.0,0.08184832,0.0,24.993477,0.6378451,1.0517255,0.0,6,0,0,0,0,0,1,1,0,0,0
659284129,22.2466,22.433567,0.186,0.084526494,0.0,25.00482,0.6440926,1.0507878,0.0,6,0,0,0,0,0,1,1,0,0,0
659777684,22.3614,22.43149,0.0,0.07960848,0.0,25.015802,0.63883406,1.051577,0.0,6,0,0,0,0,0,1,1,0,0,0
660283267,22.1646,22.431484,0.0,0.07318255,0.0,25.026258,0.63653,1.051923,0.0,6,0,0,0,0,0,1,1,0,0,0
660788042,22.4598,22.445425,0.0,0.08122229,0.0,25.038303,0.63818985,1.0516737,0.0,6,0,0,0,0,0,1,1,0,0,0
661280090,22.263,22.428888,0.0,0.08974804,0.0,25.051886,0.63361555,1.0523612,0.0,6,0,0,0,0,0,1,1,0,0,0
661785605,22.1892,22.424036,0.0,0.09006058,0.0,25.064075,0.6339527,1.0523105,0.0,6,0,0,0,0,0,1,1,0,0,0
662290442,22.3778,22.421423,0.012399999,0.08093613,0.0,25.07425,0.6340938,1.0522892,0.0,6,0,0,0,0,0,1,1,0,0,0
