timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
633715848,633715723,-0.23675016,0.27112228,-0.09812144,0.12,0.0,0.0,0.0,1.0
633815869,633815742,-0.23673049,0.27135766,-0.09786619,0.12,0.0,0.0,0.0,1.0
633919844,633919721,-0.23676033,0.27128932,-0.09795525,0.12,0.0,0.0,0.0,1.0
634019884,634019721,-0.23746768,0.27122587,-0.0980468,0.12,0.0,0.0,0.0,1.0
634119888,634119764,-0.14243501,0.3156707,-0.050626814,0.12,0.0,0.0,0.0,1.0
634221495,634221324,-0.21400571,0.42674688,-0.096346766,0.12,0.0,0.0,0.0,1.0
634325521,634325321,-0.11834772,0.3722627,-0.070392,0.12,0.0,0.0,0.0,1.0
634425457,634425321,0.009873092,0.38600686,-0.08800094,0.12,0.0,0.0,0.0,1.0
634525449,634525321,-0.06585556,0.40012,-0.08585385,0.12,0.0,0.0,0.0,1.0
634629491,634629335,0.0006670542,0.40527555,-0.08010305,0.12,0.0,0.0,0.0,1.0
634731078,634730956,0.07763781,0.39616817,-0.09025504,0.12,0.0,0.0,0.0,1.0
634831071,634830921,0.10726209,0.39939946,-0.09463449,0.12,0.0,0.0,0.0,1.0
634935046,634934921,0.0725506,0.4047954,-0.062169947,0.12,0.0,0.0,0.0,1.0
635035042,635034921,0.060683556,0.34482458,-0.091951944,0.12,0.0,0.0,0.0,1.0
635135072,635134942,0.0823955,0.24375905,-0.08429027,0.12,0.0,0.0,0.0,1.0
635236645,635236521,-0.032104924,0.053112153,-0.07566047,0.12,0.0,0.0,0.0,1.0
635340655,635340522,0.03010301,-0.054445177,-0.11022359,0.12,0.0,0.0,0.0,1.0
635440662,635440537,0.15505707,-0.06553509,-0.062143177,0.12,0.0,0.0,0.0,1.0
635540652,635540527,0.2887283,-0.06280254,-0.042546432,0.120000005,0.0,0.0,0.0,1.0
635644692,635644529,0.09412763,-0.045390848,0.0022802036,0.12,0.0,0.0,0.0,1.0
635745450,635745321,0.07244128,-0.054372273,-0.0027066506,0.12,0.0,0.0,0.0,1.0
