timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1],aux_vel_innov[0],aux_vel_innov[1]
633716065,0.009538193,0.036203537,0.018654661,-0.031835556,-0.032700717,-0.1456887,-0.0014720261,0.0010433644,0.00063610077,-0.0024482012,0.0,0.0,0.0,0.0,0.0,0.26461667,0.2646402,0.5729661,0.7878898,0.78791016,4.0544806,0.002508917,0.002509971,0.0025154804,0.090152524,0.0,0.0,0.0,0.0,0.0,2.3935501e-05,0.0028863326,0.007784215,0.0,0.0,0.0,0.0,0.0,0.0
633920068,-0.0048705298,0.02690243,0.002659623,-0.03950715,-0.030606687,0.18977053,-0.0014720261,0.0010433644,0.00063610077,-0.0155415535,0.0,0.0,0.0,0.0,0.0,0.2646312,0.26465476,0.57297605,0.78797096,0.7879914,4.0545754,0.002508917,0.002509971,0.0025154804,0.09015251,0.0,0.0,0.0,0.0,0.0,8.672192e-05,0.0022298915,0.0052453727,0.0,0.0,0.0,0.0,0.0,0.0
634120131,-0.016379423,-0.0020539146,-0.012587929,-0.033524275,-0.027905822,0.35012466,-0.0014720261,0.0010433644,0.00063610077,0.0011095405,0.0,0.0,0.0,0.0,0.0,0.26469886,0.26472256,0.5729384,0.788401,0.7884218,4.0546646,0.002508917,0.002509971,0.0025154804,0.09015252,0.0,0.0,0.0,0.0,0.0,0.000105769504,0.0030958795,0.009224332,0.0,0.0,0.0,0.0,0.0,0.0
634325766,0.0103341015,0.027025724,-0.01311148,-0.037805796,-0.022391856,0.18501027,-0.0014720261,0.0010433644,0.00063610077,-0.028559566,0.0,0.0,0.0,0.0,0.0,0.2646932,0.26471686,0.5729458,0.7883842,0.788405,4.054747,0.002508917,0.002509971,0.0025154804,0.09015252,0.0,0.0,0.0,0.0,0.0,0.00024056098,0.00198367,0.0055326377,0.0,0.0,0.0,0.0,0.0,0.0
634525656,-0.007356815,0.07424707,0.028988082,-0.03298843,-0.020355523,0.632819,-0.0014720261,0.0010433644,0.00063610077,-0.012544036,0.0,0.0,0.0,0.0,0.0,0.26465872,0.26468286,0.57300156,0.78974044,0.7897609,4.054448,0.002508917,0.002509971,0.0025154804,0.09015252,0.0,0.0,0.0,0.0,0.0,0.00039377826,0.01630981,0.048484612,0.0,0.0,0.0,0.0,0.0,0.0
634731304,0.02130967,0.009636664,-0.011787963,-0.02620089,-0.024071574,0.1854461,-0.0014720261,0.0010433644,0.00063610077,-0.016373515,0.0,0.0,0.0,0.0,0.0,0.2647076,0.26473102,0.57296836,0.7901735,0.79019415,4.0542703,0.002508917,0.002509971,0.0025154804,0.090152524,0.0,0.0,0.0,0.0,0.0,0.0005146201,0.011654596,0.037297063,0.0,0.0,0.0,0.0,0.0,0.0
634935266,0.0010463973,0.00629688,-0.066990785,-0.034365654,-0.02096814,0.33392745,-0.0014720261,0.0010433644,0.00063610077,-0.024196804,0.0,0.0,0.0,0.0,0.0,0.2647105,0.2647343,0.57289934,0.7901634,0.79018414,4.0541663,0.002508917,0.002509971,0.0025154804,0.090152524,0.0,0.0,0.0,0.0,0.0,0.00052407867,0.0077477545,0.027358439,0.0,0.0,0.0,0.0,0.0,0.0
635135286,-0.0295137,-0.0060168086,-0.061646707,-0.028482199,-0.026102424,0.12494023,-0.0014720261,0.0010433644,0.00063610077,-0.016640007,0.0,0.0,0.0,0.0,0.0,0.26468122,0.26470512,0.5729138,0.7900306,0.7900512,4.05431,0.002508917,0.002509971,0.0025154804,0.090152524,0.0,0.0,0.0,0.0,0.0,0.00046951827,0.00048023395,0.0025129565,0.0,0.0,0.0,0.0,0.0,0.0
635340939,0.03422328,0.0206047,-0.016271722,-0.030865312,-0.020795465,0.15584214,-0.0014720261,0.0010433644,0.00063610077,-0.022251844,0.0,0.0,0.0,0.0,0.0,0.26467106,0.2646949,0.5729325,0.79003274,0.79005337,4.054304,0.002508917,0.002509971,0.0025154804,0.09015252,0.0,0.0,0.0,0.0,0.0,0.00042091435,0.001455681,0.003719724,0.0,0.0,0.0,0.0,0.0,0.0
635540905,0.02295741,0.025390467,0.03513609,-0.027909756,-0.018769443,0.05985768,-0.0014720261,0.0010433644,0.00063610077,-0.024504006,0.0,0.0,0.0,0.0,0.0,0.26467663,0.26470035,0.57295275,0.7900764,0.790097,4.0543537,0.002508917,0.002509971,0.0025154804,0.0901525,0.0,0.0,0.0,0.0,0.0,0.00038543483,0.0018886395,0.0046679275,0.0,0.0,0.0,0.0,0.0,0.0
