timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
633716065,29927290,40.2668106,116.23584600000001,1.2309484,0.755655,5.234527,-0.010707245,0.009004896,0.0,0.008597124,0.013511636,0.0039124433,0.008226714,-0.026022881,-0.00051882025,-0.09999038,0.0039183903,-0.00205965,-0.031315535,0.75563645,86.42366,0.10562229,-0.0039124433,0.3809353,0.2318372,0.1682042,0.10168658,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
633816055,29927290,40.2668106,116.23584600000001,1.233493,0.757475,5.2359467,-0.010707245,0.009004896,0.0,0.008557572,0.014215424,0.0048416974,0.0095734075,-0.026022881,-0.00051882025,-0.09999038,-0.010609069,0.023281893,0.02761638,0.7556707,86.42366,0.1,-0.0048416974,0.36940455,0.23240651,0.16389728,0.10153353,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
633920068,29927290,40.2668106,116.23584600000001,1.2362344,0.75916713,5.238096,-0.010707245,0.009004896,0.0,0.0093496,0.014730754,0.0055580144,0.011253058,-0.026022881,-0.00051882025,-0.09999038,-0.0040773544,0.0007353253,-0.016716372,0.755669,86.42366,0.1,-0.0055580144,0.38200748,0.23266082,0.16859867,0.10191462,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
634020078,29927290,40.2668106,116.23584600000001,1.2390467,0.76106167,5.2381926,-0.010707245,0.009004896,0.0,0.009881815,0.014854381,0.0046870196,0.009355548,-0.026022881,-0.00051882025,-0.09999038,-0.1503676,-0.05661077,0.03168353,0.7557124,86.42366,0.1,-0.0046870196,0.36936763,0.23259462,0.16385877,0.10156998,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
634120131,29927290,40.2668106,116.23584600000001,1.2424084,0.76340234,5.236321,-0.010707245,0.009004896,0.0,-0.0018468263,0.013699027,0.018825596,0.020684902,-0.026022881,-0.00051882025,-0.09999038,-2.5553596,0.17110723,2.704784,0.75482965,86.42366,0.1,-0.018825596,0.38197464,0.23284873,0.16856568,0.10195059,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
634221690,29927290,40.2668106,116.23584600000001,1.2451844,0.76532656,5.2366157,-0.010707245,0.009004896,0.0,0.014371051,0.0057542697,0.036934067,0.038368706,-0.026022881,-0.00051882025,-0.09999038,-0.5506135,-10.055825,5.9148307,0.7566871,86.42366,0.1005764,-0.036934067,0.36933586,0.23277496,0.1638218,0.10160465,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
634325766,29927290,40.2668106,116.23584600000001,1.2484239,0.7665629,5.2374773,-0.010707245,0.009004896,0.0,0.0080557745,0.026341258,0.006039741,0.007469445,-0.026022881,-0.00051882025,-0.09999038,-0.39046803,-0.1625372,-0.09959756,0.7567501,86.42366,0.1,-0.006039741,0.381934,0.23302087,0.1686077,0.10197543,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
634425702,29927290,40.2668106,116.23584600000001,1.251853,0.7665743,5.23497,-0.010707245,0.009004896,0.0,0.0068842936,0.012200257,0.009719085,0.008093006,-0.026022881,-0.00051882025,-0.09999038,-3.0179198,1.0311611,0.4833031,0.75561535,86.42366,0.1,-0.009719085,0.37056008,0.2321304,0.16426185,0.10143949,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
634529716,29927290,40.2668106,116.23584600000001,1.2549008,0.7660989,5.221167,-0.010707245,0.009004896,0.0,0.020259548,0.0111396285,-0.0025653422,-0.017807424,-0.026022881,-0.00051882025,-0.09999038,2.5092711,0.27611744,-1.4435189,0.75621426,86.42366,0.1,0.0025653422,0.38321957,0.23239571,0.1689966,0.10182895,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
634633705,29927290,40.2668106,116.23584600000001,1.2577837,0.7661769,5.2012467,-0.010707245,0.009004896,0.0,0.028828366,0.015858248,0.0025746464,-0.029813483,-0.026022881,-0.00051882025,-0.09999038,1.6283731,-0.035284754,-1.4315513,0.7563614,86.42366,0.1,-0.0025746464,0.37149054,0.23141232,0.16462725,0.10128176,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
