timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_ga
633473227,0.14563797,0.039952293,0.0
800773951,0.14990303,0.041209888,0.0
800974029,0.10735,0.040194247,0.0
801177406,0.13960896,0.03928115,0.0
801378290,0.117408305,0.03807523,0.0
801578193,0.12704144,0.038433447,0.0
