timestamp,roll,pitch,yaw,thrust
633715833,-1.5785731,1.8087702,-0.49010733,0.12
633747906,-1.5785562,1.8088013,-0.490099,0.12
633779829,-1.5784982,1.8089199,-0.49006793,0.12
633811952,-1.578572,1.8089539,-0.49006978,0.12
633839871,-1.578576,1.8089621,-0.4900689,0.12
633871896,-1.5784883,1.8090347,-0.490043,0.12
633903847,-1.578433,1.8090038,-0.49004292,0.12
633935891,-1.5784111,1.8090479,-0.49003112,0.12
633967839,-1.5783161,1.8090949,-0.49000973,0.12
633999874,-1.578311,1.8091388,-0.49000078,0.12
634031858,-1.5731205,1.8140264,-0.48962542,0.12
634063950,-1.552997,1.8322545,-0.4884249,0.12
634095829,-1.4291545,1.952644,-0.4809597,0.12
634127830,-1.3262557,2.0370278,-0.47557637,0.12
634159828,-1.0716547,2.2034855,-0.4591678,0.12
634189426,-0.97531,2.2667487,-0.45719245,0.12
634221479,-0.7860508,2.3790982,-0.44893834,0.12
634253426,-0.7097708,2.403618,-0.4432129,0.12
634285530,-0.65074855,2.4309258,-0.44139034,0.12
634317432,-0.61281353,2.4481492,-0.43961975,0.12
634349503,-0.5196099,2.4879115,-0.4363486,0.12
634381478,-0.4599708,2.506036,-0.43374306,0.12
634413469,-0.33268192,2.548998,-0.4291178,0.12
634441471,-0.24160515,2.572612,-0.4250105,0.12
634473513,-0.09017728,2.6101248,-0.419622,0.12
634505431,0.0105945915,2.6293843,-0.4161322,0.12
634537472,0.102687985,2.6435313,-0.41249207,0.12
634569452,0.19582471,2.6563,-0.40911606,0.12
634601442,0.24247381,2.6621394,-0.40801406,0.12
634633426,0.3500862,2.6692452,-0.40519598,0.12
634665446,0.3822763,2.6732526,-0.40356067,0.12
634694232,0.40585327,2.6736388,-0.4026389,0.12
634727028,0.4631592,2.676653,-0.40175274,0.12
634759068,0.48110774,2.6767793,-0.40118036,0.12
634791065,0.5101647,2.6774168,-0.40017414,0.12
634823070,0.5261692,2.6775084,-0.40003255,0.12
634855032,0.53568566,2.677993,-0.39969352,0.12
634883051,0.54329157,2.6786003,-0.39877933,0.12
634915029,0.5380165,2.6781683,-0.39981294,0.12
634947070,0.53839356,2.6606824,-0.40040803,0.12
634979058,0.5425274,2.595359,-0.4023252,0.12
635011065,0.5442655,2.387228,-0.4105497,0.12
635043026,0.54950696,2.264681,-0.4146154,0.12
635075074,0.5504895,2.1547613,-0.41888136,0.12
635103026,0.5542627,1.8515607,-0.4303174,0.12
635135052,0.55926466,1.6266993,-0.43843833,0.12
635167083,0.567289,1.0939262,-0.4580619,0.12
635199064,0.56682324,0.8386183,-0.4677358,0.12
635232686,0.57076937,0.5760664,-0.47736967,0.12
635260625,0.5685787,0.08604283,-0.49567893,0.12
635292638,0.5725007,-0.121919334,-0.50340307,0.12
635324628,0.5672397,-0.35447678,-0.51199496,0.12
635356717,0.5646177,-0.35763067,-0.51206034,0.12
635388636,0.5687934,-0.33906427,-0.51145,0.12
635420652,0.564585,-0.33745432,-0.5113297,0.12
635452632,0.5570336,-0.33646363,-0.5111682,0.12
635484715,0.53956366,-0.38695362,-0.012986906,0.12
635512638,0.5312097,-0.38902578,-0.014947234,0.12
635544662,0.52390045,-0.38808274,-0.014999631,0.12
635576627,0.5175079,-0.3888933,-0.014410852,0.12
635608646,0.5177561,-0.3873428,-0.014537128,0.12
635640630,0.51875895,-0.38818395,-0.014900987,0.12
635672725,0.5198663,-0.3861575,-0.015405306,0.120000005
635704626,0.52044517,-0.38689318,-0.015758816,0.12
635736681,0.5200752,-0.38661882,-0.015839634,0.12
635765432,0.5174997,-0.3867895,-0.014981523,0.12
635797464,0.5149653,-0.3856289,-0.014362345,0.12
635829436,0.514574,-0.38526866,-0.015215111,0.12
635861513,0.5130344,-0.3839089,-0.014976995,0.120000005
635893437,0.5136377,-0.38315094,-0.016220886,0.12
635925426,0.5144117,-0.3824926,-0.016334275,0.12
635957440,0.5155722,-0.38266367,-0.01658696,0.12
635985486,0.5156519,-0.3826487,-0.017060457,0.120000005
636017426,0.51609313,-0.38202718,-0.016641982,0.12
636049523,0.513323,-0.38107884,-0.016050652,0.12
