timestamp,previous.timestamp,previous.lat,previous.lon,previous.x,previous.y,previous.z,previous.vx,previous.vy,previous.vz,previous.alt,previous.yaw,previous.yawspeed,previous.loiter_radius,previous.pitch_min,previous.a_x,previous.a_y,previous.a_z,previous.acceptance_radius,previous.cruising_speed,previous.cruising_throttle,previous.valid,previous.type,previous.position_valid,previous.velocity_valid,previous.velocity_frame,previous.alt_valid,previous.yaw_valid,previous.yawspeed_valid,previous.loiter_direction,previous.acceleration_valid,previous.acceleration_is_force,previous._padding0,current.timestamp,current.lat,current.lon,current.x,current.y,current.z,current.vx,current.vy,current.vz,current.alt,current.yaw,current.yawspeed,current.loiter_radius,current.pitch_min,current.a_x,current.a_y,current.a_z,current.acceptance_radius,current.cruising_speed,current.cruising_throttle,current.valid,current.type,current.position_valid,current.velocity_valid,current.velocity_frame,current.alt_valid,current.yaw_valid,current.yawspeed_valid,current.loiter_direction,current.acceleration_valid,current.acceleration_is_force,current._padding0,next.timestamp,next.lat,next.lon,next.x,next.y,next.z,next.vx,next.vy,next.vz,next.alt,next.yaw,next.yawspeed,next.loiter_radius,next.pitch_min,next.a_x,next.a_y,next.a_z,next.acceptance_radius,next.cruising_speed,next.cruising_throttle,next.valid,next.type,next.position_valid,next.velocity_valid,next.velocity_frame,next.alt_valid,next.yaw_valid,next.yawspeed_valid,next.loiter_direction,next.acceleration_valid,next.acceleration_is_force,next._padding0
656877443,0,40.2669792175293,116.23627471923828,0.0,0.0,0.0,0.0,0.0,0.0,92.3417,1.5470948,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0,5,0,0,0,0,0,0,-1,0,0,0,0,40.26686360801069,116.23599350435535,0.0,0.0,0.0,0.0,0.0,0.0,91.19105,0.61011714,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,1,0,-1,0,0,0,0,40.26680374145508,116.23587799072266,0.0,0.0,0.0,0.0,0.0,0.0,91.19105,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
659275050,0,40.26686360801069,116.23599350435535,0.0,0.0,0.0,0.0,0.0,0.0,91.19105,0.61011714,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,1,0,-1,0,0,0,0,40.26680374145508,116.23587799072266,0.0,0.0,0.0,0.0,0.0,0.0,91.19105,1.2087113,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,40.267269134521484,116.23637390136719,0.0,0.0,0.0,0.0,0.0,0.0,91.19105,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
659473134,0,40.26686360801069,116.23599350435535,0.0,0.0,0.0,0.0,0.0,0.0,91.19105,0.61011714,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,1,0,-1,0,0,0,0,40.26680374145508,116.23587799072266,0.0,0.0,0.0,0.0,0.0,0.0,91.19105,1.209684,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,40.267269134521484,116.23637390136719,0.0,0.0,0.0,0.0,0.0,0.0,91.19105,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
659668921,0,40.26686360801069,116.23599350435535,0.0,0.0,0.0,0.0,0.0,0.0,91.19105,0.61011714,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,1,0,-1,0,0,0,0,40.26680374145508,116.23587799072266,0.0,0.0,0.0,0.0,0.0,0.0,91.19105,1.2102998,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,40.267269134521484,116.23637390136719,0.0,0.0,0.0,0.0,0.0,0.0,91.19105,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
659868826,0,40.26686360801069,116.23599350435535,0.0,0.0,0.0,0.0,0.0,0.0,91.19105,0.61011714,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,1,0,-1,0,0,0,0,40.26680374145508,116.23587799072266,0.0,0.0,0.0,0.0,0.0,0.0,91.19105,1.2110387,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,40.267269134521484,116.23637390136719,0.0,0.0,0.0,0.0,0.0,0.0,91.19105,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
660068944,0,40.26686360801069,116.23599350435535,0.0,0.0,0.0,0.0,0.0,0.0,91.19105,0.61011714,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,1,0,-1,0,0,0,0,40.26680374145508,116.23587799072266,0.0,0.0,0.0,0.0,0.0,0.0,91.19105,1.212305,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,40.267269134521484,116.23637390136719,0.0,0.0,0.0,0.0,0.0,0.0,91.19105,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
660270400,0,40.26686360801069,116.23599350435535,0.0,0.0,0.0,0.0,0.0,0.0,91.19105,0.61011714,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,1,0,-1,0,0,0,0,40.26680374145508,116.23587799072266,0.0,0.0,0.0,0.0,0.0,0.0,91.19105,1.2143747,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,40.267269134521484,116.23637390136719,0.0,0.0,0.0,0.0,0.0,0.0,91.19105,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
660470489,0,40.26686360801069,116.23599350435535,0.0,0.0,0.0,0.0,0.0,0.0,91.19105,0.61011714,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,1,0,-1,0,0,0,0,40.26680374145508,116.23587799072266,0.0,0.0,0.0,0.0,0.0,0.0,91.19105,1.2165494,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,40.267269134521484,116.23637390136719,0.0,0.0,0.0,0.0,0.0,0.0,91.19105,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
660671571,0,40.26686360801069,116.23599350435535,0.0,0.0,0.0,0.0,0.0,0.0,91.19105,0.61011714,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,1,0,-1,0,0,0,0,40.26680374145508,116.23587799072266,0.0,0.0,0.0,0.0,0.0,0.0,91.19105,1.2186668,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,40.267269134521484,116.23637390136719,0.0,0.0,0.0,0.0,0.0,0.0,91.19105,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
660873967,0,40.26686360801069,116.23599350435535,0.0,0.0,0.0,0.0,0.0,0.0,91.19105,0.61011714,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,1,0,-1,0,0,0,0,40.26680374145508,116.23587799072266,0.0,0.0,0.0,0.0,0.0,0.0,91.19105,1.2206053,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,40.267269134521484,116.23637390136719,0.0,0.0,0.0,0.0,0.0,0.0,91.19105,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
