timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,high_latency_data_link_active,data_link_lost_counter,engine_failure,mission_failure
633473735,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
634474663,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
635481941,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
636491416,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
637499553,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
638500740,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
639504586,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
640507612,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
641519380,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
642526561,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
643529808,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
644538507,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
645546522,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
646553575,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
647554734,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
648562593,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
649571662,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
650577589,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
651581104,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
652587583,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
653597822,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
654598545,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
654854785,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
655860978,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
656831873,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
656880661,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
657887631,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
658894014,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
659898771,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
660905747,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
661912671,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
662918520,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
663924058,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
664927846,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
665929600,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
666934728,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
667942469,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
668951559,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
669953871,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
670956536,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
671959901,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
672967511,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
673973196,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
674979338,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
675982389,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
676992343,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
678001516,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
679012873,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
680019405,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
681027922,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
682039305,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
683045679,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
684056625,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
685060153,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
686071410,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
687075824,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
688079130,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
689089414,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
690100840,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
691103926,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
692112604,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
693116115,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
694123582,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
695127578,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
696137512,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
697146679,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
698152644,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
699156046,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
700035088,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
700082797,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
701087666,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
701510602,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
701555651,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
702560765,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
703563051,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
704571518,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
705049532,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
705082524,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
705093682,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
706003570,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
707006718,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
708014689,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
709015564,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
710020019,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
711024778,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
712034743,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
713046494,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
714048018,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
715054875,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
716059631,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
717070546,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
718073603,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
718098219,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
719105790,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
720116144,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
721116922,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
722126636,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
723134587,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
724141697,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
725144007,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
726150576,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
727099901,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
728111098,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
729119438,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
730127130,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
730271244,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
730295098,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
731301380,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
732304599,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
733315650,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
734320236,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
735327273,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
736331030,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
737342869,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
738343503,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
739346486,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
740350353,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
741359348,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
742362527,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
743369769,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
744374301,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
745377564,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
746386650,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
747387580,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
748395208,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
749400230,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
750406623,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
751409695,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
752421677,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
753423796,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
754427209,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
755432574,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
756433580,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
757440583,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
758448813,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
759460025,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
760468572,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
761471512,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
762478359,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
763479612,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
764481515,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
765488263,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
766491115,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
766806415,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
766819466,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
767825559,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
768834654,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
769841646,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
770844274,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
771846870,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
772850679,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
773856652,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
774863285,2555951,2162703,2555951,3,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
775188687,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
775221516,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
776230528,2555951,2162703,2555951,2,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
777116711,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
778120665,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
779123612,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
780135075,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
781135511,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
782144804,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
783155050,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
784159774,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
785168252,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
786174687,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
787184862,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
788190575,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
789193098,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
790194545,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
791203109,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
792210406,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
793214554,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
794217784,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
795223629,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
796228220,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
797234775,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
798246240,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
799253620,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
800256024,2555951,2162703,2555951,1,2,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
800770023,2555951,2162703,2555951,1,1,0,0,2,2,1,1,0,0,0,0,0,0,1,0,1,0,0
