timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,fix_type,vel_ned_valid,satellites_used
633513583,1543393233800490,402668219,1162358552,86720,77532,0.19900002,0.28137323,0.84400004,1.238,0.66999996,1.05,120,8,0.023000002,-0.003,-0.023000002,-0.017,4.321261,0,4,1,19
633719222,1543393234000490,402668220,1162358552,86712,77524,0.132,0.28138617,0.84400004,1.238,0.66999996,1.05,120,6,0.019000001,0.012,-0.015000001,0.001,4.321261,0,4,1,19
633922485,1543393234200490,402668220,1162358552,86704,77516,0.18100001,0.28140378,0.84400004,1.238,0.66999996,1.05,120,6,0.029000001,0.025,0.014,0.017,4.321261,0,4,1,19
634122573,1543393234400490,402668221,1162358552,86704,77516,0.17400001,0.2814207,0.84400004,1.238,0.66999996,1.05,120,6,0.013,0.001,-0.013,0.017,4.321261,0,4,1,19
634323487,1543393234600490,402668221,1162358552,86707,77519,0.21100001,0.2814413,0.845,1.238,0.66999996,1.05,120,6,0.037,-0.015000001,-0.034,-0.054,4.321261,0,4,1,19
634524550,1543393234800490,402668221,1162358552,86701,77513,0.172,0.28145805,0.845,1.2370001,0.66999996,1.05,120,6,0.014,0.008,-0.011000001,-0.008,4.321261,0,4,1,19
634724649,1543393235000490,402668222,1162358552,86697,77509,0.20600002,0.28147814,0.845,1.2370001,0.66999996,1.05,120,6,0.007,0.004,0.0050000004,0.027,4.321261,0,4,1,19
634922518,1543393235200490,402668222,1162358553,86690,77502,0.178,0.28149542,0.845,1.2370001,0.66999996,1.05,120,6,0.043,0.038000003,0.020000001,0.023000002,4.321261,0,4,1,19
635121586,1543393235400490,402668223,1162358553,86682,77494,0.16900001,0.2815118,0.845,1.2370001,0.66999996,1.05,120,6,0.016,-0.014,-0.008,-0.0050000004,4.321261,0,4,1,19
635322550,1543393235600490,402668223,1162358553,86678,77490,0.21200001,0.2815326,0.845,1.2370001,0.66999996,1.05,120,6,0.035,-0.009000001,-0.033,-0.056,4.321261,0,4,1,19
635522559,1543393235800490,402668223,1162358554,86674,77485,0.209,0.28155282,0.845,1.2370001,0.66999996,1.05,120,6,0.018000001,-0.002,0.018000001,0.025,4.321261,0,4,1,19
