timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
635209453,-5.1630926,12.799999,101387.0,1.2046453
635231440,-5.242362,12.79,101388.0,1.2046572
635242439,-5.242362,12.79,101388.0,1.2046572
635253969,-4.9094296,12.79,101384.0,1.2046096
635275439,-4.9094296,12.799999,101384.0,1.2046096
635286463,-5.242362,12.799999,101388.0,1.2046572
635297473,-4.9939837,12.799999,101385.0,1.2046216
635319441,-5.1630926,12.79,101387.0,1.2046453
635330439,-4.8248754,12.79,101382.99,1.2045977
635342296,-5.326916,12.79,101388.99,1.204669
635363439,-5.326916,12.79,101388.99,1.204669
635374440,-5.078538,12.79,101386.0,1.2046334
635385495,-5.1630926,12.79,101387.0,1.2046453
635407439,-4.9939837,12.79,101385.0,1.2046216
635418439,-5.078538,12.79,101386.0,1.2046334
635429849,-5.4114704,12.79,101390.0,1.2046809
635451439,-5.49074,12.79,101391.0,1.2046928
635462439,-5.078538,12.79,101386.0,1.2046334
635473461,-5.4114704,12.79,101390.0,1.2046809
635495439,-5.1630926,12.79,101387.0,1.2046453
635506439,-5.242362,12.79,101388.0,1.2046572
635518034,-5.078538,12.79,101386.0,1.2046334
635539492,-5.4114704,12.79,101390.0,1.2046809
635550439,-5.242362,12.79,101388.0,1.2046572
635561450,-5.4114704,12.79,101390.0,1.2046809
635583450,-5.1630926,12.79,101387.0,1.2046453
635594439,-5.326916,12.79,101388.99,1.204669
635605834,-4.9094296,12.79,101384.0,1.2046096
635627439,-5.242362,12.79,101388.0,1.2046572
635638440,-4.9939837,12.79,101385.0,1.2046216
635649516,-5.078538,12.79,101386.0,1.2046334
635671465,-5.078538,12.79,101386.0,1.2046334
635682492,-5.326916,12.79,101388.99,1.204669
635694206,-4.8248754,12.79,101382.99,1.2045977
635715490,-4.9939837,12.79,101385.0,1.2046216
635726439,-4.6610518,12.79,101381.0,1.204574
635737487,-4.9939837,12.79,101385.0,1.2046216
635759439,-5.078538,12.79,101386.0,1.2046334
635770663,-5.326916,12.79,101388.99,1.204669
635782334,-5.1630926,12.79,101387.0,1.2046453
635802843,-4.9939837,12.78,101385.0,1.2046216
635814218,-4.9939837,12.78,101385.0,1.2046216
635824439,-4.8248754,12.78,101382.99,1.2045977
635846318,-5.242362,12.79,101388.0,1.2046572
635856451,-5.078538,12.79,101386.0,1.2046334
635866964,-4.9939837,12.79,101385.0,1.2046216
635888574,-5.242362,12.79,101388.0,1.2046572
635898523,-5.078538,12.79,101386.0,1.2046334
635910263,-5.078538,12.79,101386.0,1.2046334
635930667,-5.242362,12.79,101388.0,1.2046572
635942400,-4.4972277,12.79,101379.0,1.2045503
635954494,-4.745606,12.79,101382.0,1.2045859
635976454,-5.326916,12.79,101388.99,1.204669
635986685,-4.9939837,12.79,101385.0,1.2046216
635998234,-5.078538,12.79,101386.0,1.2046334
636019439,-5.078538,12.79,101386.0,1.2046334
636030251,-4.8248754,12.79,101382.99,1.2045977
636040451,-4.9939837,12.79,101385.0,1.2046216
636062332,-4.9939837,12.79,101385.0,1.2046216
636072449,-4.9939837,12.79,101385.0,1.2046216
636082641,-4.8248754,12.79,101382.99,1.2045977
636104448,-5.242362,12.79,101388.0,1.2046572
636114690,-5.1630926,12.79,101387.0,1.2046453
636126385,-5.1630926,12.79,101387.0,1.2046453
636147441,-4.8248754,12.79,101382.99,1.2045977
636158288,-5.242362,12.79,101388.0,1.2046572
636168452,-5.1630926,12.79,101387.0,1.2046453
636190323,-5.1630926,12.799999,101387.0,1.2046453
636200554,-5.4114704,12.799999,101390.0,1.2046809
636210484,-4.9939837,12.799999,101385.0,1.2046216
636232440,-4.9939837,12.799999,101385.0,1.2046216
636243010,-5.242362,12.799999,101388.0,1.2046572
636254174,-5.1630926,12.799999,101387.0,1.2046453
636274454,-5.242362,12.79,101388.0,1.2046572
636286268,-5.242362,12.79,101388.0,1.2046572
636296439,-5.078538,12.79,101386.0,1.2046334
636318226,-5.326916,12.79,101388.99,1.204669
636328439,-4.9094296,12.79,101384.0,1.2046096
636338487,-5.1630926,12.79,101387.0,1.2046453
636360452,-5.575294,12.799999,101392.0,1.2047046
636371456,-4.9939837,12.799999,101385.0,1.2046216
636382305,-5.078538,12.799999,101386.0,1.2046334
636402587,-5.242362,12.79,101388.0,1.2046572
636414211,-4.9939837,12.79,101385.0,1.2046216
636424450,-4.745606,12.79,101382.0,1.2045859
636446259,-4.745606,12.799999,101382.0,1.2045859
636456450,-5.242362,12.799999,101388.0,1.2046572
636467636,-5.242362,12.799999,101388.0,1.2046572
636489442,-5.242362,12.79,101388.0,1.2046572
636499603,-5.078538,12.79,101386.0,1.2046334
636511050,-5.078538,12.79,101386.0,1.2046334
636532476,-5.078538,12.799999,101386.0,1.2046334
636543451,-5.242362,12.799999,101388.0,1.2046572
636553506,-5.078538,12.799999,101386.0,1.2046334
636575129,-5.1630926,12.79,101387.0,1.2046453
636585452,-4.9939837,12.79,101385.0,1.2046216
636595518,-5.078538,12.79,101386.0,1.2046334
636617529,-5.8236723,12.799999,101394.99,1.2047403
636627474,-5.078538,12.799999,101386.0,1.2046334
636639052,-5.078538,12.799999,101386.0,1.2046334
636659437,-5.242362,12.799999,101388.0,1.2046572
636671070,-4.745606,12.799999,101382.0,1.2045859
636681453,-4.9094296,12.799999,101384.0,1.2046096
636703079,-5.078538,12.799999,101386.0,1.2046334
636713439,-4.9094296,12.799999,101384.0,1.2046096
636724442,-5.1630926,12.799999,101387.0,1.2046453
636745439,-5.326916,12.799999,101388.99,1.204669
636755482,-4.9939837,12.799999,101385.0,1.2046216
636767117,-4.9939837,12.799999,101385.0,1.2046216
636788439,-5.242362,12.799999,101388.0,1.2046572
636799014,-5.1630926,12.799999,101387.0,1.2046453
636809462,-5.1630926,12.799999,101387.0,1.2046453
636831046,-5.1630926,12.79,101387.0,1.2046453
636841451,-5.078538,12.79,101386.0,1.2046334
636852451,-5.078538,12.79,101386.0,1.2046334
636873439,-5.1630926,12.799999,101387.0,1.2046453
636883450,-5.078538,12.799999,101386.0,1.2046334
636895032,-5.49074,12.799999,101391.0,1.2046928
636916439,-4.745606,12.799999,101382.0,1.2045859
636927288,-4.5764976,12.799999,101380.0,1.2045621
636937442,-5.078538,12.799999,101386.0,1.2046334
636959057,-5.242362,12.799999,101388.0,1.2046572
636969450,-4.8248754,12.799999,101382.99,1.2045977
636980450,-5.242362,12.799999,101388.0,1.2046572
637001451,-5.242362,12.79,101388.0,1.2046572
637011517,-5.078538,12.79,101386.0,1.2046334
637023119,-4.8248754,12.79,101382.99,1.2045977
637043507,-5.326916,12.799999,101388.99,1.204669
637055072,-4.9939837,12.799999,101385.0,1.2046216
637065452,-5.1630926,12.799999,101387.0,1.2046453
637087451,-4.9939837,12.799999,101385.0,1.2046216
637097439,-5.078538,12.799999,101386.0,1.2046334
637108439,-4.9094296,12.799999,101384.0,1.2046096
637129451,-4.9939837,12.799999,101385.0,1.2046216
637139490,-5.078538,12.799999,101386.0,1.2046334
637150468,-5.1630926,12.799999,101387.0,1.2046453
637173242,-4.745606,12.79,101382.0,1.2045859
637183464,-4.6610518,12.79,101381.0,1.204574
637194439,-4.9939837,12.79,101385.0,1.2046216
637216597,-4.745606,12.79,101382.0,1.2045859
637227439,-5.1630926,12.79,101387.0,1.2046453
637238494,-4.745606,12.79,101382.0,1.2045859
637259505,-4.9094296,12.79,101384.0,1.2046096
637269567,-4.745606,12.79,101382.0,1.2045859
637280728,-5.078538,12.79,101386.0,1.2046334
637302439,-5.49074,12.79,101391.0,1.2046928
637313440,-5.078538,12.79,101386.0,1.2046334
637324814,-4.9094296,12.79,101384.0,1.2046096
637346439,-4.8248754,12.79,101382.99,1.2045977
637357453,-5.326916,12.79,101388.99,1.204669
637368703,-5.078538,12.79,101386.0,1.2046334
637390439,-4.9939837,12.79,101385.0,1.2046216
637401449,-4.745606,12.79,101382.0,1.2045859
637413218,-5.078538,12.79,101386.0,1.2046334
637434444,-4.9094296,12.79,101384.0,1.2046096
637445441,-4.9939837,12.79,101385.0,1.2046216
637456676,-4.9939837,12.79,101385.0,1.2046216
637478450,-4.9939837,12.79,101385.0,1.2046216
637489439,-4.9939837,12.79,101385.0,1.2046216
637501063,-5.1630926,12.79,101387.0,1.2046453
637522449,-5.1630926,12.79,101387.0,1.2046453
637533439,-5.078538,12.79,101386.0,1.2046334
637544682,-4.9939837,12.79,101385.0,1.2046216
637566491,-4.9094296,12.79,101384.0,1.2046096
637577451,-5.1630926,12.79,101387.0,1.2046453
637587503,-5.1630926,12.79,101387.0,1.2046453
637609439,-5.242362,12.79,101388.0,1.2046572
637621073,-5.078538,12.79,101386.0,1.2046334
637631450,-4.9939837,12.79,101385.0,1.2046216
637653439,-4.9094296,12.78,101384.0,1.2046096
637664713,-5.49074,12.78,101391.0,1.2046928
637675439,-4.9939837,12.78,101385.0,1.2046216
637698326,-5.1630926,12.78,101387.0,1.2046453
637708465,-5.326916,12.78,101388.99,1.204669
637719439,-5.4114704,12.78,101390.0,1.2046809
637742980,-5.49074,12.78,101391.0,1.2046928
637754240,-5.078538,12.78,101386.0,1.2046334
637764453,-4.9939837,12.78,101385.0,1.2046216
637786260,-5.326916,12.78,101388.99,1.204669
637796439,-4.9939837,12.78,101385.0,1.2046216
637806505,-4.6610518,12.78,101381.0,1.204574
637828450,-4.9094296,12.78,101384.0,1.2046096
637838540,-4.8248754,12.78,101382.99,1.2045977
637850271,-4.6610518,12.78,101381.0,1.204574
637870642,-5.078538,12.78,101386.0,1.2046334
637882360,-5.078538,12.78,101386.0,1.2046334
637892440,-5.242362,12.78,101388.0,1.2046572
637914315,-4.9939837,12.78,101385.0,1.2046216
637924451,-5.326916,12.78,101388.99,1.204669
637934494,-4.9094296,12.78,101384.0,1.2046096
637956452,-5.078538,12.78,101386.0,1.2046334
637966828,-5.242362,12.78,101388.0,1.2046572
637978194,-4.8248754,12.78,101382.99,1.2045977
637998742,-4.9094296,12.78,101384.0,1.2046096
638010216,-4.9939837,12.78,101385.0,1.2046216
638020439,-4.8248754,12.78,101382.99,1.2045977
638042493,-5.575294,12.79,101392.0,1.2047046
638052451,-4.9939837,12.79,101385.0,1.2046216
638062664,-4.9939837,12.79,101385.0,1.2046216
638084451,-5.1630926,12.78,101387.0,1.2046453
638094881,-4.6610518,12.78,101381.0,1.204574
638106271,-4.745606,12.78,101382.0,1.2045859
638127441,-4.9094296,12.78,101384.0,1.2046096
638138201,-5.1630926,12.78,101387.0,1.2046453
638148450,-4.745606,12.78,101382.0,1.2045859
638170302,-5.1630926,12.78,101387.0,1.2046453
638180439,-5.242362,12.78,101388.0,1.2046572
638190464,-5.4114704,12.78,101390.0,1.2046809
638212480,-4.9939837,12.78,101385.0,1.2046216
638223114,-5.242362,12.78,101388.0,1.2046572
638233480,-5.4114704,12.78,101390.0,1.2046809
638254991,-5.078538,12.78,101386.0,1.2046334
638265453,-5.1630926,12.78,101387.0,1.2046453
638276590,-5.575294,12.78,101392.0,1.2047046
638297439,-5.242362,12.78,101388.0,1.2046572
638307446,-5.242362,12.78,101388.0,1.2046572
638319054,-5.078538,12.78,101386.0,1.2046334
638339545,-5.326916,12.78,101388.99,1.204669
638351067,-4.9094296,12.78,101384.0,1.2046096
638361439,-5.1630926,12.78,101387.0,1.2046453
638383442,-4.9939837,12.78,101385.0,1.2046216
638393445,-4.9094296,12.78,101384.0,1.2046096
638404439,-4.9939837,12.78,101385.0,1.2046216
638425452,-5.326916,12.78,101388.99,1.204669
638436548,-5.4114704,12.78,101390.0,1.2046809
638447032,-5.326916,12.78,101388.99,1.204669
638467798,-5.326916,12.78,101388.99,1.204669
638479075,-4.9094296,12.78,101384.0,1.2046096
638489453,-5.078538,12.78,101386.0,1.2046334
638511453,-5.242362,12.78,101388.0,1.2046572
638523748,-5.242362,12.78,101388.0,1.2046572
638535049,-4.9094296,12.78,101384.0,1.2046096
638556453,-5.326916,12.78,101388.99,1.204669
638567453,-5.078538,12.78,101386.0,1.2046334
638577440,-5.1630926,12.78,101387.0,1.2046453
638599102,-5.326916,12.78,101388.99,1.204669
638609439,-4.9094296,12.78,101384.0,1.2046096
638619480,-4.745606,12.78,101382.0,1.2045859
638641452,-5.242362,12.78,101388.0,1.2046572
638651512,-5.659848,12.78,101393.0,1.2047166
638663043,-5.078538,12.78,101386.0,1.2046334
638684439,-5.4114704,12.78,101390.0,1.2046809
638695476,-5.326916,12.78,101388.99,1.204669
638707396,-5.1630926,12.78,101387.0,1.2046453
638728481,-5.242362,12.7699995,101388.0,1.2046572
638739469,-4.9939837,12.7699995,101385.0,1.2046216
638750987,-4.5764976,12.7699995,101380.0,1.2045621
638771445,-5.326916,12.78,101388.99,1.204669
638783116,-4.9939837,12.78,101385.0,1.2046216
638793453,-4.8248754,12.78,101382.99,1.2045977
638815453,-4.9094296,12.78,101384.0,1.2046096
638825453,-4.9094296,12.78,101384.0,1.2046096
638836463,-5.078538,12.78,101386.0,1.2046334
638857450,-5.1630926,12.78,101387.0,1.2046453
638867546,-5.1630926,12.78,101387.0,1.2046453
638879037,-4.9939837,12.78,101385.0,1.2046216
638900439,-4.9939837,12.78,101385.0,1.2046216
638911439,-5.326916,12.78,101388.99,1.204669
638922439,-4.745606,12.78,101382.0,1.2045859
638944624,-5.078538,12.78,101386.0,1.2046334
638955439,-5.326916,12.78,101388.99,1.204669
638966439,-4.9939837,12.78,101385.0,1.2046216
638987439,-5.078538,12.78,101386.0,1.2046334
638997432,-4.8248754,12.78,101382.99,1.2045977
639008757,-4.8248754,12.78,101382.99,1.2045977
639030450,-5.326916,12.78,101388.99,1.204669
639041439,-5.078538,12.78,101386.0,1.2046334
639052932,-5.242362,12.78,101388.0,1.2046572
639074443,-5.326916,12.7699995,101388.99,1.204669
639085439,-4.5764976,12.7699995,101380.0,1.2045621
639096733,-5.326916,12.7699995,101388.99,1.204669
639118439,-4.9939837,12.7699995,101385.0,1.2046216
639129449,-4.9939837,12.7699995,101385.0,1.2046216
639141201,-4.9094296,12.7699995,101384.0,1.2046096
639162469,-5.078538,12.7699995,101386.0,1.2046334
639173442,-4.9939837,12.7699995,101385.0,1.2046216
639183449,-4.8248754,12.7699995,101382.99,1.2045977
639205444,-5.078538,12.78,101386.0,1.2046334
639216682,-4.745606,12.78,101382.0,1.2045859
639227450,-4.9094296,12.78,101384.0,1.2046096
639249439,-5.078538,12.78,101386.0,1.2046334
639260952,-5.326916,12.78,101388.99,1.204669
639271440,-5.575294,12.78,101392.0,1.2047046
639293443,-5.4114704,12.78,101390.0,1.2046809
639304667,-4.9939837,12.78,101385.0,1.2046216
639315493,-5.242362,12.78,101388.0,1.2046572
639337451,-5.1630926,12.7699995,101387.0,1.2046453
639348852,-5.326916,12.7699995,101388.99,1.204669
639359451,-5.078538,12.7699995,101386.0,1.2046334
639381739,-4.745606,12.7699995,101382.0,1.2045859
639391450,-5.326916,12.7699995,101388.99,1.204669
639402451,-4.9094296,12.7699995,101384.0,1.2046096
639424722,-4.9939837,12.7699995,101385.0,1.2046216
639435449,-4.9939837,12.7699995,101385.0,1.2046216
639446279,-5.242362,12.7699995,101388.0,1.2046572
639466836,-4.9094296,12.7699995,101384.0,1.2046096
639478286,-5.326916,12.7699995,101388.99,1.204669
639488439,-5.242362,12.7699995,101388.0,1.2046572
639510260,-4.745606,12.78,101382.0,1.2045859
639520439,-5.1630926,12.78,101387.0,1.2046453
639530755,-5.078538,12.78,101386.0,1.2046334
639552439,-4.9094296,12.78,101384.0,1.2046096
639562525,-4.9939837,12.78,101385.0,1.2046216
639574217,-5.242362,12.78,101388.0,1.2046572
639595440,-5.326916,12.78,101388.99,1.204669
639606223,-5.242362,12.78,101388.0,1.2046572
639616450,-5.326916,12.78,101388.99,1.204669
639638249,-4.8248754,12.78,101382.99,1.2045977
639648439,-5.242362,12.78,101388.0,1.2046572
639658494,-4.8248754,12.78,101382.99,1.2045977
639680452,-4.9939837,12.78,101385.0,1.2046216
639691452,-4.9094296,12.78,101384.0,1.2046096
639702445,-5.078538,12.78,101386.0,1.2046334
639723439,-5.326916,12.78,101388.99,1.204669
639734295,-5.1630926,12.78,101387.0,1.2046453
639744439,-5.078538,12.78,101386.0,1.2046334
639766237,-5.575294,12.78,101392.0,1.2047046
639776564,-5.326916,12.78,101388.99,1.204669
639787208,-5.078538,12.78,101386.0,1.2046334
639808474,-4.745606,12.78,101382.0,1.2045859
639819124,-4.8248754,12.78,101382.99,1.2045977
639830190,-4.9094296,12.78,101384.0,1.2046096
639850488,-4.9094296,12.78,101384.0,1.2046096
639862330,-4.9094296,12.78,101384.0,1.2046096
639872567,-4.9094296,12.78,101384.0,1.2046096
639894232,-5.078538,12.78,101386.0,1.2046334
639904451,-5.078538,12.78,101386.0,1.2046334
639914451,-5.242362,12.78,101388.0,1.2046572
