timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
633951759,-0.00626444,-0.010078129,-0.0033295047,4038,0,0.6901522,1.0071017,-9.821552,4038
633955721,-0.0067322343,-0.010331521,-0.0053603468,3962,0,0.6867637,1.0648777,-9.81155,3962
633959721,-0.007863334,-0.009972326,-0.0033702182,4000,0,0.68679976,1.0665342,-9.823878,4000
633963746,-0.00779411,-0.008844929,-0.0052495482,4025,0,0.6561267,1.0434964,-9.818483,4025
633967721,-0.0066281413,-0.009702775,-0.0051234793,3975,0,0.65659887,1.0357835,-9.792109,3975
633971721,-0.0076152296,-0.010049303,-0.004320516,4000,0,0.6801273,1.0199842,-9.813028,4000
633975741,-0.00825021,-0.008232188,-0.004492133,4020,0,0.7005973,1.0330281,-9.801899,4020
633979759,-0.0073959655,-0.01006733,-0.0040034386,4018,0,0.6945557,1.0286145,-9.831529,4018
633983721,-0.0068457997,-0.009804587,-0.005041255,3962,0,0.6721965,1.0561222,-9.82386,3962
633987720,-0.005063585,-0.008770991,-0.0041902545,3999,0,0.6800431,1.0247202,-9.810988,3999
633991721,-0.006169063,-0.008495408,-0.0030443305,4001,0,0.69334936,1.0220671,-9.791944,4001
633995726,-0.006116329,-0.008649733,-0.004533204,4005,0,0.7104882,1.0314676,-9.826334,4005
633999721,-0.007376633,-0.008749912,-0.0049085175,3995,0,0.70076346,1.0217717,-9.809008,3995
634003721,-0.0071628685,-0.009913015,-0.0050513945,4000,0,0.71029764,1.0466897,-9.815491,4000
634007761,-0.0059061814,-0.009610886,-0.004453419,4040,0,0.6961764,1.0644479,-9.776415,4040
634011721,-0.005179645,-0.009101741,-0.0038896187,3960,0,0.6979267,1.0436071,-9.809752,3960
634015721,-0.0057926374,-0.008969619,-0.004648739,4000,0,0.6993654,1.0203854,-9.810009,4000
634019721,-0.0040246537,-0.0088910395,-0.0037437764,4000,0,0.5363919,1.095865,-9.7768345,4000
634023721,-0.00032429103,-0.0110674165,0.004034237,4000,0,0.3931649,1.0920886,-9.796001,4000
634027721,-0.034307253,-0.00318632,-0.058101427,4000,0,1.4571537,0.7367566,-10.036938,4000
634031723,-0.00841377,-0.00021799275,-0.073190495,4002,0,1.3765212,1.1911528,-10.162268,4002
634035759,0.08739455,-0.0032545717,0.053537633,4036,0,-0.85092294,1.2655951,-9.73832,4036
634039721,0.0020753127,-0.012498642,0.01552132,3962,0,-0.5075673,0.23332886,-9.466009,3962
634043721,-0.13579425,-0.0078240195,-0.10084546,4000,0,1.2394439,0.8824796,-9.3539505,4000
634047721,-0.03373558,0.008317075,0.029367136,4000,0,2.0908844,1.4470191,-9.428692,4000
634051743,0.08350313,-0.013560564,0.08156959,4022,0,0.5790492,1.0607437,-10.116228,4022
634055721,-0.0060839723,-0.00015399393,-0.021590022,3978,0,-0.012957785,0.949086,-10.488043,3978
634059725,-0.08208547,0.0029250286,-0.06674252,4004,0,1.6858013,1.0339023,-9.95043,4004
634063760,-0.0066264323,-0.024381194,0.020223822,4035,0,0.7057958,1.3915972,-9.667144,4035
634067721,0.03189921,0.0027912613,0.03441871,3961,0,0.8368438,0.5897759,-9.563264,3961
634071751,-0.036825806,-0.03274488,-0.032618463,4030,0,2.1209445,1.0712475,-8.869604,4030
634075720,-0.058499973,-0.032124612,0.019098852,3969,0,1.3295646,1.971145,-8.963421,3969
634079738,-0.013182639,-0.037351176,0.11760501,4018,0,0.051181465,2.884936,-9.548206,4018
634083721,-0.005034657,-0.0318186,-0.0018330122,3983,0,-0.9805491,1.4728142,-11.426664,3983
634087721,0.08735765,0.053560928,-0.17339094,4000,0,-1.2238618,1.0604337,-11.517473,4000
634091732,0.22122627,-0.075853206,0.08147344,4011,0,-0.90435505,0.6825663,-9.762914,4011
634095721,-0.077839844,-0.076968536,0.17005827,3989,0,1.3879416,-1.0077902,-6.782366,3989
634099725,-0.23972782,0.0052108895,-0.079548486,4004,0,3.6519668,-0.24732335,-7.0063095,4004
634103721,0.13084187,0.1255154,-0.17141457,3996,0,3.7800326,0.6638058,-12.690444,3996
634107721,0.25071034,-0.002520926,0.008220079,4000,0,0.8096283,1.1886698,-15.274324,4000
634111751,-0.18346606,-0.1569138,0.116671816,4030,0,-1.5208716,1.0932199,-10.599668,4030
634115721,-0.34970102,-0.049743973,-0.09197976,3970,0,-1.8531337,2.0597472,-4.0991855,3970
634119764,0.15215255,0.090847716,-0.22735868,4043,0,-1.2634854,2.6344984,-7.05684,4043
634123721,0.3941251,0.13980253,-0.114357784,3957,0,-1.3247266,0.09585639,-14.321382,3957
634127721,0.03189604,0.042224035,-0.11545551,4000,0,-0.9044558,-3.180733,-14.748221,4000
634131721,-0.18628493,-0.046560775,-0.13953146,4000,0,0.24897143,-3.735947,-8.629938,4000
634135721,-0.09603287,0.0913461,0.06293946,4000,0,3.5912585,-2.2675989,-4.0329905,4000
634139721,-0.2658579,0.076119915,0.23894052,4000,0,8.295828,0.7485833,-6.3129926,4000
634143737,-0.58427054,0.050118864,0.21113053,4016,0,9.647589,5.1878014,-11.839411,4016
634147759,-0.39743212,-0.061329626,0.21480252,4022,0,5.6332283,8.945261,-13.452247,4022
634151721,0.029970918,-0.16706812,0.17800835,3962,0,-2.4331665,8.930461,-11.292313,3962
634155721,0.073533736,-0.09465123,-0.09319766,4000,0,-11.990286,6.0366917,-6.168889,4000
634159721,0.2160279,-0.13187721,-0.2217377,4000,0,-17.873835,3.2729852,-5.321152,4000
