timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acc_x,acc_y,acc_z,thrust[0],thrust[1],thrust[2]
633716569,1.2309484,0.755655,5.234527,0.6565472,0.0,0.0,0.0,0.03501,0.0,0.0,-0.0,0.0,0.0,0.0
633816989,1.233493,0.757475,5.2359467,0.6565863,0.0,0.0,0.0,0.04205,0.0,0.0,-0.0,0.0,0.0,0.0
633921027,1.2362344,0.75916713,5.238096,0.6565807,0.0,0.0,0.0,0.04541,0.0,0.0,-0.0,0.0,0.0,0.0
634020475,1.2390467,0.76106167,5.2381926,0.65662056,0.0,0.0,0.0,0.03444,0.0,0.0,-0.0,0.0,0.0,0.0
634121035,1.2424084,0.76340234,5.236321,0.6570697,0.0,0.0,0.0,0.04502,0.0,0.0,-0.0,0.0,0.0,0.0
634222232,1.2451844,0.76532656,5.2366157,0.673357,0.0,0.0,0.0,0.03593,0.0,0.0,-0.0,0.0,0.0,0.0
634326178,1.2484239,0.7665629,5.2374773,0.6812235,0.0,0.0,0.0,0.03489,0.0,0.0,-0.0,0.0,0.0,0.0
634426453,1.251853,0.7665743,5.23497,0.6955377,0.0,0.0,0.0,0.04106,0.0,0.0,-0.0,0.0,0.0,0.0
634530648,1.2549008,0.7660989,5.221167,0.7242303,0.0,0.0,0.0,0.04547,0.0,0.0,-0.0,0.0,0.0,0.0
634634518,1.2577837,0.7661769,5.2012467,0.7422528,0.0,0.0,0.0,0.04331,0.0,0.0,-0.0,0.0,0.0,0.0
634736188,1.2602048,0.7665172,5.1818504,0.75080985,0.0,0.0,0.0,0.041479997,0.0,0.0,-0.0,0.0,0.0,0.0
634835685,1.2627699,0.7671939,5.165345,0.75673115,0.0,0.0,0.0,0.036259998,0.0,0.0,-0.0,0.0,0.0,0.0
634935959,1.2653646,0.7679578,5.149294,0.7570711,0.0,0.0,0.0,0.0428,0.0,0.0,-0.0,0.0,0.0,0.0
635040100,1.2689835,0.76951855,5.135428,0.7571666,0.0,0.0,0.0,0.04254,0.0,0.0,-0.0,0.0,0.0,0.0
635139754,1.2725377,0.77125907,5.1289053,0.7572463,0.0,0.0,0.0,0.03656,0.0,0.0,-0.0,0.0,0.0,0.0
635241279,1.2756708,0.772725,5.1219325,0.7570311,0.0,0.0,0.0,0.03662,0.0,0.0,-0.0,0.0,0.0,0.0
635345402,1.2784486,0.77422357,5.1156173,0.7583677,0.0,0.0,0.0,0.03389,0.0,0.0,-0.0,0.0,0.0,0.0
