timestamp,voltage5V_v,voltage3V3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5V_OC,hipower_5V_OC
633712071,4.851709,0.0,0,0,1,0,0,0,0
634212050,4.793701,0.0,0,0,1,0,0,0,0
634712050,4.8500977,0.0,0,0,1,0,0,0,0
635222091,4.8484864,0.0,0,0,1,0,0,0,0
635722050,4.8549314,0.0,0,0,1,0,0,0,0
636222050,4.851709,0.0,0,0,1,0,0,0,0
636722050,4.85332,0.0,0,0,1,0,0,0,0
637222050,4.85332,0.0,0,0,1,0,0,0,0
637722050,4.856543,0.0,0,0,1,0,0,0,0
638222050,4.8500977,0.0,0,0,1,0,0,0,0
638722088,4.8549314,0.0,0,0,1,0,0,0,0
639222050,4.8549314,0.0,0,0,1,0,0,0,0
639722050,4.8065915,0.0,0,0,1,0,0,0,0
640232053,4.856543,0.0,0,0,1,0,0,0,0
640732050,4.8549314,0.0,0,0,1,0,0,0,0
641232050,4.8065915,0.0,0,0,1,0,0,0,0
641732052,4.808203,0.0,0,0,1,0,0,0,0
642232050,4.8355956,0.0,0,0,1,0,0,0,0
642732050,4.793701,0.0,0,0,1,0,0,0,0
643232050,4.85332,0.0,0,0,1,0,0,0,0
643742091,4.851709,0.0,0,0,1,0,0,0,0
644242050,4.8452635,0.0,0,0,1,0,0,0,0
644742050,4.851709,0.0,0,0,1,0,0,0,0
645242050,4.85332,0.0,0,0,1,0,0,0,0
645742053,4.85332,0.0,0,0,1,0,0,0,0
646242050,4.84043,0.0,0,0,1,0,0,0,0
646742050,4.8549314,0.0,0,0,1,0,0,0,0
647242050,4.8500977,0.0,0,0,1,0,0,0,0
647752050,4.8549314,0.0,0,0,1,0,0,0,0
648252050,4.8436522,0.0,0,0,1,0,0,0,0
648752057,4.808203,0.0,0,0,1,0,0,0,0
649252050,4.8468747,0.0,0,0,1,0,0,0,0
649752050,4.7840333,0.0,0,0,1,0,0,0,0
650252050,4.8307614,0.0,0,0,1,0,0,0,0
650762059,4.856543,0.0,0,0,1,0,0,0,0
651262064,4.8436522,0.0,0,0,1,0,0,0,0
651762050,4.8436522,0.0,0,0,1,0,0,0,0
652262050,4.8436522,0.0,0,0,1,0,0,0,0
652762050,4.8436522,0.0,0,0,1,0,0,0,0
653262050,4.842041,0.0,0,0,1,0,0,0,0
653762062,4.803369,0.0,0,0,1,0,0,0,0
654272050,4.798535,0.0,0,0,1,0,0,0,0
654772058,4.8500977,0.0,0,0,1,0,0,0,0
655272050,4.838818,0.0,0,0,1,0,0,0,0
655772050,4.8500977,0.0,0,0,1,0,0,0,0
656272050,4.8355956,0.0,0,0,1,0,0,0,0
656772050,4.8452635,0.0,0,0,1,0,0,0,0
657272077,4.9000487,0.0,0,0,1,0,0,0,0
657772050,4.842041,0.0,0,0,1,0,0,0,0
658282052,4.8452635,0.0,0,0,1,0,0,0,0
