timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],n_states,vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,nan_flags,health_flags,timeout_flags,pre_flt_fail
633716065,-0.9267517,0.06306595,-0.016625356,-0.36996996,0.0069507803,0.012063938,0.006100404,1.2276626,0.7492467,5.2401495,-5.4107044e-05,-7.1917435e-05,-3.6076493e-05,-0.00058238825,8.245653e-05,-0.00064651837,0.27640694,-0.023680156,0.4860564,-0.008102403,-0.04560037,-0.041408427,0.0,0.0,0.0,2.379562e-10,6.436934e-06,0.00038171245,5.387291e-06,5.706748e-06,5.8087844e-06,3.273674e-05,0.014135156,0.014157496,0.010340161,0.07254679,0.07256492,0.053748485,1.05901485e-11,1.062592e-11,1.831194e-11,5.0832256e-08,5.082949e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.3809353,0.2318372,0.0031360635,0.014075152,0.007367988,0.014470657,0.0,0.0,0.0,0.035984,0,0,0,831,0,0,0,0
633920068,-0.92672193,0.063082226,-0.016607521,-0.37004238,0.008852244,0.011663148,0.0043479246,1.2335345,0.7519426,5.2355566,-5.409361e-05,-7.191384e-05,-3.609254e-05,-0.00058238825,8.2454666e-05,-0.0006442584,0.27640694,-0.023680156,0.4860564,-0.008102403,-0.04560037,-0.041408427,0.0,0.0,0.0,2.5042654e-10,6.548071e-06,0.00035749076,5.382249e-06,5.7139046e-06,5.815837e-06,3.269806e-05,0.0142015135,0.014223998,0.01038659,0.072955646,0.072974086,0.054131057,1.0594091e-11,1.0629774e-11,1.8302736e-11,5.0833194e-08,5.083043e-08,5.0000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.38200748,0.23266082,0.01990821,0.010458795,0.008901241,0.018848903,0.0,0.0,0.0,0.035989,0,0,0,831,0,0,0,0
634120131,-0.92671347,0.06307863,-0.01656295,-0.37006605,0.011323939,0.013808285,0.0015220406,1.2402323,0.7572566,5.2272577,-5.4088305e-05,-7.189657e-05,-3.6102218e-05,-0.00058238505,8.245449e-05,-0.0006410216,0.27640694,-0.023680156,0.4860564,-0.008102403,-0.04560037,-0.041408427,0.0,0.0,0.0,8.4283506e-08,0.00018007049,0.0023097023,5.3821364e-06,5.7128887e-06,5.8148757e-06,3.2698073e-05,0.014195967,0.014218421,0.010393923,0.072943114,0.072961524,0.05421853,1.0593129e-11,1.0628811e-11,1.8302176e-11,5.0834092e-08,5.083133e-08,5.0000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.38197464,0.23284873,0.001421284,0.0063672597,0.007551197,0.03477565,0.0,0.0,0.0,0.036009,0,0,0,831,0,0,0,0
634325766,-0.92628014,0.06517031,-0.016051764,-0.37081054,0.031920332,0.07388265,-0.0148732755,1.245695,0.7594084,5.233453,-5.407602e-05,-7.189818e-05,-3.614857e-05,-0.000582388,8.245271e-05,-0.0006432194,0.27640694,-0.023680156,0.4860564,-0.008102403,-0.04560037,-0.041408427,0.0,0.0,0.0,2.7431125e-07,0.0004247932,0.010809641,5.40198e-06,5.7098264e-06,5.8231176e-06,3.2671578e-05,0.014203141,0.014225412,0.01039899,0.0729276,0.07294596,0.05429873,1.0592118e-11,1.0627792e-11,1.8301458e-11,5.083499e-08,5.0832227e-08,5.0000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.381934,0.23302087,0.036583845,0.010505495,0.008515682,0.018375702,0.0,0.0,0.0,0.036087,0,0,0,831,0,0,0,0
634525656,-0.9266013,0.06387047,-0.016952464,-0.3701935,0.018258372,0.0005358601,-0.008283738,1.2516524,0.75605696,5.175871,-5.4047232e-05,-7.190382e-05,-3.620412e-05,-0.0005823856,8.244635e-05,-0.0006208706,0.27640694,-0.023680156,0.4860564,-0.008102403,-0.04560037,-0.041408427,0.0,0.0,0.0,2.0500632e-07,0.0004257776,0.009248531,5.380561e-06,5.713656e-06,5.8190108e-06,3.269909e-05,0.014203395,0.014225674,0.010331458,0.07303742,0.073055744,0.05371697,1.0595639e-11,1.0631467e-11,1.8304499e-11,5.0835915e-08,5.083315e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.38222134,0.23176922,0.01606849,0.028863328,0.007424196,0.06285555,0.0,0.0,0.0,0.035977,0,0,0,831,0,0,0,0
634731304,-0.92650414,0.064070925,-0.017273901,-0.3703872,0.026352862,0.008061032,-0.030353785,1.2548556,0.759155,5.1490154,-5.404922e-05,-7.1898605e-05,-3.628159e-05,-0.00058238365,8.2451035e-05,-0.00061242696,0.27640694,-0.023680156,0.4860564,-0.008102403,-0.04560037,-0.041408427,0.0,0.0,0.0,1.633236e-07,0.00043735214,0.00933473,5.384618e-06,5.7197008e-06,5.8254273e-06,3.2714954e-05,0.014268936,0.014291477,0.010383269,0.073408015,0.07342668,0.05412295,1.0598736e-11,1.0634445e-11,1.8308029e-11,5.0836846e-08,5.0834082e-08,5.000007e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.38319016,0.2326434,0.02097392,0.008283684,0.0058950135,0.018420072,0.0,0.0,0.0,0.03599,0,0,0,831,0,0,0,0
634935266,-0.92638195,0.06397951,-0.017159779,-0.37071377,0.009552387,0.0086422535,-0.03704155,1.2607691,0.7625616,5.1264844,-5.404331e-05,-7.1885355e-05,-3.634815e-05,-0.0005823816,8.245448e-05,-0.0006068409,0.27640694,-0.023680156,0.4860564,-0.008102403,-0.04560037,-0.041408427,0.0,0.0,0.0,1.5742026e-07,0.00048943475,0.009059057,5.3924114e-06,5.723674e-06,5.829228e-06,3.272701e-05,0.014306563,0.014329472,0.010352381,0.07366451,0.07368332,0.05373094,1.0600204e-11,1.0635921e-11,1.830986e-11,5.083776e-08,5.0835e-08,5.0000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.38385913,0.23179935,0.03099529,0.017701332,0.0077320766,0.03316892,0.0,0.0,0.0,0.035987,0,0,0,831,0,0,0,0
635135286,-0.92626286,0.06374711,-0.017105607,-0.37105379,0.02442261,0.012545024,-0.021465,1.2693127,0.76773006,5.1317253,-5.402924e-05,-7.185958e-05,-3.6405156e-05,-0.000582382,8.2455765e-05,-0.00061177707,0.27640694,-0.023680156,0.4860564,-0.008102403,-0.04560037,-0.041408427,0.0,0.0,0.0,1.3550635e-07,0.00049479504,0.008636676,5.3983504e-06,5.723549e-06,5.8279634e-06,3.2722237e-05,0.014297975,0.014320869,0.010370861,0.0736697,0.07368851,0.05387381,1.0599735e-11,1.0635436e-11,1.8309305e-11,5.0838658e-08,5.0835897e-08,5.000004e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.38387266,0.23210733,0.02131529,0.01628903,0.006408871,0.01241006,0.0,0.0,0.0,0.035986,0,0,0,831,0,0,0,0
635340939,-0.9263268,0.063369446,-0.017299948,-0.37094963,0.025225068,0.0061074784,-0.026675334,1.2723516,0.76990235,5.1201487,-5.4029457e-05,-7.186656e-05,-3.646711e-05,-0.0005823813,8.2457045e-05,-0.00060973875,0.27640694,-0.023680156,0.4860564,-0.008102403,-0.04560037,-0.041408427,0.0,0.0,0.0,1.3591652e-07,0.000506199,0.009271848,5.385683e-06,5.730698e-06,5.832726e-06,3.2692664e-05,0.01436143,0.01438445,0.010344215,0.07405537,0.07407448,0.05357668,1.0603244e-11,1.06388e-11,1.8300014e-11,5.0839585e-08,5.0836825e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.3848764,0.23146637,0.028503865,0.013304495,0.0069450936,0.015479493,0.0,0.0,0.0,0.036059,0,0,0,831,0,0,0,0
635540905,-0.9262516,0.062911086,-0.017132705,-0.37122318,0.015816325,0.011151872,-0.027321545,1.276208,0.7713443,5.1100035,-5.4024516e-05,-7.187293e-05,-3.651655e-05,-0.0005823809,8.245754e-05,-0.00060762593,0.27640694,-0.023680156,0.4860564,-0.008102403,-0.04560037,-0.041408427,0.0,0.0,0.0,2.924844e-07,0.00064729765,0.01177215,5.3900035e-06,5.728996e-06,5.8289042e-06,3.2688968e-05,0.014339438,0.014362654,0.010357377,0.07393569,0.07395475,0.053625137,1.0600979e-11,1.0636485e-11,1.8297731e-11,5.0840466e-08,5.0837706e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.38456526,0.23157102,0.03138881,0.009870143,0.006279882,0.0059455093,0.0,0.0,0.0,0.03602,0,0,0,831,0,0,0,0
