timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
633716065,0.00061477534,0.00029772334,0.00037869345,-0.92673945,0.06306676,-0.016627999,-0.37000015,0.10171716,0.05032503,0.056192018,-0.9919493,1
633748141,-0.0019387398,-0.0018318594,0.00032528257,-0.9267369,0.06307085,-0.016618205,-0.3700063,0.10171716,0.05032503,0.056192018,-0.9919493,1
633780100,0.0013769553,-0.00085679535,-6.321352e-05,-0.9267358,0.06306851,-0.016608106,-0.37001,0.10171716,0.05032503,0.056192018,-0.9919493,1
633812366,0.00094521604,-0.0007558521,3.6088284e-05,-0.9267336,0.06306126,-0.016606223,-0.37001687,0.10171716,0.05032503,0.056192018,-0.9919493,1
633840117,-0.00035826815,-0.0006602369,0.00052921614,-0.9267308,0.06306339,-0.016603956,-0.37002337,0.10171716,0.05032503,0.056192018,-0.9919493,1
633872272,0.00042231986,0.0011866754,-0.00035027787,-0.9267308,0.06307001,-0.016598355,-0.3700227,0.10171716,0.05032503,0.056192018,-0.9919493,1
633904102,-0.0013646977,-0.0007224567,-0.00089079374,-0.9267342,0.06307808,-0.016595157,-0.3700128,0.10171716,0.05032503,0.056192018,-0.9919493,1
633936133,-0.00033557042,-0.00011836365,0.00023069885,-0.926733,0.06307762,-0.01659208,-0.37001622,0.10171716,0.05032503,0.056192018,-0.9919493,1
633968100,0.00012079626,-0.000730535,-0.0006201817,-0.92672944,0.06308471,-0.016583038,-0.37002423,0.10171716,0.05032503,0.056192018,-0.9919493,1
634000232,-0.0006279098,0.00022107828,-0.00040491112,-0.9267269,0.06308618,-0.016578969,-0.37003073,0.10171716,0.05032503,0.056192018,-0.9919493,1
634032226,-0.00166451,0.008753539,-0.06868617,-0.9268064,0.06313014,-0.016569272,-0.3698242,0.10171716,0.05032503,0.056192018,-0.9919493,1
634064191,0.00012297044,-0.015409488,0.024728345,-0.9267641,0.063211605,-0.016584856,-0.3699157,0.10171716,0.05032503,0.056192018,-0.9919493,1
634096114,-0.071089745,-0.06799584,0.17456385,-0.9266079,0.06270804,-0.016470082,-0.3703974,0.10171716,0.05032503,0.056192018,-0.9919493,1
634128092,0.038646657,0.051197253,-0.11094969,-0.92710006,0.06248101,-0.01705379,-0.369176,0.10171716,0.05032503,0.056192018,-0.9919493,1
634160045,0.22277877,-0.12290336,-0.21723138,-0.92659646,0.06445999,-0.01586606,-0.37015146,0.10171716,0.05032503,0.056192018,-0.9919493,1
634189668,-0.37908393,-0.27334398,-0.31712875,-0.9264452,0.06394808,-0.01627628,-0.37060088,0.10171716,0.05032503,0.056192018,-0.9919493,1
634221690,0.12949707,-0.065073065,0.005213968,-0.92662907,0.06185336,-0.017021181,-0.3704632,0.10171716,0.05032503,0.056192018,-0.9919493,1
634253669,0.2461402,-0.023475382,-0.21755612,-0.92655486,0.06379113,-0.016726842,-0.37033382,0.10171716,0.05032503,0.056192018,-0.9919493,1
634285748,0.040553838,0.00021881238,0.03272718,-0.92671037,0.06372464,-0.016989622,-0.36994386,0.10171716,0.05032503,0.056192018,-0.9919493,1
634317672,0.057734888,-0.025455736,0.02850044,-0.9263925,0.06365263,-0.016804941,-0.37075996,0.10171716,0.05032503,0.056192018,-0.9919493,1
634349733,-0.16337496,0.03788409,0.007788019,-0.9267172,0.063542396,-0.01692677,-0.36996102,0.10171716,0.05032503,0.056192018,-0.9919493,1
634381678,-0.19919105,-0.0070904503,0.019138463,-0.92642766,0.06399094,-0.016929174,-0.37060836,0.10171716,0.05032503,0.056192018,-0.9919493,1
634413733,-0.118196934,0.04782328,-0.0025286525,-0.9268005,0.063553326,-0.01724978,-0.3697354,0.10171716,0.05032503,0.056192018,-0.9919493,1
634441690,-0.053720962,0.018733215,0.042977765,-0.9266484,0.0639516,-0.017210117,-0.37004983,0.10171716,0.05032503,0.056192018,-0.9919493,1
634473756,0.029005084,0.025395375,-0.032227576,-0.92665833,0.0636669,-0.017294466,-0.37006992,0.10171716,0.05032503,0.056192018,-0.9919493,1
