timestamp,alt_max,landed,freefall,ground_contact,maybe_landed
633218478,inf,1,0,0,0
634222539,inf,1,0,0,0
635233507,inf,1,0,0,0
635478483,inf,0,0,1,0
635847539,inf,0,0,0,1
636179867,inf,1,0,0,0
637197485,inf,1,0,0,0
638207482,inf,1,0,0,0
639219482,inf,1,0,0,0
640229539,inf,1,0,0,0
641237527,inf,1,0,0,0
642242845,inf,1,0,0,0
643254482,inf,1,0,0,0
644267482,inf,1,0,0,0
644495987,inf,0,0,1,0
644783954,inf,0,0,0,1
645110484,inf,1,0,0,0
646125482,inf,1,0,0,0
647132890,inf,1,0,0,0
648143482,inf,1,0,0,0
649151487,inf,1,0,0,0
650023483,inf,0,0,0,0
651032482,inf,0,0,0,0
652039491,inf,0,0,0,0
653040481,inf,0,0,0,0
654050485,inf,0,0,0,0
655071068,inf,0,0,0,0
656084985,inf,0,0,0,0
657101484,inf,0,0,0,0
658114866,inf,0,0,0,0
659133553,inf,0,0,0,0
660144345,inf,0,0,0,0
661163491,inf,0,0,0,0
662167423,inf,0,0,0,0
663184641,inf,0,0,0,0
664187422,inf,0,0,0,0
665203003,inf,0,0,0,0
666206530,inf,0,0,0,0
667212862,inf,0,0,0,0
668229470,inf,0,0,0,0
669231463,inf,0,0,0,0
670246842,inf,0,0,0,0
671267522,inf,0,0,0,0
672281069,inf,0,0,0,0
673287041,inf,0,0,0,0
674301094,inf,0,0,0,0
675321503,inf,0,0,0,0
676338624,inf,0,0,0,0
677352481,inf,0,0,0,0
678363182,inf,0,0,0,0
679373523,inf,0,0,0,0
680393481,inf,0,0,0,0
681413537,inf,0,0,0,0
682416233,inf,0,0,0,0
683430613,inf,0,0,0,0
684434534,inf,0,0,0,0
685446481,inf,0,0,0,0
686447311,inf,0,0,0,0
687465485,inf,0,0,0,0
688467502,inf,0,0,0,0
689478837,inf,0,0,0,0
690498481,inf,0,0,0,0
691507753,inf,0,0,0,0
692510596,inf,0,0,0,0
693526511,inf,0,0,0,0
694541482,inf,0,0,0,0
695558493,inf,0,0,0,0
696562482,inf,0,0,0,0
697578850,inf,0,0,0,0
698588764,inf,0,0,0,0
699590481,inf,0,0,0,0
700609481,inf,0,0,0,0
701619493,inf,0,0,0,0
702638493,inf,0,0,0,0
703643481,inf,0,0,0,0
704653751,inf,0,0,0,0
705667525,inf,0,0,0,0
706678522,inf,0,0,0,0
707684812,inf,0,0,0,0
708703452,inf,0,0,0,0
709718302,inf,0,0,0,0
710739188,inf,0,0,0,0
711754687,inf,0,0,0,0
712764937,inf,0,0,0,0
713784145,inf,0,0,0,0
714796702,inf,0,0,0,0
715808197,inf,0,0,0,0
716814384,inf,0,0,0,0
717829948,inf,0,0,0,0
718846501,inf,0,0,0,0
719857493,inf,0,0,0,0
720858492,inf,0,0,0,0
721867000,inf,0,0,0,0
722888127,inf,0,0,0,0
723899296,inf,0,0,0,0
724919244,inf,0,0,0,0
725934494,inf,0,0,0,0
726955402,inf,0,0,0,0
727969604,inf,0,0,0,0
728972136,inf,0,0,0,0
729978532,inf,0,0,0,0
730983535,inf,0,0,0,0
731990485,inf,0,0,0,0
733001483,inf,0,0,0,0
734014513,inf,0,0,0,0
735031499,inf,0,0,0,0
736044548,inf,0,0,0,0
737047069,inf,0,0,0,0
738060777,inf,0,0,0,0
739078485,inf,0,0,0,0
740086493,inf,0,0,0,0
741087495,inf,0,0,0,0
742095539,inf,0,0,0,0
743107498,inf,0,0,0,0
744120559,inf,0,0,0,0
745121508,inf,0,0,0,0
746137493,inf,0,0,0,0
747155074,inf,0,0,0,0
748160680,inf,0,0,0,0
749175498,inf,0,0,0,0
750192482,inf,0,0,0,0
751195494,inf,0,0,0,0
752202485,inf,0,0,0,0
753219485,inf,0,0,0,0
754232531,inf,0,0,0,0
755243866,inf,0,0,0,0
756257496,inf,0,0,0,0
757270522,inf,0,0,0,0
758283497,inf,0,0,0,0
759296826,inf,0,0,0,0
760298524,inf,0,0,0,0
761310497,inf,0,0,0,0
762318485,inf,0,0,0,0
763330507,inf,0,0,0,0
764338876,inf,0,0,0,0
765350482,inf,0,0,0,0
766354761,inf,0,0,0,0
767368482,inf,0,0,0,0
768378768,inf,0,0,0,0
769387492,inf,0,0,0,0
770395096,inf,0,0,0,0
771411481,inf,0,0,0,0
772432297,inf,0,0,0,0
773447488,inf,0,0,0,0
774450826,inf,0,0,0,0
775467565,inf,0,0,0,0
776476558,inf,0,0,0,0
777482482,inf,0,0,0,0
778496481,inf,0,0,0,0
779500726,inf,0,0,0,0
780517482,inf,0,0,0,0
781531502,inf,0,0,0,0
782549482,inf,0,0,0,0
783568482,inf,0,0,0,0
784585497,inf,0,0,0,0
785600534,inf,0,0,0,0
786610692,inf,0,0,0,0
787623915,inf,0,0,0,0
788642328,inf,0,0,0,0
789658494,inf,0,0,0,0
790671571,inf,0,0,0,0
791677491,inf,0,0,0,0
792692151,inf,0,0,0,0
793702496,inf,0,0,0,0
794709482,inf,0,0,0,0
795719487,inf,0,0,0,0
796725483,inf,0,0,0,0
797594482,inf,0,0,1,0
797880540,inf,0,0,0,1
798208761,inf,1,0,0,0
799217274,inf,1,0,0,0
800225524,inf,1,0,0,0
801234532,inf,1,0,0,0
